"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"PHA195307061","NYA",1,0,0,0,0,"",0,0,"norei101","?","norei101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","99","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1,"PHA","NYA","PHA",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","woodg101","baueh101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"phild102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",1,0,1,0,0,"",0,0,"woodg101","?","woodg101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","99","F","F",7,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2,"PHA","NYA","PHA",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","baueh101","mcdog101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"phild102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",1,0,2,0,0,"",0,0,"baueh101","?","baueh101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","T","F","F",9,3,22,"T","T",3,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",3,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3,"PHA","NYA","PHA",0,"F","F",0,0,0,2,2,"T","F",0,4,"T","T","mcdog101","bolld101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",1,0,2,0,0,"",0,0,"mcdog101","?","mcdog101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","baueh101","K","F","F",5,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"2","","","","F","F","F","F","F","F","F","F","F","","","martm101","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,4,"PHA","NYA","PHA",0,"F","T",0,0,0,3,3,"T","F",4,4,"T","T","bolld101","martb105","T","T",0,0,0,0,0,0,9,3,3,"","","murrr102",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",1,1,0,0,0,"",0,0,"demaj101","?","demaj101","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","","D","T","F",6,1,21,"T","T",2,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5,"PHA","PHA","NYA",1,"T","F",0,0,0,0,0,"T","F",0,2,"T","T","maurc101","phild102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",4,0,0,0,2,0,0,0,0,0,F,F
"PHA195307061","NYA",1,1,0,0,0,"",0,0,"maurc101","?","maurc101","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","demaj101","","S.2-H(NR);B-3(E3/TH)","F","F",8,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",0,"","F","F","",1,3,"T",0,"N",0,"N",3,0,4,0,"","","","","F","F","F","F","F","F","F","F","F","","sainj101","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6,"PHA","PHA","NYA",1,"F","F",0,0,0,1,1,"T","F",2,4,"T","T","phild102","zerng101","T","T",0,0,0,6,1,5,0,0,0,"","silvc101","",0,0,0,0,0,0,0,0,0,0,0,0,1,"","F","F","F","F",5,0,4,0,1,0,0,0,0,0,F,F
"PHA195307061","NYA",1,1,0,0,0,"",0,1,"phild102","?","phild102","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","maurc101","WP.3-H(UR)","F","F",9,3,9,"F","F",0,"F","F",0,"F","F",0,"T","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,5,"","","","","F","F","F","F","F","F","F","F","F","","","sainj101","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"PHA","PHA","NYA",1,"F","F",1,0,1,2,2,"T","F",4,0,"T","T","zerng101","robie101","T","T",0,0,0,0,0,0,8,2,6,"","","silvc101",0,0,0,0,0,0,0,0,0,0,0,0,1,"","F","F","F","F",0,0,0,5,0,0,0,0,0,0,F,F
"PHA195307061","NYA",1,1,0,0,0,"",0,2,"phild102","?","phild102","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","","99","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"PHA","PHA","NYA",1,"F","F",2,0,2,2,2,"F","F",0,0,"T","T","zerng101","robie101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"baueh101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",1,1,1,0,0,"",0,2,"zerng101","?","zerng101","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","","99","F","F",7,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9,"PHA","PHA","NYA",1,"F","F",2,0,2,3,3,"T","F",0,0,"T","T","robie101","sudep101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"baueh101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",1,1,2,0,0,"",0,2,"robie101","?","robie101","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","","K","F","F",3,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,10,"PHA","PHA","NYA",1,"F","T",2,0,2,4,4,"T","F",0,0,"T","T","sudep101","michc101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",2,0,0,0,0,"",0,2,"bolld101","?","bolld101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","K","T","F",3,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,11,"PHA","NYA","PHA",0,"T","F",0,2,0,4,0,"T","F",0,0,"T","T","martb105","silvc101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",2,0,1,0,0,"",0,2,"martb105","?","martb105","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","D.BX3(95)","F","F",4,6,21,"T","T",2,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"95","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,5,0,0,9,0,0,0,0,12,"PHA","NYA","PHA",0,"F","F",0,2,0,5,1,"T","F",0,0,"T","T","silvc101","rizzp101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",2,0,2,0,0,"",0,2,"silvc101","?","silvc101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","99","F","F",2,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,13,"PHA","NYA","PHA",0,"F","T",0,2,0,6,2,"T","F",0,0,"T","T","rizzp101","sainj101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"phild102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",2,1,0,0,0,"",0,2,"sudep101","?","sudep101","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","","S","T","F",5,6,20,"T","T",1,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,14,"PHA","PHA","NYA",1,"T","F",2,0,0,5,0,"T","F",0,1,"T","T","michc101","murrr102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",2,1,0,0,0,"",0,2,"michc101","?","michc101","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","sudep101","","","99/SH.1-3(E3)","F","F",4,7,2,"T","F",0,"T","F",1,"F","F",0,"F","F",9,"G","T","F","",1,3,"F",0,"N",0,"N",0,3,0,0,"99","","","","F","F","F","F","F","F","F","F","F","sainj101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,15,"PHA","PHA","NYA",1,"F","F",2,0,0,6,1,"T","F",1,4,"T","T","murrr102","martm101","T","T",5,6,14,0,0,0,0,0,0,"silvc101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"baueh101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",2,1,1,0,0,"",0,2,"murrr102","?","murrr102","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","sudep101","99","F","F",2,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"99","","","","F","F","F","F","F","F","F","F","F","","","sainj101","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,16,"PHA","PHA","NYA",1,"F","F",2,0,0,7,2,"T","F",4,4,"T","T","martm101","demaj101","T","T",0,0,0,0,0,0,5,6,14,"","","silvc101",0,0,0,0,0,0,0,0,0,0,0,0,0,"baueh101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",2,1,2,0,0,"",0,2,"martm101","?","martm101","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","sudep101","99","F","F",1,9,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"99","","","","F","F","F","F","F","F","F","F","F","","","sainj101","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,17,"PHA","PHA","NYA",1,"F","T",2,0,0,8,3,"T","F",4,4,"T","T","demaj101","maurc101","T","T",0,0,0,0,0,0,5,6,14,"","","silvc101",0,0,0,0,0,0,0,0,0,0,0,0,0,"baueh101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",3,0,0,0,0,"",0,2,"rizzp101","?","rizzp101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","99","T","F",6,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,18,"PHA","NYA","PHA",0,"T","F",0,2,0,7,0,"T","F",0,0,"T","T","sainj101","norei101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"phild102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",3,0,1,0,0,"",0,2,"sainj101","?","sainj101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","99","F","F",1,9,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,19,"PHA","NYA","PHA",0,"F","F",0,2,0,8,1,"T","F",0,0,"T","T","norei101","woodg101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"phild102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",3,0,2,0,0,"",0,2,"norei101","?","norei101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","99","F","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,20,"PHA","NYA","PHA",0,"F","T",0,2,0,9,2,"T","F",0,0,"T","T","woodg101","baueh101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"phild102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",3,1,0,0,0,"",0,2,"demaj101","?","demaj101","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","","K","T","F",6,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,21,"PHA","PHA","NYA",1,"T","F",2,0,0,9,0,"T","F",0,0,"T","T","maurc101","phild102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",3,1,1,0,0,"",0,2,"maurc101","?","maurc101","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","","K","F","F",8,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,22,"PHA","PHA","NYA",1,"F","F",2,0,0,10,1,"T","F",0,0,"T","T","phild102","zerng101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",3,1,2,0,0,"",0,2,"phild102","?","phild102","?","sainj101","?","sainj101","?","silvc101","bolld101","martb105","mcdog101","rizzp101","woodg101","norei101","baueh101","","","","99","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,23,"PHA","PHA","NYA",1,"F","T",2,0,0,11,2,"T","F",0,0,"T","T","zerng101","robie101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"baueh101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
"PHA195307061","NYA",4,0,0,0,0,"",0,2,"woodg101","?","woodg101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","99","T","F",7,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"99","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,24,"PHA","NYA","PHA",0,"T","F",0,2,0,10,0,"T","F",0,0,"T","T","baueh101","mcdog101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"phild102","F","F","F","F",0,0,0,0,5,0,0,0,0,0,T,F
"PHA195307061","NYA",4,0,1,0,0,"",0,2,"baueh101","?","baueh101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","W","F","F",9,3,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,25,"PHA","NYA","PHA",0,"F","F",0,2,0,11,1,"T","F",0,1,"T","T","mcdog101","bolld101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",4,0,0,0,5,0,0,0,0,0,F,F
"PHA195307061","NYA",4,0,1,0,0,"",0,2,"mcdog101","?","mcdog101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","baueh101","","","K","F","F",5,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","martm101","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,26,"PHA","NYA","PHA",0,"F","F",0,2,0,12,2,"T","F",1,1,"T","T","bolld101","martb105","T","T",9,3,25,0,0,0,0,0,0,"murrr102","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,4,0,0,5,0,0,0,0,0,F,F
"PHA195307061","NYA",4,0,2,0,0,"",0,2,"bolld101","?","bolld101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","baueh101","","","T.1-H","F","F",3,5,22,"T","T",3,"F","F",0,"F","F",1,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",3,4,0,0,"","","","","F","F","F","F","F","F","F","F","F","martm101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,27,"PHA","NYA","PHA",0,"F","F",0,2,0,13,3,"T","F",1,4,"T","T","martb105","silvc101","T","T",9,3,25,0,0,0,0,0,0,"murrr102","","",0,0,0,0,0,0,0,0,0,0,0,0,1,"","F","F","F","F",4,4,0,0,4,0,0,0,0,0,F,F
"PHA195307061","NYA",4,0,2,0,0,"",1,2,"martb105","?","martb105","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","bolld101","HR.3-H","F","F",4,6,23,"T","T",4,"F","F",0,"F","F",2,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",4,0,0,4,"","","","","F","F","F","F","F","F","F","F","F","","","martm101","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,28,"PHA","NYA","PHA",0,"F","F",1,2,1,14,4,"T","F",4,0,"T","T","silvc101","rizzp101","T","T",0,0,0,0,0,0,3,5,27,"","","murrr102",0,0,0,0,0,0,0,0,0,0,0,0,2,"","F","F","F","F",4,0,0,4,2,0,0,0,0,0,F,F
"PHA195307061","NYA",4,0,2,0,0,"",3,2,"silvc101","?","silvc101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","S","F","F",2,7,20,"T","T",1,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,29,"PHA","NYA","PHA",0,"F","F",3,2,3,15,5,"T","F",0,1,"T","T","rizzp101","sainj101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",4,0,0,0,2,0,0,0,0,0,F,F
"PHA195307061","NYA",4,0,2,0,0,"",3,2,"rizzp101","?","rizzp101","?","martm101","?","martm101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","silvc101","","","HR.1-H","F","F",6,8,23,"T","T",4,"F","F",0,"F","F",2,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",4,4,0,0,"","","","","F","F","F","F","F","F","F","F","F","martm101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,30,"PHA","NYA","PHA",0,"F","F",3,2,3,16,6,"T","F",1,0,"T","T","sainj101","norei101","T","T",2,7,29,0,0,0,0,0,0,"murrr102","","",0,0,0,0,0,0,0,0,0,0,0,0,2,"","F","F","F","F",4,4,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",4,0,2,0,0,"",5,2,"sainj101","?","sainj101","?","fanof101","?","fanof101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","","","","S","F","F",1,9,20,"T","T",1,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,31,"PHA","NYA","PHA",0,"F","F",5,2,5,17,7,"T","F",0,1,"T","T","norei101","woodg101","F","F",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"PHA195307061","NYA",4,0,2,0,0,"",5,2,"norei101","?","norei101","?","fanof101","?","fanof101","?","murrr102","robie101","michc101","sudep101","demaj101","zerng101","maurc101","phild102","sainj101","","","99","F","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"99","","","","F","F","F","F","F","F","F","F","F","fanof101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,32,"PHA","NYA","PHA",0,"F","T",5,2,5,18,8,"T","F",1,1,"T","T","woodg101","baueh101","F","F",1,9,31,0,0,0,0,0,0,"murrr102","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"phild102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,T,F
