GAME_ID,EVENT_ID,COMMENT_TX
"CHN195004220",22,"Debut game for Bob Borkowski"
"CHN195005020",11,"Debut game for Randy Jackson"
"CHN195005030",1,"Debut game for Johnny Klippstein"
"CHN195005040",41,"ej,reesp101,P,pineb101,Called third strike Pee Wee Reese ejected by HP umpire Babe Pinelli"
"CHN195005050",65,"ej,frisf101,M,boggd901,Call at 3B Cubs Manager Frankie Frisch ejected by HP umpire Dusty Boggess"
"CHN195005060",67,"$Erv Palica injured ankle"
"CHN195005071",78,"$Sheldon Jones Jones struck on the left leg and was carried off on a stretcher"
"CHN195005090",57,"ej,stane101,P,dascf901,Call at 2B ej,durol101,M,dascf901,Call at 2B ej,jones103,P,dascf901,Call at 2B (Imitated umpire from bench) $Eddie Stanky caught the ball in time to put out Preston Ward but dropped it; 3B umpire Frank Dascoli reversed his decision, calling Ward safe; Stanky, Giants Manager Leo Durocher and Sheldon Jones ejected by Dascoli; Jones kept imitating Dascoli from the bench"
"CHN195005141",1,"$Hal Jeffcoat suffered a fractured left collar bone attempting a diving catch"
"CHN195005141",78,"ej,meyeb101,M,donaa901,Balls and strikes (gave choke sign) $Pirates manager Meyer ejected by HP umpire Donatelli for arguing ball 4 to Ward; he gave choke sign while in a mound conference"
"CHN195005302",8,"$Chicago fans disagreed with call and threw oranges at 1B umpire Jocko Conlan"
"CHN195006050",32,"ej,russj102,P,barla901,Charging the mound $the first pitch to Jim Russell was near his head; Russell charged the mound but Paul Minner threw Russell to the ground; both benches emptied; Russell ejected by HP umpire Al Barlick"
"CHN195006060",3,"$wild throw to 1B but catcher backed up play"
"CHN195006060",57,"ej,frisf101,M,balll901,Call at 1B $Cubs manager Frisch ejected by 1B umpire Lee Ballanfant for arguing call at 1st"
"CHN195006070",83,"Reconstructed 9th inning"
"CHN195006100",32,"ej,bakeb101,C,stewb901,Fair/foul call ej,frisf101,M,stewb901,Fair/foul call Cubs  ejected by HP umpire Bill Stewart Cubs Manager Frankie Frisch and Coach Bill Baker ejected by HP umpire Bill Stewart arguing foul ball was home run"
"CHN195006100",40,"$Hank Edwards left with leg injury"
"CHN195006280",38,"$Cloyd Boyer hurt his ankle going to 2B"
"CHN195007060",4,"ej,fernn101,P,dascf901,Call at 3B ej,meyeb101,M,dascf901,Call at 3B Nanny Fernandez and Pirates Manager Billy Meyer ejected by HP umpire Frank Dascoli"
"CHN195007060",66,"ej,frisf101,M,goetl901,Call at 3B Cubs Manager Frankie Frisch ejected by 3B umpire Larry Goetz"
"CHN195007080",76,"$Bob Usher rounded 3B too far"
"CHN195007130",27,"Debut game for Joe Landrum"
"CHN195007130",60,"$Hank Sauer called for interference for running into his own bunt"
"CHN195007190",8,"$Cubs Manager Frank Frisch argued the play should have been a home run since the ball apparently hit the flag pole screen and then caromed back into the field"
"CHN195007190",11,"$Bob Ramazzotti twisted his knee in the first inning"
"CHN195007210",3,"$Sam Jethroe injured his left instep swinging at a pitch"
"CHN195007220",68,"Outs in 9th deduced from leftovers, could be in different order"
"CHN195007231",74,"ej,franh101,C,goetl901,Call at 3B Giants Coach Herman Franks ejected by HP umpire Larry Goetz"
"CHN195008150",60,"$Emil Verban twisted his ankle"
"CHN195008160",75,"$Lloyd Merriman called for interference for running into his own batted ball"
"CHN195008170",2,"$Roy Smalley's throw hit Lloyd Merriman on the back; Preston Ward recovered"
"CHN195008190",53,"$missed squeeze"
"CHN195008220",48,"$the throw to 1B struck Jim Hearn"
"CHN195008220",78,"no pbp for bottom 9"
"CHN195008230",75,"Reconstructed 9th"
"CHN195008272",100,"$game called for darkness"
"CHN195009020",65,"$Ron Northey out on appeal"
"CHN195009020",70,"$only hit of the game for the Cubs"
"CHN195009232",14,"$the throw struck Enos Slaughter on the back"
"CHN195004220",22,"Debut game for Bob Borkowski"
"CHN195005020",11,"Debut game for Randy Jackson"
"CHN195005030",1,"Debut game for Johnny Klippstein"
"CHN195005040",41,"ej,reesp101,P,pineb101,Called third strike Pee Wee Reese ejected by HP umpire Babe Pinelli"
"CHN195005050",65,"ej,frisf101,M,boggd901,Call at 3B Cubs Manager Frankie Frisch ejected by HP umpire Dusty Boggess"
"CHN195005060",67,"$Erv Palica injured ankle"
"CHN195005071",78,"$Sheldon Jones Jones struck on the left leg and was carried off on a stretcher"
