GAME_ID,EVENT_ID,COMMENT_TX
"FLO200904060",49,"Originally E5, changed next day to D7, changes 1 ER"
"FLO200904080",21,"$infield shift on for Dunn with 3Bman playing short right field"
"FLO200904250",37,"$Ball one was behind Park at the knees; both benches warned"
"FLO200904250",88,"ej,manuc101,M,monte901,Balls and strikes Phillies Manager Charlie Manuel ejected by HP umpire Ed Montague for arguing balls and strikes"
"FLO200904260",1,"Debut game for Graham Taylor"
"FLO200905040",87,"Reds shortstop Alex Gonzalez left the game due to an injured chest"
"FLO200905070",38,"Marlins pitcher Anibal Sanchez left the game due to an injured neck/shoulder"
"FLO200905150",67,"ej,gonzf801,M,rapue901,Arguing that Uggla was hit by pitch $on an attempted bunt, the pitch hit Dan Uggla and HP umpire Joe West told him to go to 1B; however, 1B umpire Ed Rapuano overruled West, saying that Uggla did got get out of the way and still had his bat out over the plate; Marlins Manager Fredi Gonzalez was ejected by Rapuano"
"FLO200905150",68,"ej,uggld001,P,westj901,Arguing that he was HBP Marlins second baseman Dan Uggla ejected by HP umpire Joe West"
"FLO200905202",96,"ej,hermj001,P,ticht901,Called third strike Marlins left fielder Jeremy Hermida ejected by HP umpire Todd Tichenor"
"FLO200905210",42,"Marlins center fielder Cody Ross left the game due to an injured head"
"FLO200905210",57,"Debut game for Clay Zavada"
"FLO200905210",60,"Debut game for Cristhian Martinez"
"FLO200905220",71,"Debut game for Dale Thayer"
"FLO200905220",75,"Debut game for Brett Hayes"
"FLO200905230",1,"Debut game for Sean West"
"FLO200905240",83,"Rays second baseman Akinori Iwamura left the game due to an injured knee"
"FLO200906010",57,"Brewers center fielder Mike Cameron left the game due to an injured knee"
"FLO200906090",10,"$Yadier Molina called for interference"
"FLO200906090",42,"Marlins catcher John Baker left the game due to an injured head"
"FLO200906100",64,"Marlins first baseman Jorge Cantu left the game due to an injured head"
"FLO200906210",0,"Protest=V"
"FLO200906210",15,"Yankees pitcher CC Sabathia left the game due to an injured arm"
"FLO200906210",61,"$Alejandro de Aza, who pinch hit for Renyel Pinto, was supposed to stay in the game and play LF; he did not go out and Chris Coghlan went back out to LF; after one pitch, Yankees manager Joe Girardi went to the umpires to ask about the lineup; after a delay, Coghlan was removed from the game and de Aza ran out to LF; then Girardi talked some more and the umpires conferred again and the Marlins had to send another player out to LF, since de Aza was also out of the game; Jeremy Hermida entered the game; Girardi protested the contest; MLB denied the protest two days later"
"FLO200906230",59,"Marlins pitcher Leo Nunez left the game due to an injured foot/ankle"
"FLO200906230",64,"$originally scored a single, changed after game to E5, changed back to single on 6-26"
"FLO200906250",55,"Debut game for Tim Wood"
"FLO200906300",9,"Originally two E5, changed to single and E5 on 7-01"
"FLO200906300",68,"Game called for rain after delay of 1:29"
"FLO200907290",66,"ej,cox-b103,M,hohnb901,Balls and strikes $Braves catcher Brian McCann thought HP umpire Bill Hohn missed the second pitch of McCann's at bat; after the double play, McCann said something to Hohn; when Hohn took a few steps in that direction, Braves Manager Bobby Cox argued with Hohn; Cox came out to the plate and after about a minute, Hohn ejected Cox"
"FLO200907290",68,"ej,mccab002,P,hohnb901,Balls and strikes $when Braves catcher Brian McCann went to the plate to start taking warm-up pitches, he asked HP umpire Bill Hohn: 'Can you at least tell me that you missed that pitch?' Hohn ejected McCann"
"FLO200907300",12,"Braves shortstop Yunel Escobar left the game due to an injured hand/wrist"
"FLO200908010",38,"Marlins shortstop Hanley Ramirez left the game due to an injured knee"
"FLO200908010",42,"Cubs pitcher Carlos Zambrano left the game due to an injured back"
"FLO200908120",46,"originally E6, changed to E3 on 9-03"
"FLO200908130",44,"Astros pitcher Mike Hampton left the game due to an injured neck/shoulder"
"FLO200908130",56,"Marlins center fielder Cody Ross left the game due to an injured back"
"FLO200908161",9,"Marlins first baseman Nick Johnson left the game due to an injured leg"
"FLO200908250",55,"Marlins catcher John Baker left the game due to an injured back"
"FLO200908280",20,"Padres right fielder Kyle Blanks left the game due to an injured foot/ankle"
"FLO200909010",34,"Marlins shortstop Hanley Ramirez left the game due to an injured leg"
"FLO200909020",62,"Marlins right fielder Jeremy Hermida left the game due to an injured chest"
"FLO200909030",72,"ej,cox-b103,M,wolfj901,Balls and strikes Braves Manager Bobby Cox ejected by HP umpire Jim Wolf for arguing the strike zone"
"FLO200909120",0,"$Rain delay of 2:34 at start of game"
"FLO200909130",83,"$Game called after 53 minute rain delay, bringing total for game to 3:03"
"FLO200909230",80,"ej,gonzf801,M,holbs901,Called third strike on Baker Marlins Manager Fredi Gonzalez ejected by HP umpire Sam Holbrook"
"FLO200909260",36,"Marlins center fielder Cody Ross left the game due to an injured hand/wrist"
