GAME_ID,EVENT_ID,COMMENT_TX
"SDN198904130",1,"Debut game for Derek Lilliquist"
"SDN198905030",74,"$Roberto Alomar fouled pitch off his face"
"SDN198905040",8,"$John Kruk hurt diving for Andre Dawson's triple"
"SDN198906140",12,"$Chris James injured"
"SDN198906160",24,"ej,mckej801,M,mcshj901,Reversal of fair/foul call $Padres manager McKeon ejected by 3B umpire McSherry arguing that home run was foul, but umpire reversed call to fair"
"SDN198906160",71,"ej,hatcb001,P,hirsm901,Call at 2B $Astros Hatcher ejected by 2B umpire Hirschbeck for arguing pickoff at 2nd"
"SDN198906240",11,"$Pat Sheridan called for interference with catcher on attempted steal"
"SDN198907280",23,"$botched squeeze play"
"SDN198908070",55,"$Roberto Alomar called for interference"
"SDN198908100",76,"Debut game for Dan Murphy"
"SDN198908111",1,"Debut game for Andy Benes"
"SDN198908111",80,"$hidden ball trick"
"SDN198908250",45,"ej,johnd105,M,crawj901,Arguing failure to let 3B visit mound $Mets manager Johnson ejected by 1B umpire Crawford who did not let 3bman visit the mound; umpire ruled it would be be a 2nd visit this inning and require Mets to change pitchers"
"SDN198908300",10,"$Bip Roberts scored on the sacrifice fly and Roberto Alomar advanced to 3B; the Expos appealed that Roberts left 3B early; as Tim Wallach caught the ball and moved toward the 3B bag, Alomar broke for HP; Wallach threw to Mike Fitzgerald to put out Alomar; this play on Alomar prevented the Expos from making an appeal on Roberts"
"SDN198909090",24,"$liner off pitcher, bounces back to catcher"
"SDN198909090",53,"$Jack Clark out on appeal for missing 1B on apparent double to LF"
"SDN198909100",52,"Debut game for Jose Vizcaino"
"SDN198909100",72,"Debut game for Darrin Fletcher Debut game for Mike Hartley"
"SDN198909110",57,"$the ball bounced off the mound and rolled out into RF"
"SDN198909130",56,"Debut game for Drew Denson"
"SDN198909260",31,"ej,jamec001,P,westj901,Balls and strikes Chris James ejected by HP umpire Joe West"
"SDN198910010",41,"ej,lillb101,C,monte901,Call at 1B $Giants coach Lillis ejected by 1B umpire Montague for arguing that Gwynn was out at 1st"
