"GAME_ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"NYA193504190",77,"DWS: pbp ends here, rest deduced","1935NYA.EVA.regular.comment.csv",2
"NYA193504300",0,"$Yankees Manager Joe McCarthy home with cold; Art Fletcher managed game","1935NYA.EVA.regular.comment.csv",3
"NYA193505010",0,"$Yankees Manager Joe McCarthy home with cold; Art Fletcher managed game","1935NYA.EVA.regular.comment.csv",4
"NYA193505010",75,"DWS: pbp ends here, rest deduced","1935NYA.EVA.regular.comment.csv",5
"NYA193505200",61,"ej,allej102,P,mcgob901,Balk call ej,dickb101,P,mcgob901,Balk call Johnny Allen and Bill Dickey ejected by HP umpire Bill McGowan","1935NYA.EVA.regular.comment.csv",6
"NYA193506011",31,"$Roy Johnson struck on head; he started for the mound but players from both teams intervened","1935NYA.EVA.regular.comment.csv",7
"NYA193506020",67,"$Sixth Yankee HR sets stadium record for one team in one game.","1935NYA.EVA.regular.comment.csv",8
"NYA193506300",84,"$Catcher Dickey hurt right thigh in collision with Myer and left in next inning; Yankee manager McCarthy argued that Manush should have been held at third on overthrow, but umpire Donnelly pointed out Manush had already stolen second and was entitled to two bases from there when the bad throw was made","1935NYA.EVA.regular.comment.csv",9
"NYA193507041",4,"cf dropped after long run","1935NYA.EVA.regular.comment.csv",10
"NYA193507110",64,"$Milt Galatzer struck on forehead by a curve ball","1935NYA.EVA.regular.comment.csv",11
"NYA193507130",48,"$Bill Dickey left with injured right hand from foul ball","1935NYA.EVA.regular.comment.csv",12
"NYA193507130",74,"ej,gomel102,P,kolll901,Bench jockeying Lefty Gomez ejected by HP umpire Lou Kolls","1935NYA.EVA.regular.comment.csv",13
"NYA193507142",71,"$Crosetti injured on Simmons' slide into 2nd, left game","1935NYA.EVA.regular.comment.csv",14
"NYA193507160",37,"$Earle Combs out on appeal for leaving 2B too soon","1935NYA.EVA.regular.comment.csv",15
"NYA193507160",60,"$George Selkirk struck on left leg","1935NYA.EVA.regular.comment.csv",16
"NYA193507190",15,"$the throw struck Harlond Clift on the back","1935NYA.EVA.regular.comment.csv",17
"NYA193507212",69,"Hemsley stumbles, bounced over and beyond plate and is tagged out","1935NYA.EVA.regular.comment.csv",18
"NYA193507232",65,"DWS: pbp ends here, rest deduced","1935NYA.EVA.regular.comment.csv",19
"NYA193507232",67,"$Red Rolfe rounded 1B too far","1935NYA.EVA.regular.comment.csv",20
"NYA193507260",14,"$Ossie Bluege out on appeal for leaving 1B too soon","1935NYA.EVA.regular.comment.csv",21
"NYA193507260",20,"$Ed Linke struck on head with line drive and the ball caromed in the air to catcher Jack Redmond; Linke was carried off the field and taken to the hospital","1935NYA.EVA.regular.comment.csv",22
"NYA193507281",23,"$Allen tore shoulder muscle","1935NYA.EVA.regular.comment.csv",23
"NYA193508101",43,"lack of 2 RBI strange","1935NYA.EVA.regular.comment.csv",24
"NYA193509082",20,"$the Indians thought they had turned a double play so Bill Knickerbocker and Roy Hughes ran off the field; Jesse Hill ran to unoccupied 2B","1935NYA.EVA.regular.comment.csv",25
"NYA193509082",74,"$Jesse Hill called for interference for running into his own bunt","1935NYA.EVA.regular.comment.csv",26
"NYA193509090",55,"$Ben Chapman purposely dropped the ball","1935NYA.EVA.regular.comment.csv",27
"NYA193509110",63,"ej,oneis101,M,morig101,Balls and strikes Indians Manager Steve O'Neill ejected by HP umpire George Moriarty","1935NYA.EVA.regular.comment.csv",28
"NYA193509110",65,"ej,brenb101,P,morig101,Bench jockeying Bill Brenzel ejected by HP umpire George Moriarty","1935NYA.EVA.regular.comment.csv",29
"NYA193509182",52,"ej,gehrl101,P,dinnb101,Balls and strikes Lou Gehrig ejected by HP umpire Bill Dinneen","1935NYA.EVA.regular.comment.csv",30
"NYA193509292",40,"$Game called for darkness","1935NYA.EVA.regular.comment.csv",31
