GAME_ID,EVENT_ID,COMMENT_TX
"DET192704290",59,"$Lew Fonseca left with injured hand"
"DET192705010",74,"'$Marty McManus attempted to advance to 2B on the walk"
"DET192705160",61,"$Lou Gehrig attempted to score when the throw to HP went through Marv Shea; Gehrig and Shea collided and Gehrig slightly injured"
"DET192705260",26,"short rain delay"
"DET192705260",73,"$Lu Blue called for interference for running into his own batted ball"
"DET192705270",41,"$the throw caromed off Jackie Tavener's back into RF"
"DET192705280",73,"DIFF: Scored as RBI on official film"
"DET192705310",61,"$Johnny Neun became the second Major Leaguer in as many days to turn an unassisted triple play"
"DET192706281",51,"DIFF: Scored as RBI on official record"
"DET192707091",0,"$overflow crowd on the field"
"DET192707091",17,"$into the overflow crowd"
"DET192707091",34,"$into the overflow crowd Babe Ruth complained to the umpires that spectators in foul territory were running out to get the balls before he had a chance to get them; Yankees manager Miller Huggins joined in the complaint, insisting that HP umpire Brick Owens should demand better policing of the field; the Babe returned to LF and appealed directly to police to exert greater vigilance while the crowd good naturedly hooted him; the game resumed after a 5 minute delay"
"DET192707091",40,"$into the overflow crowd"
"DET192707091",54,"$into the overflow crowd"
"DET192707092",87,"$game called for darkness"
"DET192707100",0,"$overflow crowd on the field"
"DET192707100",28,"$into the overflow crowd"
"DET192709060",6,"$Alex Metzler rounded 3B too far"
"DET192709060",61,"ej,bluel101,P,vangr901,Call at 1B Lu Blue ejected by 1B umpire Roy Van Graflan"
"DET192704200",0,"Opening day 1927 at Navin Field. $Special ground rules for over-flow crowd on outfield grass."
"DET192704290",59,"$Lew Fonseca left with injured hand"
"DET192705010",74,"'$Marty McManus attempted to advance to 2B on the walk"
"DET192705160",61,"$Lou Gehrig attempted to score when the throw to HP went through Marv Shea; Gehrig and Shea collided and Gehrig slightly injured"
"DET192705210",16,"$Tavener goes to second while Ruel argues the call at the plate"
"DET192705210",77,"Throw to third is too late"
"DET192705220",87,"$Game called so teams could make trains"
"DET192705260",26,"short rain delay"
"DET192705260",73,"$Lu Blue called for interference for running into his own batted ball"
"DET192705270",41,"$the throw caromed off Jackie Tavener's back into RF"
"DET192705280",73,"DIFF: Scored as RBI on official film"
"DET192705310",61,"$Johnny Neun became the second Major Leaguer in as many days to turn an unassisted triple play"
"DET192706281",51,"DIFF: Scored as RBI on official record"
"DET192707091",0,"$overflow crowd on the field"
"DET192707091",17,"$into the overflow crowd"
"DET192707091",34,"$into the overflow crowd Babe Ruth complained to the umpires that spectators in foul territory were running out to get the balls before he had a chance to get them; Yankees manager Miller Huggins joined in the complaint, insisting that HP umpire Brick Owens should demand better policing of the field; the Babe returned to LF and appealed directly to police to exert greater vigilance while the crowd good naturedly hooted him; the game resumed after a 5 minute delay"
"DET192707091",40,"$into the overflow crowd"
"DET192707091",54,"$into the overflow crowd"
"DET192707092",87,"$game called for darkness"
"DET192707100",0,"$overflow crowd on the field"
"DET192707100",28,"$into the overflow crowd"
"DET192709060",6,"$Alex Metzler rounded 3B too far"
"DET192709060",61,"ej,bluel101,P,vangr901,Call at 1B Lu Blue ejected by 1B umpire Roy Van Graflan"
