"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"MIL201903280","SLN",1,0,0,2,2,"CBCBS",0,0,"carpm002","?","carpm002","?","chacj001","?","chacj001","?","grany001","aguij001","mousm001","shawt001","arcio002","braur002","cainl001","yelic001","","","","K","T","F",5,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,1,"MIL","SLN","MIL",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","goldp001","dejop001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,2,1,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201903280","SLN",1,0,1,3,2,"BBBCFC",0,0,"goldp001","?","goldp001","?","chacj001","?","chacj001","?","grany001","aguij001","mousm001","shawt001","arcio002","braur002","cainl001","yelic001","","","","K","F","F",3,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,2,"MIL","SLN","MIL",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","dejop001","ozunm001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,3,2,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201903280","SLN",1,0,2,1,2,"CBSS",0,0,"dejop001","?","dejop001","?","chacj001","?","chacj001","?","grany001","aguij001","mousm001","shawt001","arcio002","braur002","cainl001","yelic001","","","","K","F","F",6,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,3,"MIL","SLN","MIL",0,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","ozunm001","moliy001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201903280","SLN",1,1,0,1,2,"CBFC",0,0,"cainl001","?","cainl001","?","mikom001","?","mikom001","?","moliy001","goldp001","wongk001","carpm002","dejop001","ozunm001","badeh001","fowld001","","","","K","T","F",8,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,4,"MIL","MIL","SLN",1,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","yelic001","braur002","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,2,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201903280","SLN",1,1,1,1,2,"CFBX",0,0,"yelic001","?","yelic001","?","mikom001","?","mikom001","?","moliy001","goldp001","wongk001","carpm002","dejop001","ozunm001","badeh001","fowld001","","","","43/G-","F","F",9,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,5,"MIL","MIL","SLN",1,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","braur002","shawt001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,1,0,1,1,0,0,"wongk001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201903280","SLN",1,1,2,0,2,"CSX",0,0,"braur002","?","braur002","?","mikom001","?","mikom001","?","moliy001","goldp001","wongk001","carpm002","dejop001","ozunm001","badeh001","fowld001","","","","53/G","F","F",7,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,6,"MIL","MIL","SLN",1,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","shawt001","aguij001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,3,1,1,0,1,0,0,"carpm002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201903280","SLN",2,0,0,2,2,"SBFBFX",0,0,"ozunm001","?","ozunm001","?","chacj001","?","chacj001","?","grany001","aguij001","mousm001","shawt001","arcio002","braur002","cainl001","yelic001","","","","63/G","T","F",7,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,7,"MIL","SLN","MIL",0,"T","F",0,0,0,3,0,"T","F",0,0,"T","T","moliy001","fowld001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,4,0,1,2,1,0,0,"arcio002","F","F","F","F",0,0,0,0,3,0,0,0,0,0,F,F
"MIL201903280","SLN",2,0,1,0,1,"CX",0,0,"moliy001","?","moliy001","?","chacj001","?","chacj001","?","grany001","aguij001","mousm001","shawt001","arcio002","braur002","cainl001","yelic001","","","","13/G-","F","F",2,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,8,"MIL","SLN","MIL",0,"F","F",0,0,0,4,1,"T","F",0,0,"T","T","fowld001","wongk001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,2,1,0,0,1,0,0,"chacj001","F","F","F","F",0,0,0,0,3,0,0,0,0,0,F,F
"MIL201903280","SLN",2,0,2,3,2,"FFBBBB",0,0,"fowld001","?","fowld001","?","chacj001","?","chacj001","?","grany001","aguij001","mousm001","shawt001","arcio002","braur002","cainl001","yelic001","","","","W","F","F",9,6,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9,"MIL","SLN","MIL",0,"F","F",0,0,0,5,2,"T","F",0,1,"T","T","wongk001","badeh001","T","T",0,0,0,0,0,0,0,0,0,"","","",4,4,0,0,0,0,2,0,0,2,0,0,0,"","F","F","F","F",4,0,0,0,3,0,0,0,0,0,F,F
"MIL201903280","SLN",2,0,2,0,0,"X",0,0,"wongk001","?","wongk001","?","chacj001","?","chacj001","?","grany001","aguij001","mousm001","shawt001","arcio002","braur002","cainl001","yelic001","fowld001","","","HR/8/F.1-H","F","F",4,7,23,"T","T",4,"F","F",0,"F","F",2,"F","F",0,"F","F","F","8",0,0,"N",0,"N",0,"N",4,4,0,0,"","","","","F","F","F","F","F","F","F","F","F","chacj001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"MIL","SLN","MIL",0,"F","F",0,0,0,6,3,"T","F",1,0,"T","T","badeh001","mikom001","T","T",9,6,9,0,0,0,0,0,0,"grany001","","",0,0,0,0,0,0,1,0,0,0,1,0,2,"","F","F","F","F",4,4,0,0,1,0,0,0,0,0,F,F
