GAME_ID,EVENT_ID,COMMENT_TX
"CLE196104190",49,"Debut game for Bubba Morton"
"CLE196104190",51,"Debut game for Mike Roarke"
"CLE196104200",66,"Debut game for Russ Heman"
"CLE196106030",71,"ej,powev101,P,runge901,Call at 1B (Interference) $Vic Power called for interference when Ned Garver's throw hit Power on the back; HP umpire Ed Runge ruled interference; Power argued the call and was ejected by Runge"
"CLE196106112",62,"$Jerry Lumpe called out on appeal for missing 2B on apparent double by Gene Stephens"
"CLE196106120",76,"ej,tempj101,P,linsj901,Fighting ej,stepg101,P,linsj901,Fighting $Johnny Temple applied a hard tag on Gene Stephens and the two came up scrapping; Temple and Stephens ejected by 2B umpire Joe Linsalata"
"CLE196106150",31,"DIFF: official do not charge this GDP"
"CLE196106160",62,"ej,gentj101,P,nappl901,Call at 1B (Pushed umpire) Jim Gentile ejected by 1B umpire Larry Napp arguing the ruling that his foot was off the bag; Gentile pushed Napp"
"CLE196106251",47,"ej,tempj101,P,schwh901,Fighting ej,haleb101,P,schwh901,Fighting ej,pierj102,P,schwh901,Fighting ej,aguih101,P,schwh901,Fighting $Jimmy Piersall charged the mound and punched Jim Bunning, who was spiked during the fight; both benches cleared; Piersall, Hank Aguirre, Bob Hale and Johnny Temple ejected by HP umpire Harry Schwarts"
"CLE196106251",60,"ej,dykej101,M,schwh901,Warning to pitcher $Bob Allen threw a pitch close to Norm Cash; HP umpire Harry Schwarts warned Allen and Indians Manager Jimmy Dykes; Dykes told Schwarts that it was his players that were getting hit so the warning went to the wrong team; Dykes ejected by Schwarts"
"CLE196106252",40,"ej,dykej101,M,nappl901,Check swing ej,tempj101,P,nappl901,Check swing $Indians manager Dykes and player Temple, not in game, ejected by HP umpire Napp for arguing strike called on Bruton on check swing"
"CLE196106252",77,"DIFF: de la Hoz not credited with this run in official totals"
"CLE196106252",78,"$the ball caromed off the top of the RF fence into Al Kaline's glove; Kaline threw to 2B to force Vic Power who failed to run on the play because he thought it was a home run"
"CLE196106281",0,"ej,vernm101,M,carrh901,Called third strike Senators Manager Mickey Vernon ejected by HP umpire Sam Carrigan sometime in game"
"CLE196108110",15,"44 minute rain delay"
"CLE196108110",61,"ej,grism101,C,hurle901,Bench jockeying ej,rignb101,M,hurle901,Bench jockeying Angels Manager Bill Rigney and Coach Marv Grissom ejected by 2B umpire Eddie Hurley"
"CLE196108110",66,"DIFF: This strikeout is not reflected in official records"
"CLE196108130",76,"ej,tempj101,P,honoj901,Call at 2B Johnny Temple ejected by 2B umpire Jim Honochick"
"CLE196108170",68,"Debut game for Bill Dailey"
"CLE196108190",50,"DIFF: This K is not reflected in the official records of either Richardson or pitcher Barry Latman."
"CLE196109130",64,"Debut game for Jim Lehew"
"CLE196109150",1,"Debut game for Sam McDowell"
"CLE196109150",14,"Debut game for Jim Snyder"
"CLE196109160",7,"Debut game for Al Luplow"
"CLE196109191",0,"this game assembled from newspaper accounts of the game or were assumed"
"CLE196109191",39,"DWS: fielding credit doesn't make sense"
"CLE196109192",80,"missing play in CLE196109192"
"CLE196104190",49,"Debut game for Bubba Morton"
"CLE196104190",51,"Debut game for Mike Roarke"
"CLE196104200",66,"Debut game for Russ Heman"
