GAME_ID,EVENT_ID,COMMENT_TX
"CIN194704160",34,"$Red Munger tripped over the 2B bag and fell; he was helped off the field by teammates"
"CIN194704170",32,"light rain began to fall"
"CIN194705150",4,"$Harry Walker got back to 3B to find Del Ennis standing there"
"CIN194705200",26,"7 minute rain delay"
"CIN194705260",43,"ej,basie101,P,barla901,Call at 2B (Threw glove) Eddie Basinski ejected by 3B umpire Al Barlick"
"CIN194706140",35,"$Buddy Kerr called for interference for running into his own batted ball"
"CIN194706180",0,"$Ewell Blackwell: 96 pitches"
"CIN194706180",66,"missing fielding credit"
"CIN194706222",18,"ej,hermg101,P,conlj102,Balls and strikes (Not in game) Gene Hermanski ejected by HP umpire Jocko Conlan"
"CIN194706300",29,"ej,younb102,P,goetl901,Called third strike Babe Young ejected by HP umpire Larry Goetz"
"CIN194706300",59,"ej,lowrp101,P,goetl901,Called third strike Peanuts Lowrey ejected by HP umpire Larry Goetz"
"CIN194707250",13,"$the ball caromed off Ewell Blackwell's shin"
"CIN194707250",16,"$Augie Galan rounded 2B too far"
"CIN194707271",52,"$Jack Albright left with dislocated right ankle"
"CIN194707271",57,"$Eddie Miller struck on head"
"CIN194707272",77,"Game called due to rain and darkness"
"CIN194707310",0,"$HP umpire Beans Reardon worked without his coat"
"CIN194707310",7,"$Bill Rigney slipped on the muddy infield running to cover 1B on the bunt; the throw was right at the bag"
"CIN194708031",53,"$Ewell Blackwell left with heat exhaustion"
"CIN194708031",60,"umpchange,8,umphome,jordl901 umpchange,8,ump3b,(None) $HP umpire Dusty Boggess left with heat exhaustion"
"CIN194708031",63,"umpchange,8,ump3b,boggd901 $umpire Dusty Boggess returned to the field at 3B"
"CIN194708060",33,"ej,galaa101,P,mageg901,Call at 3B Augie Galan ejected by 3B umpire George Magerkurth"
"CIN194708070",46,"$Frank Baumholtz and Eddie Miller collided; both left injured"
"CIN194708120",63,"$Kirby Higbe left with heat exhaustion"
"CIN194708120",75,"$Ewell Blackwell left with heat exhaustion"
"CIN194708150",17,"ej,johnr103,C,mageg901,Fair/foul call $Doyle Lade bunted along the 1B line; Johnny Vander Meer allowed the ball to roll foul and it was ruled so by HP umpire George Magerkurth; 1B umpire Bill Stewart ruled it was a fair ball and the Reds stormed around Stewart; Magerkurth's call stood and the Cubs argued with him; Cubs Coach Roy Johnson ejected by Magerkurth"
"CIN194708171",23,"$Eddie Waitkus rounded 3B too far"
"CIN194708172",26,"ej,rickm101,P,stewb901,Call at 1B $no one covered 1B on the bunt; Marv Rickert ran out of the bullpen to argue with 1B umpire Bill Stewart and was ejected by Stewart"
"CIN194708310",30,"HP umpire Beans Reardon removed his coat"
"CIN194709100",51,"$Ewell Blackwell left with a pulled muscle on the left side of his torso"
"CIN194709212",81,"$game called due to darkness; the Reds objected"
"CIN194704160",34,"$Red Munger tripped over the 2B bag and fell; he was helped off the field by teammates"
"CIN194704170",32,"light rain began to fall"
"CIN194705150",4,"$Harry Walker got back to 3B to find Del Ennis standing there"
"CIN194705200",26,"7 minute rain delay"
"CIN194705260",43,"ej,basie101,P,barla901,Call at 2B (Threw glove) Eddie Basinski ejected by 3B umpire Al Barlick"
"CIN194706140",35,"$Buddy Kerr called for interference for running into his own batted ball"
"CIN194706180",0,"$Ewell Blackwell: 96 pitches"
"CIN194706180",66,"missing fielding credit"
"CIN194706222",18,"ej,hermg101,P,conlj102,Balls and strikes (Not in game) Gene Hermanski ejected by HP umpire Jocko Conlan"
"CIN194706300",29,"ej,younb102,P,goetl901,Called third strike Babe Young ejected by HP umpire Larry Goetz"
"CIN194706300",59,"ej,lowrp101,P,goetl901,Called third strike Peanuts Lowrey ejected by HP umpire Larry Goetz"
"CIN194707250",13,"$the ball caromed off Ewell Blackwell's shin"
"CIN194707250",16,"$Augie Galan rounded 2B too far"
"CIN194707271",52,"$Jack Albright left with dislocated right ankle"
"CIN194707271",57,"$Eddie Miller struck on head"
"CIN194707272",77,"Game called due to rain and darkness"
"CIN194707310",0,"$HP umpire Beans Reardon worked without his coat"
"CIN194707310",7,"$Bill Rigney slipped on the muddy infield running to cover 1B on the bunt; the throw was right at the bag"
"CIN194708031",53,"$Ewell Blackwell left with heat exhaustion"
"CIN194708031",60,"umpchange,8,umphome,jordl901 umpchange,8,ump3b,(None) $HP umpire Dusty Boggess left with heat exhaustion"
"CIN194708031",63,"umpchange,8,ump3b,boggd901 $umpire Dusty Boggess returned to the field at 3B"
"CIN194708060",33,"ej,galaa101,P,mageg901,Call at 3B Augie Galan ejected by 3B umpire George Magerkurth"
"CIN194708070",46,"$Frank Baumholtz and Eddie Miller collided; both left injured"
"CIN194708120",63,"$Kirby Higbe left with heat exhaustion"
"CIN194708120",75,"$Ewell Blackwell left with heat exhaustion"
"CIN194708150",17,"ej,johnr103,C,mageg901,Fair/foul call $Doyle Lade bunted along the 1B line; Johnny Vander Meer allowed the ball to roll foul and it was ruled so by HP umpire George Magerkurth; 1B umpire Bill Stewart ruled it was a fair ball and the Reds stormed around Stewart; Magerkurth's call stood and the Cubs argued with him; Cubs Coach Roy Johnson ejected by Magerkurth"
"CIN194708171",23,"$Eddie Waitkus rounded 3B too far"
"CIN194708172",26,"ej,rickm101,P,stewb901,Call at 1B $no one covered 1B on the bunt; Marv Rickert ran out of the bullpen to argue with 1B umpire Bill Stewart and was ejected by Stewart"
"CIN194708310",30,"HP umpire Beans Reardon removed his coat"
"CIN194709100",51,"$Ewell Blackwell left with a pulled muscle on the left side of his torso"
"CIN194709212",81,"$game called due to darkness; the Reds objected"
