GAME_ID,EVENT_ID,COMMENT_TX
"BSN194404220",10,"$Ted Cieslak rounded 2B too far"
"BSN194405240",7,"Gustine is called out but Phillips drops throw from Holmes"
"BSN194405240",9,"Gladu misplays catchable ball, is removed in next inning"
"BSN194405240",65,"Dahlgren steals second and nobody covers to take Masi's throw Ryan is given an error and Gustine credited with stealing home"
"BSN194405250",39,"ej,frisf101,M,pineb101,Balls and strikes $Pirate manager Frisch ejected by HP umpire Pinelli for arguing balls and strikes"
"BSN194405301",23,"Musial bumpted into Macon who was standing in baseline"
"BSN194406010",59,"$Red Munger struck on finger by ball"
"BSN194406030",23,"$Max Macon rounded 2B too far"
"BSN194406030",50,"$Ira Hutchinson missed a diving catch of Ray Mueller's pop bunt; Damon Phillips recovered the ball; Hutchinson broke his glasses and cut his face"
"BSN194407150",20,"$Eddie Stanky tripped over 2B trying to break up the double play and was spiked behind his ear by Connie Ryan; Stanky was carried off the field and required five stitches to close the wound"
"BSN194407150",50,"$Whitey Wietelmann left with a split finger"
"BSN194407201",86,"pbp account ends here, rest deduced"
"BSN194407270",0,"$Twilight game; rain started during game"
"BSN194407290",70,"$eephus pitch on single"
"BSN194407301",40,"$Game delayed for rain"
"BSN194407301",55,"$Game delayed again for rain"
"BSN194407301",64,"$Hutchinson left game after being struck on foot by liner"
"BSN194407310",63,"$Yes, Zak went 1st to third on a sacrifice"
"BSN194408010",0,"Suspend=19440925,,12,8,48"
"BSN194408010",92,"umpchange,9,umphp,conlj102 umpchange,9,ump1b,barrg901 umpchange,9,ump3b,mageg901 suspended,19440925,BOS08,catch train $Game suspended at this point so Pirates could catch a train, completed on 09-25-2016 with new umpires"
"BSN194408251",58,"$Andy Karl picked Max Macon off 1B"
"BSN194408261",37,"$Tony Lupien missed the squeeze bunt on a pitch was in the dirt"
"BSN194408290",57,"$Line drive from Lombardi hit Andrews in pitching hand"
"BSN194409211",34,"$Frank Drews struck on the left cheekbone and was carried from the field"
"BSN194409230",49,"$the line drive broke Clyde Shoun's belt"
"BSN194409290",48,"$Hughes held at third, then scored when throw went to 2nd - no RBI"
