"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL","FILENAME_TX","LINE_NUMBER_CT"
"NYA193004220","PHA",1,0,0,0,0,"",0,0,"bishm102","?","bishm102","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","","","","3/G","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,1,"NYA","PHA","NYA",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","haasm101","cochm101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"gehrl101","F","F","F","F",0,0,0,0,3,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",2
"NYA193004220","PHA",1,0,1,0,0,"",0,0,"haasm101","?","haasm101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","","","","HP","F","F",8,2,16,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2,"NYA","PHA","NYA",0,"F","F",0,0,0,1,1,"T","F",0,1,"T","T","cochm101","simma101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",5,0,0,0,3,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",3
"NYA193004220","PHA",1,0,1,0,0,"",0,0,"cochm101","?","cochm101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","haasm101","","","S9.1-3","F","F",2,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"","F","F","",0,0,"N",0,"N",0,"N",1,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","sherr102","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3,"NYA","PHA","NYA",0,"F","F",0,0,0,2,2,"T","F",1,5,"T","T","simma101","foxxj101","T","T",8,2,2,0,0,0,0,0,0,"hargb101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"ruthb101","F","F","F","F",5,5,0,0,3,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",4
"NYA193004220","PHA",1,0,1,0,0,"",0,0,"simma101","?","simma101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","cochm101","","haasm101","6/7.3-H(E1)(NR)(UR);1-2","F","F",7,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"F","F","F","7",1,1,"F",0,"N",0,"N",0,2,0,5,"6","","","","F","F","F","F","F","F","F","F","F","sherr102","","sherr102","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,4,"NYA","PHA","NYA",0,"F","F",0,0,0,3,3,"T","F",5,2,"T","T","foxxj101","millb110","T","T",2,3,3,0,0,0,8,2,2,"hargb101","","hargb101",0,0,0,0,0,0,0,0,0,0,0,0,1,"koenm101","F","F","F","F",0,5,0,5,2,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",5
"NYA193004220","PHA",1,0,2,0,0,"",1,0,"foxxj101","?","foxxj101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","","cochm101","","S8.2-H(UR)","F","F",3,5,20,"T","T",1,"F","F",0,"F","F",1,"F","F",8,"","F","F","",0,0,"N",0,"N",0,"N",1,0,5,0,"","","","","F","F","F","F","F","F","F","F","F","","sherr102","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5,"NYA","PHA","NYA",0,"F","F",1,0,1,4,4,"T","F",2,1,"T","T","millb110","dykej101","T","T",0,0,0,2,3,3,0,0,0,"","hargb101","",0,0,0,0,0,0,0,0,0,0,0,0,1,"combe101","F","F","F","F",5,0,5,0,1,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",6
"NYA193004220","PHA",1,0,2,0,0,"",2,0,"millb110","?","millb110","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","foxxj101","","","D/89.1-H(UR)","F","F",9,6,21,"T","T",2,"F","F",0,"F","F",1,"F","F",0,"","F","F","89",0,0,"N",0,"N",0,"N",2,5,0,0,"","","","","F","F","F","F","F","F","F","F","F","sherr102","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6,"NYA","PHA","NYA",0,"F","F",2,0,2,5,5,"T","F",1,2,"T","T","dykej101","bolej101","T","T",3,5,5,0,0,0,0,0,0,"hargb101","","",0,0,0,0,0,0,0,0,0,0,0,0,1,"","F","F","F","F",0,5,0,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",7
"NYA193004220","PHA",1,0,2,0,0,"",3,0,"dykej101","?","dykej101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","","millb110","","HP","F","F",5,7,16,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,0,"","","","","F","F","F","F","F","F","F","F","F","","sherr102","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"NYA","PHA","NYA",0,"F","F",3,0,3,6,6,"T","F",2,3,"T","T","bolej101","grovl101","T","T",0,0,0,9,6,6,0,0,0,"","hargb101","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",8
"NYA193004220","PHA",1,0,2,0,0,"",3,0,"bolej101","?","bolej101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","dykej101","millb110","","5/FL","F","F",6,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"F","F","T","",0,0,"N",0,"N",0,"N",0,1,2,0,"5","","","","F","F","F","F","F","F","F","F","F","sherr102","sherr102","","F","F","F","F","F","","","","",0,5,0,0,0,0,0,0,0,8,"NYA","PHA","NYA",0,"F","T",3,0,3,7,7,"T","F",3,3,"T","T","grovl101","bishm102","T","T",5,7,7,9,6,6,0,0,0,"hargb101","hargb101","",0,0,0,0,0,0,0,0,0,0,0,0,0,"chapb102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",9
"NYA193004220","PHA",1,1,0,0,0,"",3,0,"combe101","?","combe101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","","","","W","T","F",8,1,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9,"NYA","NYA","PHA",1,"T","F",0,3,0,0,0,"T","F",0,1,"T","T","koenm101","ruthb101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",4,0,0,0,2,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",10
"NYA193004220","PHA",1,1,0,0,0,"",3,0,"koenm101","?","koenm101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","combe101","","","S7.1-2","F","F",6,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","grovl101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"NYA","NYA","PHA",1,"F","F",0,3,0,1,1,"T","F",1,3,"T","T","ruthb101","gehrl101","T","T",8,1,9,0,0,0,0,0,0,"cochm101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"simma101","F","F","F","F",0,4,0,0,2,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",11
"NYA193004220","PHA",1,1,0,0,0,"",3,0,"ruthb101","?","ruthb101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","koenm101","combe101","","46(1)/FO.2-3","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,3,0,"","46","","","F","F","F","F","F","F","F","F","F","grovl101","grovl101","","F","F","F","F","F","","","","",0,6,0,0,4,0,0,0,0,11,"NYA","NYA","PHA",1,"F","F",0,3,0,2,2,"T","F",3,5,"T","T","gehrl101","lazzt101","T","T",6,2,10,8,1,9,0,0,0,"cochm101","cochm101","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bishm102","T","F","F","F",4,0,4,0,2,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",12
"NYA193004220","PHA",1,1,1,0,0,"",3,0,"gehrl101","?","gehrl101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","ruthb101","","combe101","43.3-H;1-2","F","F",3,4,2,"T","T",0,"F","F",1,"F","F",1,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,2,0,4,"43","","","","F","F","F","F","F","F","F","F","F","grovl101","","grovl101","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,12,"NYA","NYA","PHA",1,"F","F",0,3,0,3,3,"T","F",5,2,"T","T","lazzt101","byrds101","T","T",9,3,11,0,0,0,8,1,9,"cochm101","","cochm101",0,0,0,0,0,0,0,0,0,0,0,0,1,"bishm102","F","F","F","F",0,4,0,4,1,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",13
"NYA193004220","PHA",1,1,2,0,0,"",3,1,"lazzt101","?","lazzt101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","","ruthb101","","S.2-H","F","F",4,5,20,"T","T",1,"F","F",0,"F","F",1,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,4,0,"","","","","F","F","F","F","F","F","F","F","F","","grovl101","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,13,"NYA","NYA","PHA",1,"F","F",1,3,1,4,4,"T","F",2,1,"T","T","byrds101","chapb102","T","T",0,0,0,9,3,11,0,0,0,"","cochm101","",0,0,0,0,0,0,0,0,0,0,0,0,1,"","F","F","F","F",0,0,4,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",14
"NYA193004220","PHA",1,1,2,0,0,"",3,2,"byrds101","?","byrds101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","lazzt101","","","K","F","F",7,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","grovl101","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,14,"NYA","NYA","PHA",1,"F","T",2,3,2,5,5,"T","F",1,1,"T","T","chapb102","hargb101","T","T",4,5,13,0,0,0,0,0,0,"cochm101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",15
"NYA193004220","PHA",2,0,0,0,0,"",3,2,"grovl101","?","grovl101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","","","","D/89","T","F",1,9,21,"T","T",2,"F","F",0,"F","F",0,"F","F",0,"","F","F","89",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,15,"NYA","PHA","NYA",0,"T","F",3,2,0,8,0,"T","F",0,2,"T","T","bishm102","haasm101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",16
"NYA193004220","PHA",2,0,0,0,0,"",3,2,"bishm102","?","bishm102","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","","grovl101","","FC1/SH.2-3;B-1","F","F",4,1,19,"T","F",0,"T","F",0,"F","F",0,"F","F",1,"G","T","F","",0,0,"N",0,"N",0,"N",1,0,3,0,"","","","","F","F","F","F","F","F","F","F","F","","sherr102","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,16,"NYA","PHA","NYA",0,"F","F",3,2,0,9,1,"T","F",2,5,"T","T","haasm101","cochm101","T","T",0,0,0,1,9,15,0,0,0,"","hargb101","",0,0,0,0,0,0,0,0,0,0,0,0,0,"sherr102","F","F","F","F",0,0,4,0,1,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",17
"NYA193004220","PHA",2,0,0,0,0,"",3,2,"haasm101","?","haasm101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","bishm102","","grovl101","7/SF.3-H","F","F",8,2,2,"T","F",0,"F","T",1,"F","F",1,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,0,4,"7","","","","F","F","F","F","F","F","F","F","F","sherr102","","sherr102","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,17,"NYA","PHA","NYA",0,"F","F",3,2,0,10,2,"T","F",5,1,"T","T","cochm101","simma101","T","T",4,1,16,0,0,0,1,9,15,"hargb101","","hargb101",0,0,0,0,0,0,0,0,0,0,0,0,1,"byrds101","F","F","F","F",0,0,0,4,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",18
"NYA193004220","PHA",2,0,1,0,0,"",4,2,"cochm101","?","cochm101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","bishm102","","","8/L","F","F",2,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"L","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"8","","","","F","F","F","F","F","F","F","F","F","sherr102","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,18,"NYA","PHA","NYA",0,"F","F",4,2,1,11,3,"T","F",1,1,"T","T","simma101","foxxj101","T","T",4,1,16,0,0,0,0,0,0,"hargb101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"combe101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",19
"NYA193004220","PHA",2,0,2,0,0,"",4,2,"simma101","?","simma101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","bishm102","","","2/FL","F","F",7,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",2,"F","F","T","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","sherr102","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,19,"NYA","PHA","NYA",0,"F","T",4,2,1,12,4,"T","F",1,1,"T","T","foxxj101","millb110","T","T",4,1,16,0,0,0,0,0,0,"hargb101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"hargb101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",20
"NYA193004220","PHA",2,1,0,0,0,"",4,2,"chapb102","?","chapb102","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","","","","S6","T","F",5,7,20,"T","T",1,"F","F",0,"F","F",0,"F","F",6,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,20,"NYA","NYA","PHA",1,"T","F",2,4,0,6,0,"T","F",0,1,"T","T","hargb101","sherr102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bolej101","F","F","F","F",4,0,0,0,2,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",21
"NYA193004220","PHA",2,1,0,0,0,"",4,2,"hargb101","?","hargb101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","chapb102","","","S7.1-3","F","F",2,8,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"","F","F","",0,0,"N",0,"N",0,"N",1,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","grovl101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,21,"NYA","NYA","PHA",1,"F","F",2,4,0,7,1,"T","F",1,5,"T","T","sherr102","combe101","T","T",5,7,20,0,0,0,0,0,0,"cochm101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"simma101","F","F","F","F",4,4,0,0,2,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",22
"NYA193004220","PHA",2,1,0,0,0,"",4,2,"sherr102","?","sherr102","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","hargb101","","chapb102","D/89.3-H;1-H","F","F",1,9,21,"T","T",2,"F","F",0,"F","F",2,"F","F",0,"","F","F","89",0,0,"N",0,"N",0,"N",2,4,0,4,"","","","","F","F","F","F","F","F","F","F","F","grovl101","","grovl101","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,22,"NYA","NYA","PHA",1,"F","F",2,4,0,8,2,"T","F",5,2,"T","T","combe101","koenm101","T","T",2,8,21,0,0,0,5,7,20,"cochm101","","cochm101",0,0,0,0,0,0,0,0,0,0,0,0,2,"","F","F","F","F",0,4,0,4,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",23
"NYA193004220","PHA",2,1,0,0,0,"",4,4,"combe101","?","combe101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","","sherr102","","K/C","F","F",8,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","grovl101","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,23,"NYA","NYA","PHA",1,"F","F",4,4,2,9,3,"T","F",2,2,"T","T","koenm101","ruthb101","T","T",0,0,0,1,9,22,0,0,0,"","cochm101","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",24
"NYA193004220","PHA",2,1,1,0,0,"",4,4,"koenm101","?","koenm101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","","sherr102","","4/9","F","F",6,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"F","F","F","9",0,0,"N",0,"N",0,"N",0,0,2,0,"4","","","","F","F","F","F","F","F","F","F","F","","grovl101","","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,24,"NYA","NYA","PHA",1,"F","F",4,4,2,10,4,"T","F",2,2,"T","T","ruthb101","gehrl101","T","T",0,0,0,1,9,22,0,0,0,"","cochm101","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bishm102","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",25
"NYA193004220","PHA",2,1,2,0,0,"",4,4,"ruthb101","?","ruthb101","?","grovl101","?","grovl101","?","cochm101","foxxj101","bishm102","dykej101","bolej101","simma101","haasm101","millb110","","sherr102","","K","F","F",9,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","grovl101","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,25,"NYA","NYA","PHA",1,"F","T",4,4,2,11,5,"T","F",2,2,"T","T","gehrl101","lazzt101","T","T",0,0,0,1,9,22,0,0,0,"","cochm101","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",26
"NYA193004220","PHA",3,0,0,0,0,"",4,4,"foxxj101","?","foxxj101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","","","","63","T","F",3,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,26,"NYA","PHA","NYA",0,"T","F",4,4,0,13,0,"T","F",0,0,"T","T","millb110","dykej101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"koenm101","F","F","F","F",0,0,0,0,1,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",27
"NYA193004220","PHA",3,0,1,0,0,"",4,4,"millb110","?","millb110","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","","","","S9","F","F",9,6,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,27,"NYA","PHA","NYA",0,"F","F",4,4,0,14,1,"T","F",0,1,"T","T","dykej101","bolej101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"ruthb101","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",28
"NYA193004220","PHA",3,0,1,0,0,"",4,4,"dykej101","?","dykej101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","millb110","","","153.1-2","F","F",5,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"153","","","","F","F","F","F","F","F","F","F","F","sherr102","","","F","F","F","F","F","","","","",0,3,0,0,1,5,0,0,0,28,"NYA","PHA","NYA",0,"F","F",4,4,0,15,2,"T","F",1,2,"T","T","bolej101","grovl101","T","T",9,6,27,0,0,0,0,0,0,"hargb101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"sherr102","F","F","F","F",0,4,0,0,1,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",29
"NYA193004220","PHA",3,0,2,0,0,"",4,4,"bolej101","?","bolej101","?","sherr102","?","sherr102","?","hargb101","gehrl101","lazzt101","chapb102","koenm101","byrds101","combe101","ruthb101","","millb110","","S8.2-H","F","F",6,8,20,"T","T",1,"F","F",0,"F","F",1,"F","F",8,"","F","F","",0,0,"N",0,"N",0,"N",1,0,4,0,"","","","","F","F","F","F","F","F","F","F","F","","sherr102","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,29,"NYA","PHA","NYA",0,"F","F",4,4,0,16,3,"T","F",2,1,"T","T","grovl101","bishm102","T","T",0,0,0,9,6,27,0,0,0,"","hargb101","",0,0,0,0,0,0,0,0,0,0,0,0,1,"combe101","F","F","F","F",0,0,4,0,0,0,0,0,0,0,F,F,"1930NYA.EVA.regular.event.csv",30
