GAME_ID,EVENT_ID,COMMENT_TX
"TEX197804080",36,"$Chris Chambliss called for interference at 2B"
"TEX197804300",54,"$Since this was a squeeze play, the runner was not on third and the third baseman had charged the plate, so Jenkins continued to third after catching the bunt popup, completing the double play"
"TEX197805170",23,"$Mitchell Page rounded 2B too far"
"TEX197807210",14,"ej,gantj001,P,neudj901,Called third strike ej,bambg001,M,neudj901,Called third strike $Brewers manager Bamber and Gantner ejected by HP umpire Neudecker for arguing called third strike"
"TEX197807260",9,"ej,sundj001,P,reilm901,Called third strike Jim Sundberg ejected by HP umpire Mike Reilly"
"TEX197808160",1,"Debut game for Ross Baumgarten"
"TEX197808160",13,"ej,huntb105,M,dimul901,Call at 1B Rangers Manager Billy Hunter ejected by 1B umpire Lou DiMuro"
"TEX197808250",0,"$substitute umpires worked due to a one-day strike by the staff umpires; Debut for umpires Mike Thompson, Jim Shewmake, Johnny James and Jeff Brown"
"TEX197808270",15,"$U L Washington injured foot sliding into 2B"
"TEX197809160",29,"ej,cartr101,P,pales901,Called third strike Rico Carty ejected by HP umpire Steve Palermo"
"TEX197809230",44,"ej,huntb105,M,goetr901,Bench jockeying Rangers manager Billy Hunter ejected by 3B umpire Russ Goetz sometime in sixth"
"TEX197809242",51,"Debut game for Greg Mahlberg"
"TEX197809250",71,"ej,benij001,P,reilm901,Called third strike Juan Beniquez ejected by HP umpire Mike Reilly"
"TEX197804080",36,"$Chris Chambliss called for interference at 2B"
"TEX197804300",54,"$Since this was a squeeze play, the runner was not on third and the third baseman had charged the plate, so Jenkins continued to third after catching the bunt popup, completing the double play"
"TEX197805170",23,"$Mitchell Page rounded 2B too far"
"TEX197807210",14,"ej,gantj001,P,neudj901,Called third strike ej,bambg101,M,neudj901,Called third strike $Brewers manager Bamberger and Gantner ejected by HP umpire Neudecker for arguing called third strike"
"TEX197807260",9,"ej,sundj001,P,reilm901,Called third strike Jim Sundberg ejected by HP umpire Mike Reilly"
"TEX197808160",1,"Debut game for Ross Baumgarten"
"TEX197808160",13,"ej,huntb105,M,dimul901,Call at 1B Rangers Manager Billy Hunter ejected by 1B umpire Lou DiMuro"
"TEX197808250",0,"$substitute umpires worked due to a one-day strike by the staff umpires; Debut for umpires Mike Thompson, Jim Shewmake, Johnny James and Jeff Brown"
"TEX197808270",15,"$U L Washington injured foot sliding into 2B"
"TEX197809160",29,"ej,cartr101,P,pales901,Called third strike Rico Carty ejected by HP umpire Steve Palermo"
"TEX197809230",44,"ej,huntb105,M,goetr901,Bench jockeying Rangers manager Billy Hunter ejected by 3B umpire Russ Goetz sometime in sixth"
"TEX197809242",51,"Debut game for Greg Mahlberg"
"TEX197809250",71,"ej,benij001,P,reilm901,Called third strike Juan Beniquez ejected by HP umpire Mike Reilly"
