"GAME ID","EVENT_ID","COMMENT_TX","FILENAME_TX","LINE_NUMBER_CT"
"ATL201604040",29,"Ben Revere left with an injured rib cage","2016ATL.EVN.regular.comment.csv",2
"ATL201604040",54,"$Nick Markakis was called for interference for his slide into 2B; he slid past 2B, which is not allowed by the new rule","2016ATL.EVN.regular.comment.csv",3
"ATL201604080",6,"Braves right fielder Ender Inciarte left the game due to an injured leg","2016ATL.EVN.regular.comment.csv",4
"ATL201604080",57,"replay,7,carpm002,SLN,wintm901,ATL02,,N,M,SLN,A $when Matt Carpenter was called out at 2B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",5
"ATL201604080",70,"replay,8,gyorj001,SLN,wintm901,ATL02,,N,U,,A $when Kolton Wong was called out at 1B, crew chief Mike Winters requested a review; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",6
"ATL201604090",88,"replay,9,fryee001,SLN,wintm901,ATL02,,Y,M,SLN,C $when Eric Fryer was called out at 1B, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2016ATL.EVN.regular.comment.csv",7
"ATL201604100",65,"$Daniel Winkler left with a fractured right elbow","2016ATL.EVN.regular.comment.csv",8
"ATL201604200",58,"replay,7,seagc001,LAN,barrt901,ATL02,,N,M,ATL,A $when Enrique Hernandez was called safe at 2B, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",9
"ATL201604210",7,"replay,1,castd001,ATL,barrt901,ATL02,,N,M,ATL,A $when Daniel Castro was called out at 3B, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",10
"ATL201604210",55,"replay,7,seagc001,LAN,barrt901,ATL02,,N,M,LAN,A $when Clayton Kewshaw was called out at HP, Dodgers manager Dave Roberts challenged the ruling; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",11
"ATL201604220",5,"$HP umpire Jeff Kellogg was struck on the side of the mask by a foul ball","2016ATL.EVN.regular.comment.csv",12
"ATL201604220",8,"umpchange,2,umphome,porta901 umpchange,2,ump1b,tumpj901 umpchange,2,ump2b,(None) $HP umpire Jeff Kellogg left the game; 1B umpire Alan Porter moved to HP and 2B umpire John Tumpane moved to 1B","2016ATL.EVN.regular.comment.csv",13
"ATL201604230",38,"$Erick Aybar called for interference for running into his own bunt","2016ATL.EVN.regular.comment.csv",14
"ATL201604240",65,"replay,9,florw001,NYN,gibsg901,ATL02,,N,M,ATL,C $when Wilmer Flores was called safe at 1B, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",15
"ATL201604250",72,"replay,9,freef001,ATL,westj901,ATL02,,N,M,ATL,I $when Freddie Freeman was ruled not to have been hit by a pitch, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",16
"ATL201605060",36,"ej,piera001,P,blasc901,Called third strike Braves catcher A. J. Pierzynski ejected by HP umpire Cory Blaser","2016ATL.EVN.regular.comment.csv",17
"ATL201605080",84,"replay,11,perad001,ARI,holbs901,ATL02,,N,M,ATL,E $when Paul Goldschmidt was called out at 2B, Braves manager Fredi Gonzalez challenged the slide as illegal; the slide was deemed legal by replay and the call upheld","2016ATL.EVN.regular.comment.csv",18
"ATL201605100",41,"$Ender Inciarte faked that he could not see the fly ball; Carlos Ruiz moved closer to 2B and could not get back to 1B in time","2016ATL.EVN.regular.comment.csv",19
"ATL201605110",59,"$originally scored as sinlge plus error, changed to double on 05-12-2016, making run now earned","2016ATL.EVN.regular.comment.csv",20
"ATL201605120",38,"$originally scored as error, changed to single on 05-23-2016","2016ATL.EVN.regular.comment.csv",21
"ATL201605120",51,"replay,7,blana001,PHI,wintm901,ATL02,,Y,M,PHI,A $when Odubel Herrera was called out at 1B on a pickoff attempt, Phillies manager Pete Mackanin challenged the ruling; the call was overturned by replay","2016ATL.EVN.regular.comment.csv",22
"ATL201605240",55,"replay,7,beckg001,ATL,hallt901,ATL02,,Y,M,MIL,A $when Mallex Smith was called safe at 2B, Brewers manager Craig Counsell challenged the ruling; the call was overturned by replay","2016ATL.EVN.regular.comment.csv",23
"ATL201605240",58,"replay,8,villj001,MIL,hallt901,ATL02,,N,M,MIL,A $when Ramon Flores was called out at 1B, Brewers manager Craig Counsell challenged the ruling; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",24
"ATL201605250",102,"replay,12,incie001,ATL,hallt901,ATL02,,Y,M,MIL,C $when Ender Inciarte was called safe at 1B, Brewers manager Craig Counsell challenged the ruling; the call was overturned by replay","2016ATL.EVN.regular.comment.csv",25
"ATL201605250",110,"replay,13,villj001,MIL,hallt901,ATL02,,N,M,MIL,A $when Keon Broxton was called out at HP, Brewers manager Craig Counsell challenged the ruling; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",26
"ATL201605260",1,"replay,1,villj001,MIL,hallt901,ATL02,,Y,M,MIL,C $when Jonathan Villar was called out at 1B, Brewers manager Craig Counsell challenged the ruling; the call was overturned by replay","2016ATL.EVN.regular.comment.csv",27
"ATL201605270",74,"replay,8,flowt001,ATL,marqa901,ATL02,,Y,M,ATL,C $when Tyler Flowers was called out at 1B, Braves interim manager Brian Snitker challenged the ruling; the call was overturned by replay","2016ATL.EVN.regular.comment.csv",28
"ATL201605280",1,"replay,1,suzui001,MIA,marqa901,ATL02,,N,M,ATL,C $when Ichiro Suzuki was called safe at 1B, Braves interim manager Brian Snitker challenged the ruling; the call was upheld by replay","2016ATL.EVN.regular.comment.csv",29
"ATL201605280",32,"$originally scored as double plus E8, changed to triple on 06-09-2016","2016ATL.EVN.regular.comment.csv",30
