GAME_ID,EVENT_ID,COMMENT_TX
"NYA196104150",15,"possible missing assists $Andy Carey dropped the ball in the rundown"
"NYA196104150",42,"Debut game for Bill Kunkel"
"NYA196104150",69,"Debut game for Jay Hankins"
"NYA196104170",7,"$off the facade of the RF upper deck"
"NYA196104201",70,"$failed squeeze play"
"NYA196104201",77,"$Eddie Yost hit on the right hand and suffered a hairline fracture"
"NYA196105120",0,"Protest=V 31 minute rain delay before the start of the game"
"NYA196105120",9,"ej,cashn101,P,honoj901,Called third strike $Norm Cash ejected by HP umpire Jim Honochick for arguing called strike 3"
"NYA196105120",33,"$off the RF pole"
"NYA196105120",74,"DIFF: Gonder's official records do not indicate this CS"
"NYA196105120",77,"ej,colar101,P,hurle901,Jumping into seats to protect his dad $Rocky Colavito ejected by 3B umpire Eddie Hurley for leaving the field and going into the seats to protect his dad during a fight between fans; the Tigers played the game under protest"
"NYA196105211",23,"DIFF: officials do not have this CS"
"NYA196105212",15,"ej,howae101,P,ricej901,Balls and strikes Elston Howard ejected by HP umpire John Rice with 2-1 count on Whitey Herzog"
"NYA196105212",72,"ej,richp101,M,ricej901,Ball 4 $Orioles manager Richards ejected by HP umpire Rice for ball 4 call to Kubek"
"NYA196105220",8,"Roger Maris left with eye problems"
"NYA196105282",14,"DIFF: Berra's official records don't indicate the CS"
"NYA196106051",36,"ej,greel101,P,linsj901,Called third strike Lenny Green ejected by HP umpire Joe Linsalata"
"NYA196106051",71,"DIFF: This GDP was incorrectly credited to the official records of Earl Battey"
"NYA196106060",13,"ej,meles101,M,stewb902,Check swing $Twins manager Mele ejected by HP umpire Stewart for strike call on check swing"
"NYA196106060",32,"$Zoilo versalles did not cover 2B"
"NYA196106081",1,"verify play-3 different plays on 3 different scoresheets"
"NYA196106082",6,"DIFF: This GDP doesn't appear in Maris' official records."
"NYA196106082",15,"DIFF: Richardson's official records call this a W"
"NYA196106082",30,"DIFF: This GDP doesn't appear in Skowron's official records"
"NYA196106082",44,"Debut game for Hal Reniff"
"NYA196106100",20,"$to the CF monuments"
"NYA196106120",49,"DIFF: This K on Stafford is not reflected in his official records"
"NYA196107020",78,"$Jack Reed sprained ankle in top of 8th on Willie Tasby's drive"
"NYA196107041",35,"Rocky Colavito made an error on the relay from CF on double"
"NYA196107041",50,"$Groups of anti-Castro demonstrators forced their way onto the field in a plea for Cuban independence; play held up for several minutes until police could round them up"
"NYA196107050",24,"DIFF: Maris' official records incorrectly credit him with an RBI when Kubek scored on Phillips' throwing error $Bubba Phillips threw the ball into the seats trying to pick off Maris"
"NYA196107080",57,"DIFF: This walk was incorrectly credited to Pagliaroni's official records"
"NYA196107080",64,"$Mickey Mantle struck a metal sign in Yankee dugout with his right fist after being called out on strikes"
"NYA196107092",39,"$Yogi Berra fell down after the catch"
"NYA196107251",30,"off RF pole"
"NYA196107251",31,"off LF pole"
"NYA196107251",60,"Whitey Ford left with heat exhaustion and a headache"
"NYA196107252",37,"ej,lopea102,M,umonf901,Home run call White Sox Manager Al Lopez ejected by 1B umpire Frank Umont"
"NYA196107270",19,"$Elston Howard hit on the head by Floyd Robinson's bat"
"NYA196107302",82,"ej,houkr101,M,hurle901,Balls and strikes (Bumped umpire) $Yankees manager Houk ejected by HP umpire Hurley at end of game for arguing balls and strikes; Houk suspended for five games, team managed by Frank Crosetti in Houk's absence"
"NYA196108021",81,"$Joe Pignatano dropped the throw in a collision with Roger Maris"
"NYA196108040",69,"DIFF: This K by Howard is not reflected in his official records"
"NYA196108040",77,"$Elston Howard called for obstruction"
"NYA196108050",51,"DIFF: This walk was not credited to Skowron's official records."
"NYA196108061",118,"DIFF: This K on Reniff was mistakenly credited to the official records of Skowron."
"NYA196108090",0,"$Bob Cerv injnured his knee and elbow chasing Albie Pearson's foul ball"
"NYA196108150",18,"DIFF: This K was not credited to Boyer's official records"
"NYA196108160",22,"$into the third deck in RF"
"NYA196109010",32,"Whitey Ford left with a mild strain of the left hip muscle"
"NYA196109030",55,"Debut game for Tom Tresh"
"NYA196109042",70,"$leaping grab by Yogi Berra to prevent a homerun by Bob Johnson; Berra injured his hand and was out for 10 days"
"NYA196109060",36,"Debut game for Ed Brinkman"
"NYA196109101",64,"$two fans came onto the field and attacked Jimmy Piersall; Piersall punched one and kicked the other before his teammates roughed them up some more; Police arrested the two fans"
"NYA196109102",0,"Protest=H"
"NYA196109102",31,"Vic Power called for obstruction"
"NYA196109102",47,"$the ball caromed off the 402-foot marker in left center and darted toward CF; 2B umpire Charlie Berry indicated the path of the ball but Clete Boyer intrepreted the signal as a home run as did 3B umpire Frank Umont, who waved his finger over his head; Boyer slowed to his trot rounding 2B; Tito Francona retrieved the ball and threw to 3B where Boyer was tagged out; the out stood even though it was the result of incorrect umpire signals; the Yankees played the game under protest"
"NYA196109260",26,"$Roger Maris' 60th homerun, tying him with Babe Ruth"
"NYA196109260",65,"Debut game for Boog Powell"
"NYA196109300",67,"$Bobby Richardson spiked on play at 2B"
"NYA196110010",26,"Roger Maris' 61st homerun, breaking Babe Ruth's record"
