"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL","FILENAME_TX","LINE_NUMBER_CT"
"NYA201204130","ANA",1,0,0,1,0,"BX",0,0,"aybae001","?","aybae001","?","kuroh001","?","kuroh001","?","martr004","teixm001","canor001","rodra001","jeted001","gardb001","granc001","swisn001","","","","S8/G","T","F",6,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1,"NYA","ANA","NYA",0,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","abreb001","pujoa001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,1,0,0,0,1,0,0,"granc001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",2
"NYA201204130","ANA",1,0,0,1,1,"CB1>X",0,0,"abreb001","?","abreb001","?","kuroh001","?","kuroh001","?","martr004","teixm001","canor001","rodra001","jeted001","gardb001","granc001","swisn001","aybae001","","","8/F","F","F",9,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"8","","","","F","F","F","F","F","F","F","F","F","kuroh001","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,2,"NYA","ANA","NYA",0,"F","F",0,0,0,1,1,"T","F",1,1,"T","T","pujoa001","morak001","T","T",6,1,1,0,0,0,0,0,0,"martr004","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"granc001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",3
"NYA201204130","ANA",1,0,1,0,2,"CFF1>B",0,0,"pujoa001","?","pujoa001","?","kuroh001","?","kuroh001","?","martr004","teixm001","canor001","rodra001","jeted001","gardb001","granc001","swisn001","aybae001","","","SB2","F","F",3,3,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"","","","","T","F","F","F","F","F","F","F","F","kuroh001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3,"NYA","ANA","NYA",0,"F","F",0,0,0,2,2,"T","F",1,2,"T","T","morak001","trumm001","T","T",6,1,1,0,0,0,0,0,0,"martr004","","",1,1,0,0,0,0,3,1,0,2,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",4
"NYA201204130","ANA",1,0,1,1,2,"CFF1>B.FX",0,0,"pujoa001","?","pujoa001","?","kuroh001","?","kuroh001","?","martr004","teixm001","canor001","rodra001","jeted001","gardb001","granc001","swisn001","","aybae001","","7/F","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"7","","","","F","F","F","F","F","F","F","F","F","","kuroh001","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,4,"NYA","ANA","NYA",0,"F","F",0,0,0,2,2,"F","F",2,2,"T","T","morak001","trumm001","T","T",0,0,0,6,1,1,0,0,0,"","martr004","",1,1,0,0,0,0,5,1,0,3,1,0,0,"gardb001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",5
"NYA201204130","ANA",1,0,2,2,2,"BFS*BFFFS",0,0,"morak001","?","morak001","?","kuroh001","?","kuroh001","?","martr004","teixm001","canor001","rodra001","jeted001","gardb001","granc001","swisn001","","aybae001","","K23","F","F",10,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"23","","","","F","F","F","F","F","F","F","F","F","","kuroh001","","F","F","F","F","F","","","","",0,3,0,0,2,0,0,0,0,5,"NYA","ANA","NYA",0,"F","T",0,0,0,3,3,"T","F",2,2,"T","T","trumm001","wellv001","T","T",0,0,0,6,1,1,0,0,0,"","martr004","",2,2,0,0,0,0,6,0,2,4,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",6
"NYA201204130","ANA",1,1,0,1,2,"CBFFS",0,0,"jeted001","?","jeted001","?","sante001","?","sante001","?","iannc001","pujoa001","iztum001","trumm001","aybae001","wellv001","bourp001","abreb001","","","","K","T","F",6,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,6,"NYA","NYA","ANA",1,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","granc001","rodra001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,4,1,1,2,0,0,0,"","F","F","F","F",0,0,0,0,3,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",7
"NYA201204130","ANA",1,1,1,0,2,"CSS",0,0,"granc001","?","granc001","?","sante001","?","sante001","?","iannc001","pujoa001","iztum001","trumm001","aybae001","wellv001","bourp001","abreb001","","","","K","F","F",8,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,7,"NYA","NYA","ANA",1,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","rodra001","canor001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,0,0,3,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",8
"NYA201204130","ANA",1,1,2,1,0,"BX",0,0,"rodra001","?","rodra001","?","sante001","?","sante001","?","iannc001","pujoa001","iztum001","trumm001","aybae001","wellv001","bourp001","abreb001","","","","S7/L","F","F",5,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"NYA","NYA","ANA",1,"F","F",0,0,0,2,2,"T","F",0,1,"T","T","canor001","teixm001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,1,0,0,0,1,0,0,"wellv001","F","F","F","F",4,0,0,0,3,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",9
"NYA201204130","ANA",1,1,2,2,0,"BB>B",0,0,"canor001","?","canor001","?","sante001","?","sante001","?","iannc001","pujoa001","iztum001","trumm001","aybae001","wellv001","bourp001","abreb001","rodra001","","","SB2","F","F",4,4,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"","","","","T","F","F","F","F","F","F","F","F","sante001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9,"NYA","NYA","ANA",1,"F","F",0,0,0,3,3,"T","F",1,2,"T","T","teixm001","swisn001","T","T",5,3,8,0,0,0,0,0,0,"iannc001","","",3,3,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,4,0,0,3,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",10
"NYA201204130","ANA",1,1,2,3,0,"BB>B.B",0,0,"canor001","?","canor001","?","sante001","?","sante001","?","iannc001","pujoa001","iztum001","trumm001","aybae001","wellv001","bourp001","abreb001","","rodra001","","W","F","F",4,4,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,0,"","","","","F","F","F","F","F","F","F","F","F","","sante001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"NYA","NYA","ANA",1,"F","F",0,0,0,3,3,"F","F",2,3,"T","T","teixm001","swisn001","T","T",0,0,0,5,3,8,0,0,0,"","iannc001","",4,4,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",4,0,4,0,3,0,0,0,0,0,F,F,"2012NYA.EVA.regular.event.csv",11
