GAME_ID,EVENT_ID,COMMENT_TX
"BOS200704100",11,"fan interference"
"BOS200704100",67,"ej,guilj001,P,cuzzp901,Walking towards mound after striking out Guillen yelled at Donnelly and was ejected by HP umpire Phil Cuzzi when he walked towards the mound; the benches cleared but no punches were thrown"
"BOS200704100",68,"ej,donnb001,P,cuzzp901,Intentional HBP Red Sox pitcher Brendan Donnelly ejected by HP umpire Phil Cuzzi"
"BOS200704160",3,"Angels right fielder Vladimir Guerrero left the game due to an injured hand/wrist"
"BOS200704200",29,"Yankees catcher Jorge Posada left the game due to an injured left thumb"
"BOS200704200",40,"$ARod's 12th homer in April"
"BOS200704220",31,"$over the seats into the street"
"BOS200704220",32,"$the fifth time in history that a team hit four consecutive homers; second time that they were surrendered by one pitcher (Paul Foytack); J.D. Drew also was part of the previous instance on 9/18/2006 with the Dodgers"
"BOS200704220",71,"infield shifted to right for Giambi"
"BOS200704240",14,"Blue Jays catcher Gregg Zaun left the game due to an injured hand/wrist"
"BOS200705010",40,"fan interference"
"BOS200705010",41,"ej,gereb001,M,relic901,Balls and strikes Athletics Manager Bob Geren ejected by HP umpire Charlie Reliford for arguing the checked swing on the third strike to Chavez"
"BOS200705020",65,"originally scored CS2 with E2, changed next day"
"BOS200705120",70,"Orioles pitcher Jon Leicester left the game due to an injured neck/shoulder"
"BOS200705130",30,"Red Sox pitcher Josh Beckett left the game due to an injured finger"
"BOS200705140",53,"$Kevin Youkilis called for interference"
"BOS200705150",19,"$Drew hurt his back on top of wall leaping for homer"
"BOS200705150",58,"$Drew leaves here after bruising back in 3rd"
"BOS200705192",35,"Red Sox pitcher Devern Hansack left the game due to an injured hand/wrist"
"BOS200705300",46,"fan interference"
"BOS200706010",29,"$hit on the wrist"
"BOS200706010",52,"Red Sox third baseman Mike Lowell left the game due to an injured wrist"
"BOS200706010",56,"ej,torrj101,M,crawj901,Caught stealing call at 3B $Yankee Mgr Joe Torre argued the caught stealing, went back to the dugout and then came out two pitches later to argue again; he was ejected by 3B umpire Jerry Crawford"
"BOS200706010",62,"Boston Red Sox right fielder J. D. Drew left the game due to a right hamstring strain"
"BOS200706010",91,"ej,procs001,P,onorb901,Intentional HBP $both benches cleared after Youkilis took a few steps to the mound; Yankees pitcher Scott Proctor ejected by HP umpire Brian O'Nora"
"BOS200706020",66,"Mientkiewicz dove sideways for Jeter's wide throw and Lowell's left knee struck the back of Mientkiewicz's head; he was placed on the 15-day DL with a mild concussion, cervical sprain and fractured scaphoid bone in his right wrist"
"BOS200706150",10,"ej,ortid001,P,randt901,Called third strike Red Sox designated hitter David Ortiz ejected by HP umpire Tony Randazzo; he argued the called third strike at the plate and then threw his helmet back towards the field when he reached the dugout"
"BOS200706300",17,"Debut game for Jacoby Ellsbury"
"BOS200707020",21,"fan interference"
"BOS200707050",64,"$Devil Rays catcher Dioner Navarro collided with Josh Beckett behind 1B; he had to be helped off the field and was taken to the hospital for x-rays he left the game due to an injured head"
