GAME_ID,EVENT_ID,COMMENT_TX
"NYN199304100",68,"Debut game for Mike Draper"
"NYN199304210",66,"Debut game for Tim Bogar"
"NYN199304230",34,"$Greg Harris called for interference"
"NYN199304250",3,"ej,hundt001,P,davib902,Fighting with Gary Sheffield ej,shefg001,P,davib902,Fighting with Todd Hundley $Todd Hundley saw Gary Sheffield looking down at the pitch signals; Hundley stood up and fought with Sheffield; both players were ejected by HP umpire Bob Davidson"
"NYN199305080",0,"ej,raded103,C,ripps901,Balls and strikes Marlins coach Doug Rader ejected by HP umpire Steve Rippley sometime in game"
"NYN199305090",60,"$Walt Weiss called for interference"
"NYN199305210",21,"ej,johnh001,P,laynj901,Call at 3B Howard Johnson ejected by 3B umpire Jerry Layne arguing the call at 3B on the attempted force"
"NYN199306120",65,"Debut game for Dave Telgheder"
"NYN199306130",5,"Debut game for Doug Saunders"
"NYN199306210",55,"Debut game for Jeromy Burnitz"
"NYN199306220",0,"ej,greed101,M,willc901,Balls and strikes Mets manager Dallas Green ejected by HP umpire Charlie Williams sometime in game"
"NYN199307020",44,"game called for rain"
"NYN199307040",30,"ej,kentj001,P,crawj901,Called third strike Jeff Kent ejected by HP umpire Jerry Crawford"
"NYN199307090",42,"ej,karre001,P,hohnb901,Checked swing ej,lasot101,M,hohnb901,Checked swing Eric Karros and Dodgers manager Tommy Lasorda ejected by HP umpire Bill Hohn arguing a checked swing"
"NYN199307090",46,"ej,greed101,M,hohnb901,Balls and strikes ej,murre001,P,hohnb901,Balls and strikes Eddie Murray and Mets manager Dallas Green ejected by HP umpire Bill Hohn when the third pitch was called a strike"
"NYN199308100",46,"$Fred McGriff called for interference"
"NYN199308230",16,"ej,goodd001,P,darlg901,Intentional HBP Dwight Gooden ejected by HP umpire Gary Darling"
"NYN199308300",60,"ej,jamec001,P,davib902,Balls and strikes Chris James ejected by HP umpire Bob Davidson"
"NYN199309140",0,"ej,fregj101,M,wendh901,Balls and strikes Phillies manager Jim Fregosi ejected by HP umpire Harry Wendelstedt sometime in game"
"NYN199309260",53,"Debut game for Brian Looney"
"NYN199309270",0,"ej,torrj101,M,bonig901,Balls and strikes Cardinals manager Joe Torre ejected by HP umpire Greg Bonin sometime in game"
"NYN199309290",116,"Debut game for Kenny Greer"
"NYN199304100",68,"Debut game for Mike Draper"
"NYN199304210",66,"Debut game for Tim Bogar"
"NYN199304230",34,"$Greg Harris called for interference"
"NYN199304250",3,"ej,hundt001,P,davib902,Fighting with Gary Sheffield ej,shefg001,P,davib902,Fighting with Todd Hundley $Todd Hundley saw Gary Sheffield looking down at the pitch signals; Hundley stood up and fought with Sheffield; both players were ejected by HP umpire Bob Davidson"
"NYN199305080",24,"ej,raded103,C,ripps901,Called third strike $Marlins coach Rader ejected by HP umpire Rippley for arguing called third strike on Weiss"
"NYN199305090",60,"$Walt Weiss called for interference"
"NYN199305210",21,"ej,johnh001,P,laynj901,Call at 3B Howard Johnson ejected by 3B umpire Jerry Layne arguing the call at 3B on the attempted force"
"NYN199306120",65,"Debut game for Dave Telgheder"
"NYN199306130",5,"Debut game for Doug Saunders"
"NYN199306210",55,"Debut game for Jeromy Burnitz"
"NYN199306220",48,"ej,greed101,M,willc901,Called third strike $Mets manager Green ejected by HP umpire Williams for arguing called third strike"
"NYN199307020",44,"game called for rain"
"NYN199307040",30,"ej,kentj001,P,crawj901,Called third strike Jeff Kent ejected by HP umpire Jerry Crawford"
"NYN199307090",42,"ej,karre001,P,hohnb901,Checked swing ej,lasot101,M,hohnb901,Checked swing Eric Karros and Dodgers manager Tommy Lasorda ejected by HP umpire Bill Hohn arguing a checked swing"
"NYN199307090",46,"ej,greed101,M,hohnb901,Balls and strikes ej,murre001,P,hohnb901,Balls and strikes Eddie Murray and Mets manager Dallas Green ejected by HP umpire Bill Hohn when the third pitch was called a strike"
"NYN199308100",46,"$Fred McGriff called for interference"
"NYN199308230",16,"ej,goodd001,P,darlg901,Intentional HBP Dwight Gooden ejected by HP umpire Gary Darling"
"NYN199308300",60,"ej,jamec001,P,davib902,Balls and strikes Chris James ejected by HP umpire Bob Davidson"
"NYN199309140",71,"ej,fregj101,M,wendh901,Balls and strikes $Phillies manager Fregosi ejected by HP umpire Wendelstedt for arguing balls and strikes with Dykstra at bat"
"NYN199309260",53,"Debut game for Brian Looney"
"NYN199309270",3,"ej,torrj101,M,bonig901,Balls and strikes $Cardinals manager Torre ejected by HP umpire Bonin for arguing balls and strikes with Jefferies at bat"
"NYN199309290",116,"Debut game for Kenny Greer"
