"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL","FILENAME_TX","LINE_NUMBER_CT"
"SLA193704210","CHA",1,0,0,0,0,"",0,0,"radcr101","?","radcr101","?","hildo101","?","hildo101","?","hemsr101","bottj101","hornr101","clifh101","knicb101","vosmj101","wests101","bellb102","","","","3/G","T","F",7,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,1,"SLA","CHA","SLA",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","rosel101","walkd101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bottj101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",2
"SLA193704210","CHA",1,0,1,0,0,"",0,0,"rosel101","?","rosel101","?","hildo101","?","hildo101","?","hemsr101","bottj101","hornr101","clifh101","knicb101","vosmj101","wests101","bellb102","","","","8","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,2,"SLA","CHA","SLA",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","walkd101","bonuz101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"wests101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",3
"SLA193704210","CHA",1,0,2,0,0,"",0,0,"walkd101","?","walkd101","?","hildo101","?","hildo101","?","hemsr101","bottj101","hornr101","clifh101","knicb101","vosmj101","wests101","bellb102","","","","43","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,3,"SLA","CHA","SLA",0,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","bonuz101","appll101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"hornr101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",4
"SLA193704210","CHA",1,1,0,0,0,"",0,0,"knicb101","?","knicb101","?","kennv101","?","kennv101","?","sewel101","bonuz101","hayej101","bergb101","appll101","radcr101","rosel101","walkd101","","","","S8","T","F",6,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4,"SLA","SLA","CHA",1,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","wests101","vosmj101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"rosel101","F","F","F","F",4,0,0,0,2,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",5
"SLA193704210","CHA",1,1,0,0,0,"",0,0,"wests101","?","wests101","?","kennv101","?","kennv101","?","sewel101","bonuz101","hayej101","bergb101","appll101","radcr101","rosel101","walkd101","knicb101","","","6/P","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"P","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"6","","","","F","F","F","F","F","F","F","F","F","kennv101","","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,5,"SLA","SLA","CHA",1,"F","F",0,0,0,1,1,"T","F",1,1,"T","T","vosmj101","bellb102","T","T",6,1,4,0,0,0,0,0,0,"sewel101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"appll101","F","F","F","F",0,4,0,0,2,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",6
"SLA193704210","CHA",1,1,1,0,0,"",0,0,"vosmj101","?","vosmj101","?","kennv101","?","kennv101","?","sewel101","bonuz101","hayej101","bergb101","appll101","radcr101","rosel101","walkd101","knicb101","","","W.1-2","F","F",7,3,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","kennv101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6,"SLA","SLA","CHA",1,"F","F",0,0,0,2,2,"T","F",1,3,"T","T","bellb102","hornr101","T","T",6,1,4,0,0,0,0,0,0,"sewel101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",4,4,0,0,2,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",7
"SLA193704210","CHA",1,1,1,0,0,"",0,0,"bellb102","?","bellb102","?","kennv101","?","kennv101","?","sewel101","bonuz101","hayej101","bergb101","appll101","radcr101","rosel101","walkd101","vosmj101","knicb101","","S8/L.2-H;1-3;BX2(86434)","F","F",9,4,20,"T","T",1,"F","F",1,"F","F",1,"F","F",8,"L","F","F","",0,0,"N",0,"N",0,"N",0,3,4,0,"86434","","","","F","F","F","F","F","F","F","F","F","kennv101","kennv101","","F","F","F","F","F","","","","",0,4,0,0,8,6,4,3,0,7,"SLA","SLA","CHA",1,"F","F",0,0,0,3,3,"T","F",3,4,"T","T","hornr101","clifh101","T","T",7,3,6,6,1,4,0,0,0,"sewel101","sewel101","",0,0,0,0,0,0,0,0,0,0,0,0,1,"rosel101","F","F","F","F",0,4,4,0,1,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",8
"SLA193704210","CHA",1,1,2,0,0,"",0,1,"hornr101","?","hornr101","?","kennv101","?","kennv101","?","sewel101","bonuz101","hayej101","bergb101","appll101","radcr101","rosel101","walkd101","","","vosmj101","S9.3-H","F","F",4,5,20,"T","T",1,"F","F",0,"F","F",1,"F","F",9,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,4,"","","","","F","F","F","F","F","F","F","F","F","","","kennv101","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"SLA","SLA","CHA",1,"F","F",1,0,1,4,4,"T","F",4,1,"T","T","clifh101","bottj101","T","T",0,0,0,0,0,0,7,3,6,"","","sewel101",0,0,0,0,0,0,0,0,0,0,0,0,1,"walkd101","F","F","F","F",0,0,0,4,0,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",9
"SLA193704210","CHA",1,1,2,0,0,"",0,2,"clifh101","?","clifh101","?","kennv101","?","kennv101","?","sewel101","bonuz101","hayej101","bergb101","appll101","radcr101","rosel101","walkd101","hornr101","","","D9.1-3","F","F",5,6,21,"T","T",2,"F","F",0,"F","F",0,"F","F",9,"","F","F","",0,0,"N",0,"N",0,"N",2,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","kennv101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9,"SLA","SLA","CHA",1,"F","F",2,0,2,5,5,"T","F",1,6,"T","T","bottj101","hemsr101","T","T",4,5,8,0,0,0,0,0,0,"sewel101","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"walkd101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",10
"SLA193704210","CHA",1,1,2,0,0,"",0,2,"bottj101","?","bottj101","?","kennv101","?","kennv101","?","sewel101","bonuz101","hayej101","bergb101","appll101","radcr101","rosel101","walkd101","","clifh101","hornr101","6/P","F","F",3,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"P","F","F","",0,0,"N",0,"N",0,"N",0,0,2,3,"6","","","","F","F","F","F","F","F","F","F","F","","kennv101","kennv101","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,10,"SLA","SLA","CHA",1,"F","T",2,0,2,6,6,"T","F",6,6,"T","T","hemsr101","hildo101","T","T",0,0,0,5,6,9,4,5,8,"","sewel101","sewel101",0,0,0,0,0,0,0,0,0,0,0,0,0,"appll101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1937SLA.EVA.regular.event.csv",11
