GAME_ID,EVENT_ID,COMMENT_TX
"CAL197104060",0,"Debut for umpire Dave Phillips"
"CAL197104210",64,"ej,willd104,M,flahr901,Called strike 3 $Athletics manager Williams ejected by HP umpire Flaherty for arguing called strike 3 to Monday"
"CAL197105190",38,"$Debut game for Jim Strickland"
"CAL197106280",47,"missed squeeze"
"CAL197106280",72,"$Paul Splittorff: 118 pitches, 31 balls"
"CAL197106300",6,"Cookie Rojas right leg knotted up running out double"
"CAL197107170",14,"$Debut game for Bruce Christensen"
"CAL197108200",40,"$Debut game for Terry Ley"
"CAL197108250",58,"$Dick Billings called for interference"
"CAL197109090",12,"$Debut game for Billy Parker"
"CAL197109090",63,"$Debut game for Rudy Meoli"
"CAL197109131",35,"ej,stepj101,P,neudj901,Balls and strikes $Catcher Stephenson ejected by HP umpire Neudecker for arguing balls and strikes at end of 4th inning"
"CAL197109210",61,"$Mickey Rivers called for interference"
"CAL197109230",68,"$missed squeeze"
