GAME_ID,EVENT_ID,COMMENT_TX
"SFN197804070",12,"Debut game for Ozzie Smith"
"SFN197804070",47,"Debut game for Chuck Baker"
"SFN197804070",62,"Debut game for Don Reynolds"
"SFN197804080",42,"Debut game for Rick Sweet"
"SFN197805100",73,"$Omar Moreno called for interference for running out of baseline"
"SFN197805141",3,"ej,barrj101,P,davis901,Balk call Jim Barr ejected by 1B umpire Satch Davidson"
"SFN197805170",56,"$Terry Whitfield called for interference"
"SFN197805250",61,"Debut game for Reggie Baldwin"
"SFN197806200",70,"$missed squeeze play"
"SFN197807210",33,"$Rennie Stennett hurt on pivot but stayed in game"
"SFN197807260",24,"$Ted Simmons called for interference at 2B"
"SFN197808030",74,"ej,altoj101,M,quicj901,Catch/trap call $Giants Manager Joe Altobelli ejected by 2B umpire Jim Quick arguing that the ball had been caught; right fielder Clark and center fielder Herndon collided and there was confusion about whether or not the ball was caught; Clark had to leave game"
"SFN197808250",0,"$substitute umpires worked due to a one-day strike by the staff umpires; Debut for umpires Hank Tillman, Roy Roth, Tony Patch and Jim Cuneo"
"SFN197808290",62,"$Skip Lockwood left with arm problem"
"SFN197809020",64,"Debut game for Lonnie Smith"
"SFN197809120",53,"Debut game for Rudy Law"
"SFN197809150",58,"Debut game for Phil Nastu"
"SFN197809160",13,"$missed squeze"
"SFN197809160",59,"$John Montefusco thought he had struck out George Foster on a pitch called a ball"
"SFN197809160",61,"ej,altoj101,M,quicj901,Balls and strikes ej,brisd801,C,quicj901,Balls and strikes ej,davej101,C,quicj901,Balls and strikes ej,montj001,P,quicj901,Balls and strikes $John Montefusco yelled as he left the field; Montefusco, Giants Manager Joe Altobelli, Giants Coach Dave Bristol and Giants Coach Jim Davenport ejected by HP umpire Jim Quick"
"SFN197809160",64,"ej,andes101,M,harvd901,Call at 2B Reds Manager Sparky Anderson ejected by 2B umpire Doug Harvey"
"SFN197809170",46,"$Johnny Bench rounded 2B too far"
"SFN197809220",26,"$1B umpire Eric Gregg ruled Heity Cruz trapped Enos Cabell's ball but 2B umpire John Kibler overruled Gregg"
"SFN197804070",12,"Debut game for Ozzie Smith"
"SFN197804070",47,"Debut game for Chuck Baker"
"SFN197804070",62,"Debut game for Don Reynolds"
"SFN197804080",42,"Debut game for Rick Sweet"
"SFN197805100",73,"$Omar Moreno called for interference for running out of baseline"
"SFN197805141",3,"ej,barrj101,P,davis901,Balk call Jim Barr ejected by 1B umpire Satch Davidson"
"SFN197805170",56,"$Terry Whitfield called for interference"
"SFN197805250",61,"Debut game for Reggie Baldwin"
"SFN197806200",70,"$missed squeeze play"
"SFN197807210",33,"$Rennie Stennett hurt on pivot but stayed in game"
"SFN197807260",24,"$Ted Simmons called for interference at 2B"
"SFN197808030",74,"ej,altoj101,M,quicj901,Catch/trap call $Giants Manager Joe Altobelli ejected by 2B umpire Jim Quick arguing that the ball had been caught; right fielder Clark and center fielder Herndon collided and there was confusion about whether or not the ball was caught; Clark had to leave game"
"SFN197808250",0,"$substitute umpires worked due to a one-day strike by the staff umpires; Debut for umpires Hank Tillman, Roy Roth, Tony Patch and Jim Cuneo"
"SFN197808290",62,"$Skip Lockwood left with arm problem"
"SFN197809020",64,"Debut game for Lonnie Smith"
"SFN197809120",53,"Debut game for Rudy Law"
"SFN197809150",58,"Debut game for Phil Nastu"
"SFN197809160",13,"$missed squeze"
"SFN197809160",59,"$John Montefusco thought he had struck out George Foster on a pitch called a ball"
"SFN197809160",61,"ej,altoj101,M,quicj901,Balls and strikes ej,brisd801,C,quicj901,Balls and strikes ej,davej101,C,quicj901,Balls and strikes ej,montj001,P,quicj901,Balls and strikes $John Montefusco yelled as he left the field; Montefusco, Giants Manager Joe Altobelli, Giants Coach Dave Bristol and Giants Coach Jim Davenport ejected by HP umpire Jim Quick"
"SFN197809160",64,"ej,andes101,M,harvd901,Call at 2B Reds Manager Sparky Anderson ejected by 2B umpire Doug Harvey"
"SFN197809170",46,"$Johnny Bench rounded 2B too far"
"SFN197809220",26,"$1B umpire Eric Gregg ruled Heity Cruz trapped Enos Cabell's ball but 2B umpire John Kibler overruled Gregg"
