"PIT195805090",0,"$Ron Kline 166 pitches; Robin Roberts 124 pitches"FILENAME_TX","LINE_NUMBER_CT"

"PIT195805210",22,"$Tony Taylor left with a pulled muscle in his right thigh"1958PIT.EVN.regular.comment.csv",2

"PIT195805230",29,"$Hank Foiles left with an injury sometime in the top of the 4th"1958PIT.EVN.regular.comment.csv",3

"PIT195805251",33,"$Rubven Gomez warned by HP umpire Frank Dascoli"1958PIT.EVN.regular.comment.csv",4

"PIT195805251",38,"ej,murtd101,M,dascf901,Beanball war $Vern Law threw at Ruben Gomez; HP umpire Frank Dascoli warned Law; Pirates Manager Danny Murtaugh ran onto the field to protect Law but started arguing with Gomez; Gomez swung his bat at Murtaugh but missed; Murtaugh threw a punch at Gomez but also missed; both benches cleared and there was a 15 minute delay; Murtaugh ejected by Dascoli"1958PIT.EVN.regular.comment.csv",5

"PIT195805280",29,"$Sandy Koufax rounded 2B too far"1958PIT.EVN.regular.comment.csv",6

"PIT195806010",61,"Game called due to rain"1958PIT.EVN.regular.comment.csv",7

"PIT195806170",37,"sometime in fifth"1958PIT.EVN.regular.comment.csv",8

"PIT195806170",44,"ej,franh101,C,venzt901,Balls and strikes ej,rignb101,M,venzt901,Balls and strikes $Giants manager Rigney and coach Franks ejected by HP HP umpire Tony Venzon for arguing balls and strikes while Thomas was batting"1958PIT.EVN.regular.comment.csv",9

"PIT195806210",50,"ej,murtd101,M,delmv901,Fair/foul call John Powers hit a long fly down the RF that was ruled foul by 1B umpire Vic Delmore; Pirates Manager Danny Murtaugh ejected by Delmore; the Dodgers changed pitchers and the Pirates sent up a new hitter"1958PIT.EVN.regular.comment.csv",10

"PIT195806221",36,"ej,frieb102,P,delmv901,Balls and strikes Bob Friend ejected by HP umpire Vic Delmore"1958PIT.EVN.regular.comment.csv",11

"PIT195806221",58,"$missed squeeze"1958PIT.EVN.regular.comment.csv",12

"PIT195806230",74,"ej,greeg101,P,donaa901,Called third strike Gene Green ejected by HP umpire Augie Donatelli"1958PIT.EVN.regular.comment.csv",13

"PIT195806280",24,"ej,moryw101,P,gormt101,HBP non-call $Walt Moryn told HP umpire Ken Burkhart he was struck on the arm by one of Curt Raydon's pitches; Burkhart said no and a dispute developed; on his way to the bench after striking out, Moryn continued to complain and was ejected by 3B umpire Tom Gorman"1958PIT.EVN.regular.comment.csv",14

"PIT195806280",34,"Reconstructed portions from top of 5 to end in PIT195806280"1958PIT.EVN.regular.comment.csv",15

"PIT195806292",15,"ej,clemr101,P,burkk101,Call at 1B Roberto Clemente ejected by 1B umpire Ken Burkhart"1958PIT.EVN.regular.comment.csv",16

"PIT195807231",29,"ej,portb102,P,conlj102,Picking up live ball while in bullpen $the ball rolled into the Pirates bullpen where it was trapped by Bob Porterfield in a helmet; HP umpire Jocko Conlan ruled interference on Porterfield, made Norm Larker, who had reached 3B, return to 2B; Porterfield ejected by Conlan"1958PIT.EVN.regular.comment.csv",17

"PIT195807231",39,"$lights turned on"1958PIT.EVN.regular.comment.csv",18

"PIT195807272",0,"Suspend=19580909,,3,3,46"1958PIT.EVN.regular.comment.csv",19

"PIT195807272",64,"ej,rignb101,M,gormt101,Satlling $Giants manager Bill Rigney ejected by HP umpire Tom Gorman for stalling until the curfew time was reached"1958PIT.EVN.regular.comment.csv",20

"PIT195807272",65,"umpchange,8,umphome,dixoh901 umpchange,8,ump1b,gormt101 umpchange,8,ump2b,burkk101 umpchange,8,ump3b,boggd901 suspended,19580909,PIT06,curfew $game suspended by curfew and completed on 9/9 with new umpires"1958PIT.EVN.regular.comment.csv",21

"PIT195807300",14,"ej,scheb101,M,dascf901,Call at 1B Cubs Manager Bob Scheffing ejected by 1B umpire Frank Dascoli"1958PIT.EVN.regular.comment.csv",22

"PIT195807300",65,"game called after 37 minute rain delay"1958PIT.EVN.regular.comment.csv",23

"PIT195807310",0,"40 minute rain delay before start of game"1958PIT.EVN.regular.comment.csv",24

"PIT195807310",17,"pbp account ends here"1958PIT.EVN.regular.comment.csv",25

"PIT195807310",79,"game called after 32 minute rain delay"1958PIT.EVN.regular.comment.csv",26

"PIT195808032",0,"Suspend=19580916,,0,2,29"1958PIT.EVN.regular.comment.csv",27

"PIT195808032",44,"suspended,19580916,PIT06,curfew $game suspended due to curfew and completed on 9/16"1958PIT.EVN.regular.comment.csv",28

"PIT195808080",61,"ej,tempj101,P,delmv901,Call at 1B Johnny Temple ejected by 1B umpire Vic Delmore"1958PIT.EVN.regular.comment.csv",29

"PIT195808090",42,"ej,tebbb101,M,delmv901,Called third strike Reds Manager Birdie Tebbetts ejected by HP umpire Vic Delmore"1958PIT.EVN.regular.comment.csv",30

"PIT195808090",65,"$Bill Mazerowski called for interference on Ed Bailey's throw"1958PIT.EVN.regular.comment.csv",31

"PIT195809020",39,"$Wally Post rounded 1B too far"1958PIT.EVN.regular.comment.csv",32

"PIT195809050",65,"Several plays in the bottom of the 8th were guesses."1958PIT.EVN.regular.comment.csv",33

"PIT195809060",41,"$406 ft"1958PIT.EVN.regular.comment.csv",34

"PIT195809130",53,"ej,alstw101,M,smitv101,Call at 2B Dodgers Manager Walter Alston ejected by 2B umpire Vinnie Smith"1958PIT.EVN.regular.comment.csv",35

"PIT195809160",13,"11 minute rain delay"1958PIT.EVN.regular.comment.csv",36

