GAME_ID,EVENT_ID,COMMENT_TX
"OAK201203280",0,"$First game of the 2012 season; played at Tokyo Dome, Tokyo, Japan"
"OAK201203290",0,"$Played at Tokyo Dome, Tokyo, Japan"
"OAK201203290",50,"$first home run of Cespedes' career"
"OAK201204100",26,"Royals center fielder Lorenzo Cain left the game due to an injured groin"
"OAK201204100",56,"$Game called for rain"
"OAK201205120",34,"Athletics second baseman Jemile Weeks left the game due to an injured ankle"
"OAK201205220",14,"$John Hester called out due to interference by batter Mike Trout on catcher Anthony Recker; Hester was running on the pitch and Trout got in Recker's way as he tried to throw to 2B"
"OAK201205220",56,"Angels shortstop Erick Aybar left the game due to an injured knee"
"OAK201205250",19,"$Originally scored as E8, changed to double on 5-31-2012"
"OAK201206070",8,"Athletics center fielder Yoenis Cespedes left the game due to an injured leg"
"OAK201206170",17,"Athletics pitcher Bartolo Colon left the game due to an injured side"
"OAK201206170",51,"$Nick Hundley called for batter interference on the attempted steal by Cameron Maybin"
"OAK201206230",56,"$Coco Crisp thought he walked and voiced his displeasure as he returned to the bench"
"OAK201206230",57,"ej,crisc001,P,randt901,Called third strike (from the bench) Athletics left fielder Coco Crisp ejected by HP umpire Tony Randazzo"
"OAK201207030",62,"$originally as E6, changed to single on 7-05-2012"
"OAK201207040",26,"$David Ortiz 400th home run"
"OAK201207040",44,"$originally scored as error, changed to single on 7-12-2012; causes run now to be earned"
"OAK201207070",4,"$originally scored as single and 2-base error, changed to triple on 7-16-2012; adds RBI and makes run earned"
"OAK201207080",26,"Athletics center fielder Yoenis Cespedes left the game due to an injured hand"
"OAK201207190",4,"$Yoenis Cespedes appeared to catch the line drive but then dropped the ball; 3B umpire Brian Knight ruled no catch; Derek Jeter did not see the ruling and stayed near 2B; Cepedes threw to 3B for a force but the throw was over the head of Brandon Inge; pitcher A.J. Griffin retrieved the ball and ran to 3B for the force and then threw to 2B trying to put out Alex Rodriguez but the throw pulled Jemile Weeks off the bag"
"OAK201207200",54,"Yankees right fielder Nick Swisher left the game due to an injured hip"
"OAK201208020",39,"$originally scored E7, changed to triple on 8-10-2012"
"OAK201208020",57,"Athletics designated hitter Seth Smith left the game due to an injured leg"
"OAK201208030",5,"Blue Jays third baseman Brett Lawrie left the game due to an injured chest"
"OAK201208030",63,"Athletics center fielder Yoenis Cespedes left the game due to an injured arm"
"OAK201208040",9,"Athletics pitcher A. J. Griffin left the game due to an injured shoulder"
"OAK201208070",57,"replay,6,norrd001,OAK,scotd901,OAK01,O,Y,I,,H the fly ball by Derek Norris hit the concrete facing of the stands, bounced off the top of the wall above the yellow stripe and caromed of an advertisement onto the field; it was ruled in play; the umpires huddled then crew chief Dale Scott watched the replay and overturned the call to a home run"
"OAK201208080",7,"$the first pitch to Yoenis Cespedes was a fast ball inside; catcher Chris Iannetta was crossed up by pitcher Zack Greinke and the ball struck HP umpire Bill Miller on the mask at his chin; Miller was examined but stayed in the game until the sixth inning"
"OAK201208080",61,"umpchange,6,umphome,iassd901 umpchange,6,ump2b,(None) $HP umpire Bill Miller, who had been struck on the mask by a Zack Greinke pitch in the first inning, left the game"
"OAK201208170",26,"$originally scored E7, change to single next day; makes 1 previously unearned run become earned"
"OAK201208210",59,"$catcher Ryan Doumit picked up the ball in front of the plate and ran back to step on the plate for an out; his throw to 1B hit batter Josh Donaldson, who was ruled out for interference"
"OAK201209010",28,"Athletics third baseman Brandon Inge left the game due to an injured shoulder"
"OAK201209050",29,"$Athletics pitcher Brandon McCarthy was struck on the head by a line drive; a scan revealed en epidural hemorrhage, brain contusion and skull fracture"
"OAK201209140",62,"$Yoenis Cespedes stepped across the plate on his back swing; catcher Matt Wieters' throw to 2B was high and his hand hit Cespedes' helmet; Cepedes called for interference"
"OAK201209280",39,"$originally scored E6, changed to single on 10-02-2012"
"OAK201209300",23,"Mariners center fielder Franklin Gutierrez left the game due to an injured groin"
"OAK201210020",58,"replay,8,crisc001,OAK,cedeg901,OAK01,F,N,I,,H $on the third pitch, Coco Crisp hit a fly ball down the LF line that was called foul; the Athletics asked about the ruling, so the umpires huddled and crew chief Gary Cederstrom watched the replay and upheld the call"
"OAK201203280",0,"$First game of the 2012 season; played at Tokyo Dome, Tokyo, Japan"
"OAK201203290",0,"$Played at Tokyo Dome, Tokyo, Japan"
"OAK201203290",50,"$first home run of Cespedes' career"
"OAK201204100",26,"Royals center fielder Lorenzo Cain left the game due to an injured groin"
"OAK201204100",56,"$Game called for rain"
"OAK201205120",34,"Athletics second baseman Jemile Weeks left the game due to an injured ankle"
"OAK201205220",14,"$John Hester called out due to interference by batter Mike Trout on catcher Anthony Recker; Hester was running on the pitch and Trout got in Recker's way as he tried to throw to 2B"
"OAK201205220",56,"Angels shortstop Erick Aybar left the game due to an injured knee"
"OAK201205250",19,"$Originally scored as E8, changed to double on 5-31-2012"
"OAK201206070",8,"Athletics center fielder Yoenis Cespedes left the game due to an injured leg"
"OAK201206170",17,"Athletics pitcher Bartolo Colon left the game due to an injured side"
"OAK201206170",51,"$Nick Hundley called for batter interference on the attempted steal by Cameron Maybin"
"OAK201206230",56,"$Crisp thought he walked and complained as he returned to the bench"
"OAK201206230",57,"ej,crisc001,P,randt901,Called third strike $Athletics Crisp ejected by HP umpire Randazzo for arguing his strikeout from earlier in inning"
"OAK201207030",62,"$originally as E6, changed to single on 7-05-2012"
"OAK201207040",26,"$David Ortiz 400th home run"
"OAK201207040",44,"$originally scored as error, changed to single on 7-12-2012; causes run now to be earned"
"OAK201207070",4,"$originally scored as single and 2-base error, changed to triple on 7-16-2012; adds RBI and makes run earned"
"OAK201207080",26,"Athletics center fielder Yoenis Cespedes left the game due to an injured hand"
"OAK201207190",4,"$Yoenis Cespedes appeared to catch the line drive but then dropped the ball; 3B umpire Brian Knight ruled no catch; Derek Jeter did not see the ruling and stayed near 2B; Cepedes threw to 3B for a force but the throw was over the head of Brandon Inge; pitcher A.J. Griffin retrieved the ball and ran to 3B for the force and then threw to 2B trying to put out Alex Rodriguez but the throw pulled Jemile Weeks off the bag"
