GAME_ID,EVENT_ID,COMMENT_TX
"NY1192404210",45,"$Casey Stengel turned toward 2B then walked back to 1B"
"NY1192406020",32,"$Rosy Ryan held 2B thinking the ball would be caught"
"NY1192406032",30,"$the ball struck the top of the fence; Heinie Groh thought it was a HR and jogged around the bases until he was tagged out"
"NY1192406070",47,"$a fan reached over the fence and appeared to interfere with the flight of the ball"
"NY1192406080",13,"Rain started falling"
"NY1192406080",16,"10-minute rain delay"
"NY1192406080",31,"45-minute rain delay; while the canvas covers were being removed from the field, it started to rain again but Umpire Charlie Moran sided with the fans who were yelling 'Play Ball'; the Pirates objected and said they would file a protest with the league office."
"NY1192406080",45,"30-minute rain delay then the game was called"
"NY1192406090",29,"$Rabbit Maranville slid into 1B, spiking George Kelly on the ankle"
"NY1192406090",60,"previous two plays really one play"
"NY1192406100",31,"$Kiki Cuyler rounded 1B too far"
"NY1192406110",0,"Weather: cold enough for overcoats"
"NY1192406110",64,"$Billy Southworth injured his shoulder making diving catch"
"NY1192406130",0,"It rained the entire game"
"NY1192406160",0,"Excellent baseball weather"
"NY1192406180",0,"Weather: humid"
"NY1192406260",0,"$the Barnes brothers pitch against each other"
"NY1192406260",2,"$Ray Powell rounded 1B too far"
"NY1192406300",42,"$Travis Jackson rounded 2B too far"
"NY1192407020",36,"$Frank Frisch reinjured his left ankle colliding with Andy High"
"NY1192407260",0,"Weather: hot and humid"
"NY1192407300",0,"Weather: too hot for baseball"
"NY1192407300",56,"rain started in the eighth"
"NY1192407300",66,"ej,smite106,P,hartb901,Balls and strikes $Earl Smith ejected by HP umpire Bob Hart"
"NY1192407310",35,"It began to rain during the 4th inning"
"NY1192407310",39,"$Max Carey let himself be put out because the Pirates were anxious to get the game over before the game was called because of the weather"
"NY1192407310",55,"play,7,0,bigbc101,??,,5/FL play,7,0,carem101,??,,63 play,7,0,cuylk101,??,,HR/F9D play,7,0,wrigg102,??,,S9 play,7,0,trayp101,??,,54(1)/FO play,7,1,snydf101,??,,S6/G6S play,7,1,bentj101,??,,5/FL $after a 30 minute rain delay with Billy Southworth at bat, the game was called on account of rain & darkness; the score reverted to the previous inning and Cuyler's HR did not count; the Pirates scored one run in the top of the seventh and there had been two batters in the bottom of the frame"
"NY1192408010",0,"Weather: ideal"
"NY1192408020",62,"ej,carem101,P,hartb901,Threw bat at umpire ej,mckeb101,M,hartb901,Defending Carey $Max Carey and Pirates Manager Bill McKechnie ejected by HP umpire Bob Hart; Carey flipped his bat towards Hart as he ran to 1B"
"NY1192408020",64,"$Kiki Cuyler was knocked out as he slid into Frank Frisch's elbow at 2B"
"NY1192408060",0,"Weather: too hot for baseball"
"NY1192408070",0,"Weather: sweltering hot"
"NY1192408070",21,"$Frank Snyder avoided George Grantham's tag but was called out for running out of the base line"
"NY1192408090",45,"$Pat Duncan rounded 1B too far"
"NY1192408090",57,"$Freddy Lindstrom was trapped but scrambled back to 3B; Bill Terry had reached 3B during the rundown but was declared out"
"NY1192409080",65,"$Milt Stock was out on an attempted double steal; Hank DeBerry ran for 2B while Rosy Ryan held the ball; Ryan turned toward 1B but threw home instead and retired Stock; Brooklyn argued to Umpire Bill Klem that this was a balk but Klem refused the claim; Brooklyn continued to argue until Klem finally asked Umpire Frank Wilson about it; Wilson called it a balk, Klem reversed himself, and the run was allowed"
"NY1192409120",22,"$Specs Toporcer turned his ankle and limped into 3B"
"NY1192409130",79,"$Hack Wilson rounded 2B too far"
"NY1192409181",75,"$Rube Bressler called out for interfering with Heinie Groh"
"NY1192409190",72,"$Heinie Groh hurt his right knee on the slide"
"NY1192409200",95,"$Frank Frisch hurt his right hand sliding at the plate"
"NY1192409230",65,"$Hugh McQuillan was bumped in the head by Pie Traynor while trying to field the bunt along the 1B line; McQuillan rushed at Traynor with fists clenched but other players intervened; the Giants argued for interference"
"NY1192409240",14,"$during Bill Terry's AB, Umpire Hank O'Day called a ball without a pitch being made when Emil Yde dropped the ball during his windup"
"NY1192409270",66,"$attempted squeeze; Frank Snyder was chased back to 3B where Jack Bentley had advanced"
"NY1192404210",45,"$Casey Stengel turned toward 2B then walked back to 1B"
"NY1192406020",32,"$Rosy Ryan held 2B thinking the ball would be caught"
"NY1192406032",30,"$the ball struck the top of the fence; Heinie Groh thought it was a HR and jogged around the bases until he was tagged out"
"NY1192406070",47,"$a fan reached over the fence and appeared to interfere with the flight of the ball"
"NY1192406080",13,"Rain started falling"
"NY1192406080",16,"10-minute rain delay"
"NY1192406080",31,"45-minute rain delay; while the canvas covers were being removed from the field, it started to rain again but Umpire Charlie Moran sided with the fans who were yelling 'Play Ball'; the Pirates objected and said they would file a protest with the league office."
"NY1192406080",45,"30-minute rain delay then the game was called"
"NY1192406090",29,"$Rabbit Maranville slid into 1B, spiking George Kelly on the ankle"
"NY1192406090",60,"previous two plays really one play"
"NY1192406100",31,"$Kiki Cuyler rounded 1B too far"
"NY1192406110",0,"Weather: cold enough for overcoats"
"NY1192406110",64,"$Billy Southworth injured his shoulder making diving catch"
"NY1192406130",0,"It rained the entire game"
"NY1192406160",0,"Excellent baseball weather"
"NY1192406180",0,"Weather: humid"
"NY1192406260",0,"$the Barnes brothers pitch against each other"
"NY1192406260",2,"$Ray Powell rounded 1B too far"
"NY1192406300",42,"$Travis Jackson rounded 2B too far"
"NY1192407020",36,"$Frank Frisch reinjured his left ankle colliding with Andy High"
"NY1192407260",0,"Weather: hot and humid"
"NY1192407300",0,"Weather: too hot for baseball"
"NY1192407300",56,"rain started in the eighth"
"NY1192407300",66,"ej,smite106,P,hartb901,Balls and strikes $Earl Smith ejected by HP umpire Bob Hart"
"NY1192407310",35,"It began to rain during the 4th inning"
"NY1192407310",39,"$Max Carey let himself be put out because the Pirates were anxious to get the game over before the game was called because of the weather"
"NY1192407310",55,"play,7,0,bigbc101,??,,5/FL play,7,0,carem101,??,,63 play,7,0,cuylk101,??,,HR/F9D play,7,0,wrigg102,??,,S9 play,7,0,trayp101,??,,54(1)/FO play,7,1,snydf101,??,,S6/G6S play,7,1,bentj101,??,,5/FL $after a 30 minute rain delay with Billy Southworth at bat, the game was called on account of rain & darkness; the score reverted to the previous inning and Cuyler's HR did not count; the Pirates scored one run in the top of the seventh and there had been two batters in the bottom of the frame"
"NY1192408010",0,"Weather: ideal"
"NY1192408020",62,"ej,carem101,P,hartb901,Threw bat at umpire ej,mckeb101,M,hartb901,Defending Carey $Max Carey and Pirates Manager Bill McKechnie ejected by HP umpire Bob Hart; Carey flipped his bat towards Hart as he ran to 1B"
"NY1192408020",64,"$Kiki Cuyler was knocked out as he slid into Frank Frisch's elbow at 2B"
"NY1192408060",0,"Weather: too hot for baseball"
"NY1192408070",0,"Weather: sweltering hot"
"NY1192408070",21,"$Frank Snyder avoided George Grantham's tag but was called out for running out of the base line"
"NY1192408090",45,"$Pat Duncan rounded 1B too far"
"NY1192408090",57,"$Freddy Lindstrom was trapped but scrambled back to 3B; Bill Terry had reached 3B during the rundown but was declared out"
"NY1192409080",65,"$Milt Stock was out on an attempted double steal; Hank DeBerry ran for 2B while Rosy Ryan held the ball; Ryan turned toward 1B but threw home instead and retired Stock; Brooklyn argued to Umpire Bill Klem that this was a balk but Klem refused the claim; Brooklyn continued to argue until Klem finally asked Umpire Frank Wilson about it; Wilson called it a balk, Klem reversed himself, and the run was allowed"
"NY1192409120",22,"$Specs Toporcer turned his ankle and limped into 3B"
"NY1192409130",79,"$Hack Wilson rounded 2B too far"
"NY1192409181",75,"$Rube Bressler called out for interfering with Heinie Groh"
"NY1192409190",72,"$Heinie Groh hurt his right knee on the slide"
"NY1192409200",95,"$Frank Frisch hurt his right hand sliding at the plate"
"NY1192409230",65,"$Hugh McQuillan was bumped in the head by Pie Traynor while trying to field the bunt along the 1B line; McQuillan rushed at Traynor with fists clenched but other players intervened; the Giants argued for interference"
"NY1192409240",14,"$during Bill Terry's AB, Umpire Hank O'Day called a ball without a pitch being made when Emil Yde dropped the ball during his windup"
"NY1192409270",66,"$attempted squeeze; Frank Snyder was chased back to 3B where Jack Bentley had advanced"
