GAME_ID,EVENT_ID,COMMENT_TX
"CHA195505011",95,"ej,harrl101,C,soarh901,Too many trips to the mound $Orioles coach and acting manager Harris ejected by HP umpire Soar for making too many trips to mound - four this inning"
"CHA195505070",36,"1 of Fain's 2 Pierce Ws is IW"
"CHA195506080",40,"ej,rogos101,P,mckib901,Balls and strikes ej,richp101,M,mckib901,Balls and strikes Saul Rogovin and Orioles Manager Paul Richards ejected by HP umpire Bill McKinley"
"CHA195507102",28,"$lights turned on"
"CHA195507190",53,"$Jerry Coleman hit above left eye and carried from field"
"CHA195508160",76,"ej,marim101,M,berrc103,Fair/foul call $Chicago manager Marion ejected by HP umpire Berry for arguing that ball hit by Busby was foul"
"CHA195508282",44,"$lights turned on"
"CHA195508300",60,"ej,lolls101,P,nappl901,Balls and strikes (waved towel) Sherm Lollar ejected by HP umpire Larry Napp for waving a towel in the dugout"
"CHA195505011",95,"ej,harrl101,C,soarh901,Too many trips to the mound $Orioles coach and acting manager Harris ejected by HP umpire Soar for making too many trips to mound - four this inning"
"CHA195505070",36,"1 of Fain's 2 Pierce Ws is IW"
"CHA195506080",40,"ej,rogos101,P,mckib901,Balls and strikes ej,richp101,M,mckib901,Balls and strikes Saul Rogovin and Orioles Manager Paul Richards ejected by HP umpire Bill McKinley"
"CHA195507102",28,"$lights turned on"
"CHA195507190",53,"$Jerry Coleman hit above left eye and carried from field"
"CHA195508160",76,"ej,marim101,M,berrc103,Fair/foul call $Chicago manager Marion ejected by HP umpire Berry for arguing that ball hit by Busby was foul"
"CHA195508282",44,"$lights turned on"
"CHA195508300",60,"ej,lolls101,P,nappl901,Balls and strikes (waved towel) Sherm Lollar ejected by HP umpire Larry Napp for waving a towel in the dugout"
