GAME_ID,EVENT_ID,COMMENT_TX
"FLO200504050",39,"Braves catcher Johnny Estrada left the game due to an injured hand/wrist"
"FLO200504050",53,"Debut game for Pete Orr"
"FLO200504120",24,"originally scored as E3, changed on 04-14"
"FLO200504210",56,"Marlins pitcher Antonio Alfonseca left the game due to an injured elbow"
"FLO200504230",13,"Reds right fielder Wily Mo Pena left the game due to an injured leg"
"FLO200505060",48,"Rockies pitcher Joe Kennedy left the game due to an injured leg"
"FLO200505080",17,"$Encarnacion tried to make a shoe-string catch and the ball rolled to the wall"
"FLO200505090",0,"$Clemens' 330th career win to pass Carlton for 9th on the list"
"FLO200505090",48,"Marlins second baseman Luis Castillo left the game due to an injured leg"
"FLO200505220",29,"ej,mckej801,M,danlk901,Balls and strikes Marlins Manager Jack McKeon ejected by HP umpire Kerwin Danley"
"FLO200505230",42,"$Paul LoDuca called for interference when struck by the throw"
"FLO200505260",42,"Debut game for Yorman Bazardo"
"FLO200505270",50,"ej,encaj001,P,wegnm901,Balls and strikes Marlins Juan Encarnacion ejected by HP umpire Mark Wegner"
"FLO200506090",23,"originally E8, changed after game to E7 And on July 14 it went back to E8"
"FLO200506100",82,"Debut game for C.J. Wilson"
"FLO200506120",75,"ej,lodup001,P,drakr901,Called third strike Marlins catcher Paul Lo Duca ejected by HP umpire Rob Drake"
"FLO200506270",69,"game called for rain"
"FLO200506280",67,"Debut game for Chris Resop"
"FLO200506300",0,"2:46 rain delay before game"
"FLO200506300",11,"ej,estrj001,P,eddid901,Balls and strikes ej,cox-b103,M,eddid901,Balls and strikes ej,hampm001,P,eddid901,Balls and strikes (on DL at the time) Johnny Estrada, Mgr Bobby Cox and Mike Hampton all ejected by HP umpire Doug Eddings; Hampton was on the DL at the time; Estrada appeared to bump Eddings during argument"
"FLO200507050",18,"Beckett left after foul line drive with strained oblique muscle"
"FLO200507070",47,"Mid-count sub on an IW!"
"FLO200507080",11,"Debut game for Matt Murton"
"FLO200507080",78,"injury?"
"FLO200507090",53,"ej,mckej801,M,laynj901,Fair/foul call Marlins Manager Jack McKeon ejected by 3B umpire Jerry Layne"
"FLO200507090",69,"Debut game for Adam Greenberg $Greenberg hit in head by first ML pitch he saw"
"FLO200507260",14,"originally scored as E6, changed to single next day"
"FLO200507270",57,"originally scored as double, changed 2 days later. Apparently slid off bag - assist for LF?"
"FLO200508100",80,"$Mike Lowell caught Luis Terrero with the hidden ball trick"
"FLO200508120",64,"ej,conij001,P,everm901,Balls and strikes Marlins first baseman Jeff Conine ejected by HP umpire Mike Everitt"
"FLO200508200",18,"Marlins left fielder Juan Encarnacion left the game due to an injured hand/wrist"
"FLO200508220",3,"Dodgers left fielder Milton Bradley left the game due to an injured knee"
"FLO200508220",63,"ej,gonza002,P,herna901,Called third strike Marlins shortstop Alex Gonzalez ejected by HP umpire Angel Hernandez"
"FLO200508290",79,"ej,lodup001,P,barrt901,Call at 1B Marlins catcher Paul Lo Duca ejected by 1B umpire Ted Barrett"
"FLO200508310",66,"Debut game for Jeremy Hermida Hermida hit a grand slam on his first ML at bat; second player to perform feat (Duggleby in 1898) first PH slam on first at bat in history"
"FLO200509020",70,"Debut game for Tim Hamulack"
"FLO200509040",62,"Debut game for Robert Andino"
"FLO200509160",11,"Marlins second baseman Damion Easley left the game due to an injured foot/ankle"
"FLO200509180",70,"Marlins second baseman Luis Castillo left the game due to an injured leg"
"FLO200509260",21,"Jose Guillen left the game due to a bruised left hand"
"FLO200504050",39,"Braves catcher Johnny Estrada left the game due to an injured hand/wrist"
"FLO200504050",53,"Debut game for Pete Orr"
"FLO200504120",24,"originally scored as E3, changed on 04-14"
"FLO200504210",56,"Marlins pitcher Antonio Alfonseca left the game due to an injured elbow"
"FLO200504230",13,"Reds right fielder Wily Mo Pena left the game due to an injured leg"
"FLO200505060",48,"Rockies pitcher Joe Kennedy left the game due to an injured leg"
"FLO200505080",17,"$Encarnacion tried to make a shoe-string catch and the ball rolled to the wall"
"FLO200505090",0,"$Clemens' 330th career win to pass Carlton for 9th on the list"
"FLO200505090",48,"Marlins second baseman Luis Castillo left the game due to an injured leg"
"FLO200505220",29,"ej,mckej801,M,danlk901,Balls and strikes Marlins Manager Jack McKeon ejected by HP umpire Kerwin Danley"
"FLO200505230",42,"$Paul LoDuca called for interference when struck by the throw"
"FLO200505260",42,"Debut game for Yorman Bazardo"
"FLO200505270",50,"ej,encaj001,P,wegnm901,Balls and strikes Marlins Juan Encarnacion ejected by HP umpire Mark Wegner"
"FLO200506090",23,"originally E8, changed after game to E7 And on July 14 it went back to E8"
"FLO200506100",82,"Debut game for C.J. Wilson"
"FLO200506120",75,"ej,lodup001,P,drakr901,Called third strike Marlins catcher Paul Lo Duca ejected by HP umpire Rob Drake"
"FLO200506270",69,"game called for rain"
"FLO200506280",67,"Debut game for Chris Resop"
"FLO200506300",0,"2:46 rain delay before game"
"FLO200506300",11,"ej,estrj001,P,eddid901,Balls and strikes ej,cox-b103,M,eddid901,Balls and strikes ej,hampm001,P,eddid901,Balls and strikes (on DL at the time) Johnny Estrada, Mgr Bobby Cox and Mike Hampton all ejected by HP umpire Doug Eddings; Hampton was on the DL at the time; Estrada appeared to bump Eddings during argument"
"FLO200507050",18,"Beckett left after foul line drive with strained oblique muscle"
"FLO200507070",47,"Mid-count sub on an IW!"
"FLO200507080",11,"Debut game for Matt Murton"
"FLO200507080",78,"injury?"
"FLO200507090",53,"ej,mckej801,M,laynj901,Fair/foul call Marlins Manager Jack McKeon ejected by 3B umpire Jerry Layne"
"FLO200507090",69,"Debut game for Adam Greenberg $Greenberg hit in head by first ML pitch he saw"
"FLO200507260",14,"originally scored as E6, changed to single next day"
"FLO200507270",57,"originally scored as double, changed 2 days later. Apparently slid off bag - assist for LF?"
"FLO200508100",80,"$Mike Lowell caught Luis Terrero with the hidden ball trick"
"FLO200508120",64,"ej,conij001,P,everm901,Balls and strikes Marlins first baseman Jeff Conine ejected by HP umpire Mike Everitt"
"FLO200508200",18,"Marlins left fielder Juan Encarnacion left the game due to an injured hand/wrist"
"FLO200508220",3,"Dodgers left fielder Milton Bradley left the game due to an injured knee"
"FLO200508220",63,"ej,gonza002,P,herna901,Called third strike Marlins shortstop Alex Gonzalez ejected by HP umpire Angel Hernandez"
"FLO200508290",79,"ej,lodup001,P,barrt901,Call at 1B Marlins catcher Paul Lo Duca ejected by 1B umpire Ted Barrett"
"FLO200508310",66,"Debut game for Jeremy Hermida Hermida hit a grand slam on his first ML at bat; second player to perform feat (Duggleby in 1898) first PH slam on first at bat in history"
"FLO200509020",70,"Debut game for Tim Hamulack"
"FLO200509040",62,"Debut game for Robert Andino"
"FLO200509160",11,"Marlins second baseman Damion Easley left the game due to an injured foot/ankle"
"FLO200509180",70,"Marlins second baseman Luis Castillo left the game due to an injured leg"
"FLO200509260",21,"Jose Guillen left the game due to a bruised left hand"
