GAME_ID,EVENT_ID,COMMENT_TX
"BOS194704250",40,"Sam Mele left with lame arm"
"BOS194704260",25,"$Leon Culberson injured his leg when he crashed into the wall chasing Ferris Fain's foul fly"
"BOS194705130",93,"pbp ends here. Rest of game deduced from newspapers"
"BOS194705200",15,"$Hal Wagner struck on the hand and injured by George Kell's foul ball"
"BOS194706130",0,"$First night game at Fenway Park"
"BOS194706130",48,"ej,wallj102,P,grieb901,Call at 1B $the White Sox argued that Bobby Doerr was out; Jack Wallaesa ran in from LF to join the argument and was ejected by 1B umpire Bill Grieve"
"BOS194706170",11,"$Johnny Berardino struck on the left wrist"
"BOS194706180",137,"$winning run scored at 1:07am; no inning could start after 1:00am so this would have been the end of the game"
"BOS194707030",13,"$Birdie Tebbetts struck on the groin nby a foul ball"
"BOS194707050",16,"$55 minute first inning"
"BOS194707050",20,"$Wally Moses reached over the bullpen wall to make the catch"
"BOS194707050",62,"pbp account ends here. Rest deduced from newspapers"
"BOS194707050",72,"$George Case pulled up lame running out a foul ball"
"BOS194707230",28,"Pesky played rebound off wall where seats jut out"
"BOS194707260",38,"$Willard Brown caught the ball over the bullpen wall"
"BOS194707290",50,"$Jim Hegan struck on groin by foul ball"
"BOS194707290",81,"$bunt single for Ted Williams against the shift"
"BOS194708030",28,"play,4,0,mullp101,??,,NP sub,cullr101,Roy Cullenbine,0,3,12 $Wakefield hurt leg getting back to second base and Cullenbine was allowed to be a courtesy runner for him"
"BOS194708030",32,"play,4,1,jonej106,??,,NP sub,cullr101,Roy Cullenbine,0,2,3 play,4,1,jonej106,??,,NP sub,waked101,Dick Wakefield,0,3,7"
"BOS194708080",43,"$Allie Clark fell as he rounded 3B"
"BOS194708080",73,"$Phil Rizzuto trapped between 2B and 3B on an attempted double steal; he tried to return to 2B but was put out when he found Snuffy Stirnweiss on 2B"
"BOS194708100",78,"$Karl Drews left with a blister"
"BOS194708110",63,"ej,baked102,C,rue-j901,Call at 3B ej,cronj101,M,rue-j901,Call at 3B Red Sox Coach Del Baker and Manager Joe Cronin ejected by 3B umpire Joe Rue; the fans threw trash onto the field"
"BOS194708120",34,"$Rick Ferrell held 3B but Early Wynn ran from 2B; both were on 3B; Jake Jones ran across the field to tag Wynn"
"BOS194708290",50,"$the ball struck Jake Jones' bat as he tried to duck an inside pitch"
"BOS194708300",60,"$Ted Williams tripped rounding 1B"
"BOS194709011",51,"ej,harrb106,M,joner901,Delaying tactics bringing in reliever $HP umpire Red Jones thought the Yankees were stalling to give Spud Chandler more time to warm up, with multiple visits to the mound by coach, player and manager; Yankees Manager Bucky Harris ejected by Jones"
"BOS194709090",31,"$Virgil Trucks threw a knockdown pitch at Birdie Tebbetts"
"BOS194709090",32,"$Birdie Tebbetts exchanged words with Virgil Trucks while running down the 1B line"
"BOS194709090",42,"$Eddie Mayo struck on the left ear by Birdie Tebbetts' return throw to the mound; Mayo was knocked down and left the game although he was not seriously injured"
"BOS194709111",68,"ej,dimad101,P,weafh901,Balls and strikes Dom DiMaggio ejected by HP umpire Hal Weafer"
"BOS194709112",59,"$game called for darkness"
"BOS194704250",40,"Sam Mele left with lame arm"
"BOS194704260",25,"$Leon Culberson injured his leg when he crashed into the wall chasing Ferris Fain's foul fly"
"BOS194705130",93,"pbp ends here. Rest of game deduced from newspapers"
"BOS194705200",15,"$Hal Wagner struck on the hand and injured by George Kell's foul ball"
"BOS194706130",0,"$First night game at Fenway Park"
"BOS194706130",48,"ej,wallj102,P,grieb901,Call at 1B $the White Sox argued that Bobby Doerr was out; Jack Wallaesa ran in from LF to join the argument and was ejected by 1B umpire Bill Grieve"
"BOS194706170",11,"$Johnny Berardino struck on the left wrist"
"BOS194706180",137,"$winning run scored at 1:07am; no inning could start after 1:00am so this would have been the end of the game"
"BOS194707030",13,"$Birdie Tebbetts struck on the groin nby a foul ball"
"BOS194707050",16,"$55 minute first inning"
"BOS194707050",20,"$Wally Moses reached over the bullpen wall to make the catch"
"BOS194707050",62,"pbp account ends here. Rest deduced from newspapers"
"BOS194707050",72,"$George Case pulled up lame running out a foul ball"
"BOS194707230",28,"Pesky played rebound off wall where seats jut out"
"BOS194707260",38,"$Willard Brown caught the ball over the bullpen wall"
"BOS194707290",50,"$Jim Hegan struck on groin by foul ball"
"BOS194707290",81,"$bunt single for Ted Williams against the shift"
"BOS194708030",28,"play,4,0,mullp101,??,,NP sub,cullr101,Roy Cullenbine,0,3,12 $Wakefield hurt leg getting back to second base and Cullenbine was allowed to be a courtesy runner for him"
"BOS194708030",32,"play,4,1,jonej106,??,,NP sub,cullr101,Roy Cullenbine,0,2,3 play,4,1,jonej106,??,,NP sub,waked101,Dick Wakefield,0,3,7"
"BOS194708080",43,"$Allie Clark fell as he rounded 3B"
"BOS194708080",73,"$Phil Rizzuto trapped between 2B and 3B on an attempted double steal; he tried to return to 2B but was put out when he found Snuffy Stirnweiss on 2B"
"BOS194708100",78,"$Karl Drews left with a blister"
"BOS194708110",63,"ej,baked102,C,rue-j901,Call at 3B ej,cronj101,M,rue-j901,Call at 3B Red Sox Coach Del Baker and Manager Joe Cronin ejected by 3B umpire Joe Rue; the fans threw trash onto the field"
"BOS194708120",34,"$Rick Ferrell held 3B but Early Wynn ran from 2B; both were on 3B; Jake Jones ran across the field to tag Wynn"
"BOS194708290",50,"$the ball struck Jake Jones' bat as he tried to duck an inside pitch"
"BOS194708300",60,"$Ted Williams tripped rounding 1B"
"BOS194709011",51,"ej,harrb106,M,joner901,Delaying tactics bringing in reliever $HP umpire Red Jones thought the Yankees were stalling to give Spud Chandler more time to warm up, with multiple visits to the mound by coach, player and manager; Yankees Manager Bucky Harris ejected by Jones"
"BOS194709090",31,"$Virgil Trucks threw a knockdown pitch at Birdie Tebbetts"
"BOS194709090",32,"$Birdie Tebbetts exchanged words with Virgil Trucks while running down the 1B line"
"BOS194709090",42,"$Eddie Mayo struck on the left ear by Birdie Tebbetts' return throw to the mound; Mayo was knocked down and left the game although he was not seriously injured"
