GAME_ID,EVENT_ID,COMMENT_TX
"COL201704070",42,"replay,5,lemad001,COL,cedeg901,DEN02,,Y,M,LAN,E $when DJ LeMahieu reached 1B safely without a throw, Dodgers manager Dave Roberts challenged the slide at 2B by Charlie Blackmon; Blackmon had reached out and touched Logan Forsythe's leg; the call was overturned to runner interference on BLackmon by replay; LeMahieu was declared out and Kyle Freeman returned to 2B"
"COL201704090",59,"replay,7,gutif001 ,LAN,cedeg901,DEN02,,N,U,,Q $when the pitch got away from catcher Tony Wolters, the ball rolled into the Dodgers' dugout and Wolters rolled down the stairs after the ball; the runners were placed at 2B and 3B but Dodgers manager Dave Roberts asked about the runner placement; crew chief Gary Cederstrom requested a rules check and was told that since the ball went out of play, it is not reviewable"
"COL201704090",80,"replay,9,gonza003,LAN,cedeg901,DEN02,,N,M,COL,T $Gerardo Parra made a diving catch of Adrian Gonzalez' sinking liner; the play was ruled no catch; Yasiel Puig was tagged out near 1B; Rockies manager Bud Black challenged the ruling on the catch; the call was upheld by replay"
"COL201704220",20,"Giants center fielder Denard Span left the game due to an injured arm"
"COL201704220",69,"$originally scored as error, changed to single on 04-23-2017, all runs in inning now earned, then changed back to error on 05-04-2017, making 5 runs charged to Ramirez unearned"
"COL201704230",42,"replay,6,pench001,SFN,davig901,DEN02,,Y,M,SFN,C $when Hunter Pence was called out at 1B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay"
"COL201704250",69,"replay,7,zimmr001,WAS,wintm901,DEN02,,Y,M,COL,C $when Ryan Zimmerman was called safe at 1B, Rockies manager Bud Black challenged the ruling; the call was overturned by replay"
"COL201704260",6,"replay,1,lemad001,COL,wintm901,DEN02,,Y,M,WAS,A $when Charlie Blackmon was called safe at 1B, Nationals manager Dusty Baker challenged the ruling; the call was overturned by replay"
"COL201704260",83,"replay,9,valap001,COL,wintm901,DEN02,,N,M,COL,A $when Pat Valaika was called out at 1B, Rockies manager Bud Black challenged the ruling; the call was upheld by replay"
"COL201704270",71,"replay,7,blacc001,COL,wintm901,DEN02,,N,M,WAS,C $when Charlie Blackmon was called safe at 1B, Nationals manager Dusty Baker challenged the ruling; the call was upheld by replay"
"COL201705050",75,"replay,9,garnd001,COL,cuzzp901,DEN02,,N,M,COL,I $when Dustin Garneau was ruled not to have been hit by a pitch, Rockies manager Bud Black challenged the call; the call was upheld by replay as a foul tip into the mitt for strike three"
"COL201705060",22,"replay,2,blacc001,COL,cuzzp901,DEN02,,Y,M,ARI,C $when Charlie Blackmon was called safe at 1B, D-Backs manager Torey Lovullo challenged the ruling; the call was overturned by replay"
"COL201705070",63,"$de la Rosa left with an injury during the rain delay"
"COL201705092",67,"$originally scored as E7, changed to double on 05-24-2017, making Arenado's run earned"
"COL201705120",36,"replay,4,garnd001,COL,millb901,DEN02,,Y,M,LAN,A $when Pat Valaika was called safe at 2B, Dodgers manager Dave Roberts challenged the ruling; the call was overturned by replay"
"COL201705140",77,"replay,8,gonzc001,COL,millb901,DEN02,,Y,M,LAN,A $when Ian Desmond was called safe at 1B, Dodgers manager Dave Roberts challenged the ruling; the call was overturned by replay"
"COL201705280",66,"replay,8,arenn001,COL,barrt901,STL10,,N,M,SLN,A $when DJ LeMahieu was called safe at 3B, Cardinals manager Mike Matheny challenged the ruling; the call was upheld by replay"
"COL201705300",14,"Mariners Nelson Cruz left the game due to an injured leg"
"COL201705300",58,"replay,7,hereg002,SEA,emmep901,DEN02,,Y,M,COL,A replay,7,hereg002,SEA,emmep901,DEN02,,N,M,SEA,P $when Ben Gamel was called safe at HP, Rockies manager Bud Black challenged the ruling; the call was overturned by replay; Mariners manager Scott Servais challenged that the catcher blocked HP on the play; replay ruled that he did not"
"COL201706060",27,"Rockies left fielder Gerardo Parra left the game due to an injured leg"
"COL201706070",26,"replay,4,branm003,CLE,holbs901,DEN02,,Y,M,COL,A $when Francisco Lindor was called safe at 3B, Rockies manager Bud Black challenged the ruling; the call was overturned by replay"
"COL201706150",64,"Giants third baseman Eduardo Nunez left the game due to an injured leg"
"COL201706150",70,"Giants catcher Buster Posey left the game due to an injured foot"
"COL201706150",92,"replay,9,samaj001,SFN,cedeg901,DEN02,,N,M,SFN,A $when Denard Span was called out at HP, Giants manager Bruce Bochy challenged the ruling; the call was upheld by replay; play was originally scored as Belt advancing on throw, changed to stolen base on 06-16-2017"
"COL201706160",32,"replay,5,hundn001,SFN,cedeg901,DEN02,,N,M,COL,C $when Nick Hundley was called safe at 1B, Rockies manager Bud Black challenged the ruling; the call was upheld by replay"
"COL201706160",56,"ej,bochb002,M,cedeg901,Balls and strikes Giants Manager Bruce Bochy ejected by HP umpire Gary Cederstrom"
"COL201706180",4,"replay,1,poseb001,SFN,cedeg901,DEN02,,Y,M,COL,C $when Brandon Crawford was called safe at 2B, Rockies manager Bud Black challenged the ruling; the call was overturned by replay"
"COL201706180",26,"$Buster Posey ran out of the baseline to avoid the tag and was called out"
"COL201706180",74,"$originally scored as pickoff error by first baseman, changed to stolen base on 06-19-2017"
"COL201706200",0,"$Joe West's 5000th game as an MLB umpire; he is the third person to achieve this milestone after Bill Klem (5375) and Bruce Froemming (5163)"
"COL201706210",62,"$HP umpire Andy Fletcher was struck on the mask by a foul ball but remained in the game"
"COL201706210",68,"umpchange,7,umphome,kulpr901 umpchange,7,ump2b,(None) $HP umpire Andy Fletcher left the game due to being struck by a foul in the top of the inning; Ron Kulpa moved from second base to home plate"
"COL201707050",65,"$Reds challenged call that Alcantara was caught stealing; call was upheld - caught stealing"
"COL201707060",67,"$Reds challenged call of safe at home; call was upheld - safe"
"COL201707070",9,"$originally scored as single, changed to E1 on 07-20-2017, removing RBI and making run unearned"
"COL201707070",30,"$Abreu called out at first to complete DP; Chicago challenged and call was overturned"
"COL201707070",69,"$originally scored as single, changed to error on 07-22-2017, making two runs in inning unearned"
"COL201707080",79,"ej,blacc001,P,holbs901,Arguing called third strike ej,blacb001,M,holbs901,Arguing called third strike $Blackmon ejected by plate umpire Holbrook for arguing called third strike; Rockies manager Bud Black came out to argue and was also ejected"
"COL201707170",48,"$Padres challenged call that Story had returned safely to 1st; call was overturned - double play"
"COL201707170",74,"$Rockies challenged, claiming that last pitch hit batter; call was confirmed - strikeout on foul tip"
"COL201707180",76,"$Rockies challenged call that Blackmon was out at 1st; call was upheld - ground out"
"COL201707210",38,"$Polanco left with injured hamstring"
"COL201708020",27,"umpchange,4,umphome,barrl901 umpchange,4,ump2b,(None) $HP umpire Danley hit on left arm by 4th pitch; 2b Barrett replaced him after 13 minute delay"
"COL201708020",35,"$originally scored as two base error by first baseman; changed to double on 08-11-2017"
"COL201708020",36,"$fan interference"
"COL201708030",65,"$Rockies challenged call that Reyes was safe for stolen base; call was overturned - caught stealing"
"COL201708050",9,"$originally scored as error on 1bman; changed to double on 08-14-2017, runs that scored later are now earned"
"COL201708060",55,"ej,bowal101,C,torrc901,Arguing balls and strikes $Phillies bench coach Larry Bowa ejected by plate ump Torres for arguing balls and strikes"
"COL201708060",57,"$Phillies challenged call that Rupp was out at plate, claiming home plate interference; call was upheld - out"
"COL201708150",70,"$Rockies challenged call that Story was out at 1st; call was upheld - ground out"
"COL201708160",18,"$Rockies challenged call that Story was out at home; call was overturned - safe at home"
"COL201708170",28,"$Rockies challenged call that Arenado was out at 2nd; call was overturned - safe on missed catch error"
"COL201708180",31,"$umpires reviewed pitch count after 6th pitch to Arcia at request of Brewers; call was overturned - ball four"
"COL201708200",23,"$Rockies challenged call that Blackmon was out at 2nd; call was upheld - caught stealing"
"COL201708200",28,"$originally scored as single with advance to 2nd on error; changed to double on 08-21-2017"
"COL201708200",61,"$Brewers challenged call that Shaw was out at first; call was overturned - single"
"COL201708200",88,"$double play awarded on runner's interference by Broxton"
"COL201708280",45,"$Miguel Cabrera left with injured back"
"COL201708290",5,"umpchange,1,umphome,woodt901 umpchange,1,ump2b,(None) $Plate umpire Everitt left game after being hit in upper right thigh by a warmup pitch; 2b umpire Woodring moved behind the plate and game was finished with 3 umpires"
"COL201709020",2,"$Diamondbacks challenged call that Marte was out at 1st; call was overturned - safe for single"
"COL201709040",72,"$originally scored as double, changed to E7 on 09-06-2017, making run unearned"
"COL201709160",21,"$fan interference"
"COL201709160",47,"$Wil Myers left with injured leg"
"COL201709160",52,"ej,diazm004,P,davig901,Intentionally hitting batter $Pitcher Diaz ejected by plate umpire Davis for intentionally hitting Blackmon, both teams warned"
"COL201709170",73,"$Orginally scored as sacrifice, removed on 09-18-2017"
"COL201709250",47,"$Rockies challenged call that Despaigne was safe at 1st; call was overturned - sacrifice, batter out"
"COL201709260",53,"$Marlins challenged call that Gonzalez was safe at 2nd; cal was overturned - single and out stretching"
"COL201709270",22,"$Marlins challenged call that Story wsa safe at 2nd on stolen base; call was overturned - caught stealing"
"COL201709290",47,"$Rockies challenged call that Gonzalez was out at 3rd; call was overturned - safe at third on dropped catch errror"
"COL201709300",7,"$Rockies challenged call that Story was out at 1st to complete double play; call was overturned - force out, no DP"
"COL201710010",18,"umpchange,3,umphome,blakr901 umpchange,3,ump2b,(None) $Plate umpire Nelson injured by foul ball and left game; 2b umpire Blakney moved behind plate and game was finished with three umpires"
"COL201710010",78,"$Rockies challenged call that Valaika was out to complete double play; call was overturned - force out, no DP"
"COL201704070",42,"replay,5,lemad001,COL,cedeg901,DEN02,,Y,M,LAN,E $when DJ LeMahieu reached 1B safely without a throw, Dodgers manager Dave Roberts challenged the slide at 2B by Charlie Blackmon; Blackmon had reached out and touched Logan Forsythe's leg; the call was overturned to runner interference on BLackmon by replay; LeMahieu was declared out and Kyle Freeman returned to 2B"
"COL201704090",59,"replay,7,gutif001 ,LAN,cedeg901,DEN02,,N,U,,Q $when the pitch got away from catcher Tony Wolters, the ball rolled into the Dodgers' dugout and Wolters rolled down the stairs after the ball; the runners were placed at 2B and 3B but Dodgers manager Dave Roberts asked about the runner placement; crew chief Gary Cederstrom requested a rules check and was told that since the ball went out of play, it is not reviewable"
"COL201704090",80,"replay,9,gonza003,LAN,cedeg901,DEN02,,N,M,COL,T $Gerardo Parra made a diving catch of Adrian Gonzalez' sinking liner; the play was ruled no catch; Yasiel Puig was tagged out near 1B; Rockies manager Bud Black challenged the ruling on the catch; the call was upheld by replay"
"COL201704220",20,"Giants center fielder Denard Span left the game due to an injured arm"
"COL201704220",69,"$originally scored as error, changed to single on 04-23-2017, all runs in inning now earned, then changed back to error on 05-04-2017, making 5 runs charged to Ramirez unearned"
"COL201704230",42,"replay,6,pench001,SFN,davig901,DEN02,,Y,M,SFN,C $when Hunter Pence was called out at 1B, Giants manager Bruce Bochy challenged the ruling; the call was overturned by replay"
"COL201704250",69,"replay,7,zimmr001,WAS,wintm901,DEN02,,Y,M,COL,C $when Ryan Zimmerman was called safe at 1B, Rockies manager Bud Black challenged the ruling; the call was overturned by replay"
"COL201704260",6,"replay,1,lemad001,COL,wintm901,DEN02,,Y,M,WAS,A $when Charlie Blackmon was called safe at 1B, Nationals manager Dusty Baker challenged the ruling; the call was overturned by replay"
"COL201704260",83,"replay,9,valap001,COL,wintm901,DEN02,,N,M,COL,A $when Pat Valaika was called out at 1B, Rockies manager Bud Black challenged the ruling; the call was upheld by replay"
"COL201704270",71,"replay,7,blacc001,COL,wintm901,DEN02,,N,M,WAS,C $when Charlie Blackmon was called safe at 1B, Nationals manager Dusty Baker challenged the ruling; the call was upheld by replay"
"COL201705050",75,"replay,9,garnd001,COL,cuzzp901,DEN02,,N,M,COL,I $when Dustin Garneau was ruled not to have been hit by a pitch, Rockies manager Bud Black challenged the call; the call was upheld by replay as a foul tip into the mitt for strike three"
