GAME_ID,EVENT_ID,COMMENT_TX
"BAL199904050",71,"Debut game for Jesse Garcia"
"BAL199905010",71,"Debut game for Gabe Molina"
"BAL199905060",20,"$Ray Durham called for interference"
"BAL199907200",6,"ej,millr801,M,reedr901,Call at 3B Orioles manager Ray Miller ejected by 3B umpire Rick Reed"
"BAL199907240",32,"ej,collt801,M,hicke901,Catch/no catch call Angels manager Terry Collins ejected by 1B umpire Ed Hickox"
"BAL199909010",1,"Debut game for Dan Wheeler"
"BAL199909020",0,"ej,rothl101,M,fostm901,Call at 1B Devil Rays manager Larry Rothschild ejected by 1B umpire Marty Foster sometime in game"
"BAL199909050",46,"Debut game for Jim Brower"
"BAL199910010",54,"Debut game for Brian Falkenborg"
"BAL199910030",26,"$Albert Belle glared at pitcher Rheal Cormier; both teams were warned by HP umpire Tim McClelland"
"BAL199910030",29,"ej,kamis001,P,mcclt901,Throwing at Troy O'Leary ej,oleat001,P,mcclt901,Charging mound $after an inside pitch at his knees, Troy O'Leary flipped his bat at pitcher Scott Kamieniecki; Kamieniecki threw the bat towards the Boston dugout, where some players had come onto the field; both benches emptied; Kamieniecki and O'Leary were ejected by HP umpire Tim McClelland"
"BAL199910030",39,"Debut game for Steve Lomasney"
"BAL199904050",71,"Debut game for Jesse Garcia"
"BAL199905010",71,"Debut game for Gabe Molina"
"BAL199905060",20,"$Ray Durham called for interference"
"BAL199907200",6,"ej,millr801,M,reedr901,Call at 3B Orioles manager Ray Miller ejected by 3B umpire Rick Reed"
"BAL199907240",32,"ej,collt801,M,hicke901,Catch/no catch call Angels manager Terry Collins ejected by 1B umpire Ed Hickox"
"BAL199909010",1,"Debut game for Dan Wheeler"
"BAL199909020",60,"ej,rothl101,M,fostm901,Call at 1B $Devil Rays manager Rothschild ejected by 1B umpire Foster for arguing that May was out at 1st to complete DP"
"BAL199909050",46,"Debut game for Jim Brower"
"BAL199910010",54,"Debut game for Brian Falkenborg"
"BAL199910030",26,"$Albert Belle glared at pitcher Rheal Cormier; both teams were warned by HP umpire Tim McClelland"
"BAL199910030",29,"ej,kamis001,P,mcclt901,Throwing at Troy O'Leary ej,oleat001,P,mcclt901,Charging mound $after an inside pitch at his knees, Troy O'Leary flipped his bat at pitcher Scott Kamieniecki; Kamieniecki threw the bat towards the Boston dugout, where some players had come onto the field; both benches emptied; Kamieniecki and O'Leary were ejected by HP umpire Tim McClelland"
"BAL199910030",39,"Debut game for Steve Lomasney"
