"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL","FILENAME_TX","LINE_NUMBER_CT"
"NYA199810060","CLE",1,0,0,0,2,"SFC",0,0,"loftk001","?","loftk001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","","","","K","T","F",8,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,1,"NYA","CLE","NYA",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","coraj001","justd001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,3,1,1,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",2
"NYA199810060","CLE",1,0,1,3,2,"BCCBBFB",0,0,"coraj001","?","coraj001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","","","","W","F","F",4,2,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2,"NYA","CLE","NYA",0,"F","F",0,0,0,1,1,"T","F",0,1,"T","T","justd001","ramim002","T","T",0,0,0,0,0,0,0,0,0,"","","",4,4,0,0,0,0,3,2,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",3
"NYA199810060","CLE",1,0,1,0,0,"X",0,0,"justd001","?","justd001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","coraj001","","","46(1)3/GDP/G4M","F","F",7,3,2,"T","T",0,"F","F",2,"T","F",0,"F","F",4,"G","F","F","4M",0,0,"N",0,"N",0,"N",0,0,0,0,"63","46","","","F","F","F","F","F","F","F","F","F","welld001","","","F","F","F","F","F","","","","",0,6,3,0,4,6,0,0,0,3,"NYA","CLE","NYA",0,"F","T",0,0,0,2,2,"T","F",1,0,"T","T","ramim002","frymt001","T","T",4,2,2,0,0,0,0,0,0,"posaj001","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"knobc001","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",4
"NYA199810060","CLE",1,1,0,2,2,"BBCFX",0,0,"knobc001","?","knobc001","?","wrigj002","?","wrigj002","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","","","","S9/L89M","T","F",4,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"L","F","F","89M",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4,"NYA","NYA","CLE",1,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","jeted001","oneip001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,1,0,1,1,0,0,"ramim002","F","F","F","F",4,0,0,0,5,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",5
"NYA199810060","CLE",1,1,0,1,2,"CFBX",0,0,"jeted001","?","jeted001","?","wrigj002","?","wrigj002","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","knobc001","","","S8/G6M.1-2","F","F",6,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"G","F","F","6M",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","wrigj002","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5,"NYA","NYA","CLE",1,"F","F",0,0,0,1,1,"T","F",1,3,"T","T","oneip001","willb002","T","T",4,1,4,0,0,0,0,0,0,"aloms001","","",1,1,0,0,0,0,3,1,0,1,1,0,0,"loftk001","F","F","F","F",4,4,0,0,5,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",6
"NYA199810060","CLE",1,1,0,3,2,"SFBFBBX",0,0,"oneip001","?","oneip001","?","wrigj002","?","wrigj002","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","jeted001","knobc001","","S9/L89S.2-H;1-3","F","F",9,3,20,"T","T",1,"F","F",0,"F","F",1,"F","F",9,"L","F","F","89S",0,0,"N",0,"N",0,"N",1,3,4,0,"","","","","F","F","F","F","F","F","F","F","F","wrigj002","wrigj002","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6,"NYA","NYA","CLE",1,"F","F",0,0,0,2,2,"T","F",3,5,"T","T","willb002","martt002","T","T",6,2,5,4,1,4,0,0,0,"aloms001","aloms001","",3,3,0,0,0,0,4,0,1,2,1,0,1,"ramim002","F","F","F","F",4,4,4,0,4,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",7
"NYA199810060","CLE",1,1,0,1,0,"BX",0,1,"willb002","?","willb002","?","wrigj002","?","wrigj002","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","oneip001","","jeted001","S8/G4M.3-H;1-2","F","F",8,4,20,"T","T",1,"F","F",0,"F","F",1,"F","F",8,"G","F","F","4M",0,0,"N",0,"N",0,"N",1,2,0,4,"","","","","F","F","F","F","F","F","F","F","F","wrigj002","","wrigj002","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"NYA","NYA","CLE",1,"F","F",1,0,1,3,3,"T","F",5,3,"T","T","martt002","raint001","T","T",9,3,6,0,0,0,6,2,5,"aloms001","","aloms001",1,1,0,0,0,0,1,0,0,0,1,0,1,"loftk001","F","F","F","F",0,4,0,4,3,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",8
"NYA199810060","CLE",1,1,0,2,0,"BBX",0,2,"martt002","?","martt002","?","wrigj002","?","wrigj002","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","willb002","oneip001","","46(1)/FO/G4M.2-3","F","F",3,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","4M",0,0,"N",0,"N",0,"N",1,0,3,0,"","46","","","F","F","F","F","F","F","F","F","F","wrigj002","wrigj002","","F","F","F","F","F","","","","",0,6,0,0,4,0,0,0,0,8,"NYA","NYA","CLE",1,"F","F",2,0,2,4,4,"T","F",3,5,"T","T","raint001","spens001","T","T",8,4,7,9,3,6,0,0,0,"aloms001","aloms001","",2,2,0,0,0,0,1,0,0,0,1,0,0,"coraj001","T","F","F","F",4,0,4,0,3,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",9
"NYA199810060","CLE",1,1,1,3,2,"BBSFFBS",0,2,"raint001","?","raint001","?","wrigj002","?","wrigj002","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","martt002","","oneip001","K+SB2","F","F",10,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,3,"2","","","","T","F","F","F","F","F","F","F","F","wrigj002","","wrigj002","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9,"NYA","NYA","CLE",1,"F","F",2,0,2,5,5,"T","F",5,6,"T","T","spens001","posaj001","T","T",3,5,8,0,0,0,9,3,6,"aloms001","","aloms001",3,3,0,0,0,0,4,0,2,2,0,0,0,"","F","F","F","F",0,4,0,4,3,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",10
"NYA199810060","CLE",1,1,2,1,1,"CBB",0,2,"spens001","?","spens001","?","wrigj002","?","wrigj002","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","","martt002","oneip001","WP.3-H;2-3","F","F",7,7,9,"F","F",0,"F","F",0,"F","F",0,"T","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,3,4,"","","","","F","F","F","F","F","F","F","F","F","","wrigj002","wrigj002","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"NYA","NYA","CLE",1,"F","F",2,0,2,6,6,"T","F",6,4,"T","T","posaj001","bross001","T","T",0,0,0,3,5,8,9,3,6,"","aloms001","aloms001",2,2,0,0,0,0,1,1,0,0,0,0,1,"","F","F","F","F",0,0,4,4,2,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",11
"NYA199810060","CLE",1,1,2,3,1,"CBB.BB",0,3,"spens001","?","spens001","?","wrigj002","?","wrigj002","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","","","martt002","W","F","F",7,7,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,3,"","","","","F","F","F","F","F","F","F","F","F","","","wrigj002","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,11,"NYA","NYA","CLE",1,"F","F",3,0,3,6,6,"F","F",4,5,"T","T","posaj001","bross001","T","T",0,0,0,0,0,0,3,5,8,"","","aloms001",4,4,0,0,0,0,1,1,0,0,0,0,0,"","F","F","F","F",4,0,0,4,2,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",12
"NYA199810060","CLE",1,1,2,2,0,"BBX",0,3,"posaj001","?","posaj001","?","wrigj002","?","wrigj002","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","spens001","","martt002","S8/G4M.3-H;1-3","F","F",2,8,20,"T","T",1,"F","F",0,"F","F",1,"F","F",8,"G","F","F","4M",0,0,"N",0,"N",0,"N",1,3,0,4,"","","","","F","F","F","F","F","F","F","F","F","wrigj002","","wrigj002","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,12,"NYA","NYA","CLE",1,"F","F",3,0,3,7,7,"T","F",5,5,"T","T","bross001","knobc001","T","T",7,7,11,0,0,0,3,5,8,"aloms001","","aloms001",2,2,0,0,0,0,1,0,0,0,1,0,1,"loftk001","F","F","F","F",0,4,0,4,1,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",13
"NYA199810060","CLE",1,1,2,1,2,"CSFBX",0,4,"bross001","?","bross001","?","ogeac001","?","ogeac001","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","posaj001","","spens001","S7/L7S.3-H;1-2","F","F",5,9,20,"T","T",1,"F","F",0,"F","F",1,"F","F",7,"L","F","F","7S",0,0,"N",0,"N",0,"N",1,2,0,4,"","","","","F","F","F","F","F","F","F","F","F","wrigj002","","wrigj002","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,13,"NYA","NYA","CLE",1,"F","F",4,0,4,8,8,"T","F",5,3,"T","T","knobc001","jeted001","F","F",2,8,12,0,0,0,7,7,11,"aloms001","","aloms001",1,1,0,0,0,0,4,1,1,1,1,0,1,"justd001","F","F","F","F",0,0,0,4,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",14
"NYA199810060","CLE",1,1,2,0,1,"CX",0,5,"knobc001","?","knobc001","?","ogeac001","?","ogeac001","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","bross001","posaj001","","64(1)/FO/G6","F","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","6",0,0,"N",0,"N",0,"N",1,0,2,0,"","64","","","F","F","F","F","F","F","F","F","F","ogeac001","wrigj002","","F","F","F","F","F","","","","",0,4,0,0,6,0,0,0,0,14,"NYA","NYA","CLE",1,"F","T",5,0,5,9,9,"T","F",3,3,"T","T","jeted001","oneip001","F","F",5,9,13,2,8,12,0,0,0,"aloms001","aloms001","",0,0,0,0,0,0,2,1,0,0,1,0,0,"vizqo001","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",15
"NYA199810060","CLE",2,0,0,1,2,"FFFBX",0,5,"ramim002","?","ramim002","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","","","","S6/G56","T","F",9,4,20,"T","T",1,"F","F",0,"F","F",0,"F","F",6,"G","F","F","56",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,15,"NYA","CLE","NYA",0,"T","F",0,5,0,3,0,"T","F",0,1,"T","T","frymt001","thomj002","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,4,0,0,3,1,0,0,"jeted001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",16
"NYA199810060","CLE",2,0,0,1,0,"BX",0,5,"frymt001","?","frymt001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","ramim002","","","8/F8RM","F","F",5,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","8RM",0,0,"N",0,"N",0,"N",0,1,0,0,"8","","","","F","F","F","F","F","F","F","F","F","welld001","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,16,"NYA","CLE","NYA",0,"F","F",0,5,0,4,1,"T","F",1,1,"T","T","thomj002","sexsr001","T","T",9,4,15,0,0,0,0,0,0,"posaj001","","",1,1,0,0,0,0,1,0,0,0,1,0,0,"willb002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",17
"NYA199810060","CLE",2,0,1,1,1,"BCX",0,5,"thomj002","?","thomj002","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","ramim002","","","3/G4S.1-2","F","F",10,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","4S",0,0,"N",0,"N",0,"N",0,2,0,0,"3","","","","F","F","F","F","F","F","F","F","F","welld001","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,17,"NYA","CLE","NYA",0,"F","F",0,5,0,5,2,"T","F",1,2,"T","T","sexsr001","aloms001","T","T",9,4,15,0,0,0,0,0,0,"posaj001","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"martt002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",18
"NYA199810060","CLE",2,0,2,2,1,"BBSX",0,5,"sexsr001","?","sexsr001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","","ramim002","","63/G56","F","F",3,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","56",0,0,"N",0,"N",0,"N",0,0,2,0,"63","","","","F","F","F","F","F","F","F","F","F","","welld001","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,18,"NYA","CLE","NYA",0,"F","T",0,5,0,6,3,"T","F",2,2,"T","T","aloms001","vizqo001","T","T",0,0,0,9,4,15,0,0,0,"","posaj001","",2,2,0,0,0,0,2,0,1,0,1,0,0,"jeted001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",19
"NYA199810060","CLE",2,1,0,0,0,"X",0,5,"jeted001","?","jeted001","?","ogeac001","?","ogeac001","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","","","","S8/G6M","T","F",6,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"G","F","F","6M",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,19,"NYA","NYA","CLE",1,"T","F",5,0,0,10,0,"T","F",0,1,"T","T","oneip001","willb002","F","F",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"loftk001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",20
"NYA199810060","CLE",2,1,0,1,0,"BC",0,5,"oneip001","?","oneip001","?","ogeac001","?","ogeac001","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","jeted001","","","SB2","F","F",9,3,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"","","","","T","F","F","F","F","F","F","F","F","ogeac001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,20,"NYA","NYA","CLE",1,"F","F",5,0,0,11,1,"T","F",1,2,"T","T","willb002","martt002","F","F",6,2,19,0,0,0,0,0,0,"aloms001","","",1,1,0,0,0,0,1,1,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",21
"NYA199810060","CLE",2,1,0,1,2,"BC.FFX",0,5,"oneip001","?","oneip001","?","ogeac001","?","ogeac001","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","","jeted001","","43/G4M.2-3","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","4M",0,0,"N",0,"N",0,"N",0,0,3,0,"43","","","","F","F","F","F","F","F","F","F","F","","ogeac001","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,21,"NYA","NYA","CLE",1,"F","F",5,0,0,11,1,"F","F",2,4,"T","T","willb002","martt002","F","F",0,0,0,6,2,19,0,0,0,"","aloms001","",1,1,0,0,0,0,4,1,0,2,1,0,0,"coraj001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",22
"NYA199810060","CLE",2,1,1,2,2,"BBFFFS",0,5,"willb002","?","willb002","?","ogeac001","?","ogeac001","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","","","jeted001","K","F","F",8,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"2","","","","F","F","F","F","F","F","F","F","F","","","ogeac001","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,22,"NYA","NYA","CLE",1,"F","F",5,0,0,12,2,"T","F",4,4,"T","T","martt002","raint001","F","F",0,0,0,0,0,0,6,2,19,"","","aloms001",2,2,0,0,0,0,4,0,1,3,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",23
"NYA199810060","CLE",2,1,2,0,2,"CFX",0,5,"martt002","?","martt002","?","ogeac001","?","ogeac001","?","aloms001","sexsr001","coraj001","frymt001","vizqo001","justd001","loftk001","ramim002","","","jeted001","7/L7M","F","F",3,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"L","F","F","7M",0,0,"N",0,"N",0,"N",0,0,0,3,"7","","","","F","F","F","F","F","F","F","F","F","","","ogeac001","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,23,"NYA","NYA","CLE",1,"F","T",5,0,0,13,3,"T","F",4,4,"T","T","raint001","spens001","F","F",0,0,0,0,0,0,6,2,19,"","","aloms001",0,0,0,0,0,0,3,1,0,1,1,0,0,"justd001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",24
"NYA199810060","CLE",3,0,0,1,1,"FBX",0,5,"aloms001","?","aloms001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","","","","9/F9S","T","F",2,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","9S",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,24,"NYA","CLE","NYA",0,"T","F",0,5,0,7,0,"T","F",0,0,"T","T","vizqo001","loftk001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,2,0,0,1,1,0,0,"oneip001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",25
"NYA199810060","CLE",3,0,1,0,1,"CX",0,5,"vizqo001","?","vizqo001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","","","","S3/L34D","F","F",6,9,20,"T","T",1,"F","F",0,"F","F",0,"F","F",3,"L","F","F","34D",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,25,"NYA","CLE","NYA",0,"F","F",0,5,0,8,1,"T","F",0,1,"T","T","loftk001","coraj001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,2,1,0,0,1,0,0,"martt002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",26
"NYA199810060","CLE",3,0,1,1,2,"1BC1CFFS",0,5,"loftk001","?","loftk001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","vizqo001","","","K","F","F",8,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","welld001","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,26,"NYA","CLE","NYA",0,"F","F",0,5,0,9,2,"T","F",1,1,"T","T","coraj001","justd001","T","T",6,9,25,0,0,0,0,0,0,"posaj001","","",1,1,0,0,0,0,5,2,1,2,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",27
"NYA199810060","CLE",3,0,2,0,1,"CB",0,5,"coraj001","?","coraj001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","vizqo001","","","SB2","F","F",4,2,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"","","","","T","F","F","F","F","F","F","F","F","welld001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,27,"NYA","CLE","NYA",0,"F","F",0,5,0,10,3,"T","F",1,2,"T","T","justd001","ramim002","T","T",6,9,25,0,0,0,0,0,0,"posaj001","","",1,1,0,0,0,0,1,1,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",28
"NYA199810060","CLE",3,0,2,1,2,"CB.CFC",0,5,"coraj001","?","coraj001","?","welld001","?","welld001","?","posaj001","martt002","knobc001","bross001","jeted001","spens001","willb002","oneip001","","vizqo001","","K","F","F",4,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","welld001","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,28,"NYA","CLE","NYA",0,"F","T",0,5,0,10,3,"F","F",2,2,"T","T","justd001","ramim002","T","T",0,0,0,6,9,25,0,0,0,"","posaj001","",1,1,0,0,0,0,4,3,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1998ALCS.EVE.post.event.csv",29
