"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"ATL199910050","HOU",1,0,0,0,0,"",0,0,"biggc001","?","biggc001","?","maddg002","?","maddg002","?","peree002","klesr001","boonb002","jonec004","hernj001","willg001","jonea002","jordb001","","","","9/F","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,1,"ATL","HOU","ATL",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","spieb001","bagwj001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"jordb001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"ATL199910050","HOU",1,0,1,0,0,"",0,0,"spieb001","?","spieb001","?","maddg002","?","maddg002","?","peree002","klesr001","boonb002","jonec004","hernj001","willg001","jonea002","jordb001","","","","3/G","F","F",9,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,2,"ATL","HOU","ATL",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","bagwj001","everc001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"klesr001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"ATL199910050","HOU",1,0,2,0,0,"",0,0,"bagwj001","?","bagwj001","?","maddg002","?","maddg002","?","peree002","klesr001","boonb002","jonec004","hernj001","willg001","jonea002","jordb001","","","","K","F","F",3,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,3,"ATL","HOU","ATL",0,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","everc001","camik001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"ATL199910050","HOU",1,1,0,0,0,"",0,0,"willg001","?","willg001","?","reyns001","?","reyns001","?","euset001","bagwj001","biggc001","camik001","gutir001","wardd002","everc001","spieb001","","","","S7","T","F",7,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4,"ATL","ATL","HOU",1,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","boonb002","jonec004","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"wardd002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"ATL199910050","HOU",1,1,0,0,0,"",0,0,"boonb002","?","boonb002","?","reyns001","?","reyns001","?","euset001","bagwj001","biggc001","camik001","gutir001","wardd002","everc001","spieb001","willg001","","","64(1)3/GDP/G","F","F",4,2,2,"T","T",0,"F","F",2,"T","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","64","","","F","F","F","F","F","F","F","F","F","reyns001","","","F","F","F","F","F","","","","",0,4,3,0,6,4,0,0,0,5,"ATL","ATL","HOU",1,"F","F",0,0,0,1,1,"T","F",1,0,"T","T","jonec004","klesr001","T","T",7,1,4,0,0,0,0,0,0,"euset001","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"gutir001","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"ATL199910050","HOU",1,1,2,0,0,"",0,0,"jonec004","?","jonec004","?","reyns001","?","reyns001","?","euset001","bagwj001","biggc001","camik001","gutir001","wardd002","everc001","spieb001","","","","7/F","F","F",5,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,6,"ATL","ATL","HOU",1,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","klesr001","jordb001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"wardd002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"ATL199910050","HOU",2,0,0,0,0,"",0,0,"everc001","?","everc001","?","maddg002","?","maddg002","?","peree002","klesr001","boonb002","jonec004","hernj001","willg001","jonea002","jordb001","","","","S6/BG","T","F",8,4,20,"T","T",1,"F","F",0,"F","F",0,"F","F",6,"G","T","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"ATL","HOU","ATL",0,"T","F",0,0,0,3,0,"T","F",0,1,"T","T","camik001","wardd002","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"hernj001","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F
"ATL199910050","HOU",2,0,0,3,0,"",0,0,"camik001","?","camik001","?","maddg002","?","maddg002","?","peree002","klesr001","boonb002","jonec004","hernj001","willg001","jonea002","jordb001","everc001","","","W.1-2","F","F",5,5,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","maddg002","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"ATL","HOU","ATL",0,"F","F",0,0,0,4,1,"T","F",1,3,"T","T","wardd002","euset001","T","T",8,4,7,0,0,0,0,0,0,"peree002","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,4,0,0,1,0,0,0,0,0,F,F
"ATL199910050","HOU",2,0,0,0,0,"",0,0,"wardd002","?","wardd002","?","maddg002","?","maddg002","?","peree002","klesr001","boonb002","jonec004","hernj001","willg001","jonea002","jordb001","camik001","everc001","","K","F","F",7,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,2,0,"2","","","","F","F","F","F","F","F","F","F","F","maddg002","maddg002","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9,"ATL","HOU","ATL",0,"F","F",0,0,0,5,2,"T","F",3,3,"T","T","euset001","gutir001","T","T",5,5,8,8,4,7,0,0,0,"peree002","peree002","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,4,0,1,0,0,0,0,0,F,F
"ATL199910050","HOU",2,0,1,0,0,"",0,0,"euset001","?","euset001","?","maddg002","?","maddg002","?","peree002","klesr001","boonb002","jonec004","hernj001","willg001","jonea002","jordb001","camik001","everc001","","S7.2-H;1-2","F","F",2,7,20,"T","T",1,"F","F",0,"F","F",1,"F","F",7,"","F","F","",0,0,"N",0,"N",0,"N",1,2,4,0,"","","","","F","F","F","F","F","F","F","F","F","maddg002","maddg002","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"ATL","HOU","ATL",0,"F","F",0,0,0,6,3,"T","F",3,3,"T","T","gutir001","reyns001","T","T",5,5,8,8,4,7,0,0,0,"peree002","peree002","",0,0,0,0,0,0,0,0,0,0,0,0,1,"willg001","F","F","F","F",0,0,4,0,0,0,0,0,0,0,F,F
