GAME_ID,EVENT_ID,COMMENT_TX
"SDN197004080",67,"ej,cepeo101,P,steim901,Balls and strikes Orlando Cepeda ejected by HP umpire Mel Steiner"
"SDN197004260",64,"$Tim McCarver ran into the Padres dugout to tag Jerry Morales who missed HP"
"SDN197004290",42,"Debut game for John Strohmayer"
"SDN197005020",53,"ej,krane101,P,barla901,Balls and strikes Ed Kranepool ejected by HP umpire Al Barlick"
"SDN197005120",37,"ej,kingc101,M,harvd901,Balls and strikes Giants Manager Clyde King ejected by HP umpire Doug Harvey"
"SDN197006090",45,"ej,kellv101,P,varge901,Called third strike Van Kelly ejected by HP umpire Ed Vargo"
"SDN197006160",61,"Debut game for Al Hrabosky"
"SDN197008260",1,"Debut game for Fred Cambria"
"SDN197008260",3,"ej,aloum101,P,olsea901,Call at 2B ej,murtd101,M,olsea901,Call at 2B Matty Alou  and Pirates Manager Danny Murtaugh ejected by 2B umpire Andy Olsen"
"SDN197008270",24,"umpchange,3,umphome,burkk101 umpchange,3,ump2b,(None) $HP umpire Lee Weyer struck near the right elbow by foul ball on the 0-2 pitch; injured and left game; 2B umpire Ken Burkhart moved to HP"
"SDN197008280",41,"ej,hundr101,P,olsea901,Refusal to give umpire the ball ej,durol101,M,olsea901,Threw ball into dugout $Fergie Jenkins threw the ball to Randy Hundley, asking the catcher to rub the shine off it; HP umpire Andy Olsen asked Hundley for the ball but Hundley refused, putting the ball behind his back; Hundley was ejected by Olsen; Cubs Manager Leo Durocher ran out, took the ball from Hundley and rolled it into the Cubs dugout; Durocher was ejected by Olsen"
"SDN197008280",80,"Ron Herbel objected to the ball four call and was told to be quiet by HP umpire Andy Olsen"
"SDN197008280",82,"ej,herbr102,P,olsea901,Balls and strikes ej,gomep101,M,olsea901,Balls and strikes Ron Herbel and Padres Manager Preston Gomez ejected by HP umpire Andy Olsen for continuing to argue the strike zone"
"SDN197009071",1,"Debut game for Ken Forsch"
"SDN197009100",60,"Debut game for Dave Robinson"
"SDN197009180",49,"ej,gastc191,P,sudoe901,Called strike 3 $Gaston ejected by HP umpire Sudol for arguing called strike 3"
"SDN197009180",69,"umpchange,9,umphome,weyel901 umpchange,9,ump2b,(None) $HP umpire Sudol injured sometime in 9th with foul ball off his foot; Weyer went behind the plate and the game was finished with 3 umpires"
"SDN197004080",67,"ej,cepeo101,P,steim901,Balls and strikes Orlando Cepeda ejected by HP umpire Mel Steiner"
"SDN197004260",64,"$Tim McCarver ran into the Padres dugout to tag Jerry Morales who missed HP"
"SDN197004290",42,"Debut game for John Strohmayer"
"SDN197005020",53,"ej,krane101,P,barla901,Balls and strikes Ed Kranepool ejected by HP umpire Al Barlick"
"SDN197005120",37,"ej,kingc101,M,harvd901,Balls and strikes Giants Manager Clyde King ejected by HP umpire Doug Harvey"
"SDN197006090",45,"ej,kellv101,P,varge901,Called third strike Van Kelly ejected by HP umpire Ed Vargo"
"SDN197006160",61,"Debut game for Al Hrabosky"
"SDN197008260",1,"Debut game for Fred Cambria"
"SDN197008260",3,"ej,aloum101,P,olsea901,Call at 2B ej,murtd101,M,olsea901,Call at 2B Matty Alou  and Pirates Manager Danny Murtaugh ejected by 2B umpire Andy Olsen"
"SDN197008270",24,"umpchange,3,umphome,burkk101 umpchange,3,ump2b,(None) $HP umpire Lee Weyer struck near the right elbow by foul ball on the 0-2 pitch; injured and left game; 2B umpire Ken Burkhart moved to HP"
"SDN197008280",41,"ej,hundr101,P,olsea901,Refusal to give umpire the ball ej,durol101,M,olsea901,Threw ball into dugout $Fergie Jenkins threw the ball to Randy Hundley, asking the catcher to rub the shine off it; HP umpire Andy Olsen asked Hundley for the ball but Hundley refused, putting the ball behind his back; Hundley was ejected by Olsen; Cubs Manager Leo Durocher ran out, took the ball from Hundley and rolled it into the Cubs dugout; Durocher was ejected by Olsen"
"SDN197008280",80,"Ron Herbel objected to the ball four call and was told to be quiet by HP umpire Andy Olsen"
"SDN197008280",82,"ej,herbr102,P,olsea901,Balls and strikes ej,gomep101,M,olsea901,Balls and strikes Ron Herbel and Padres Manager Preston Gomez ejected by HP umpire Andy Olsen for continuing to argue the strike zone"
"SDN197009071",1,"Debut game for Ken Forsch"
"SDN197009100",60,"Debut game for Dave Robinson"
"SDN197009180",49,"ej,gastc101,P,sudoe901,Called strike 3 $Gaston ejected by HP umpire Sudol for arguing called strike 3"
"SDN197009180",69,"umpchange,9,umphome,weyel901 umpchange,9,ump2b,(None) $HP umpire Sudol injured sometime in 9th with foul ball off his foot; Weyer went behind the plate and the game was finished with 3 umpires"
