GAME_ID,EVENT_ID,COMMENT_TX
"CHN195904110",5,"Debut game for George Altman"
"CHN195904110",15,"Debut game for Jim Baxes"
"CHN195904120",12,"Debut game for Norm Sherry"
"CHN195904220",63,"$the ball caromed off Bobby Adams into the St. Louis dugout"
"CHN195904230",24,"$game delayed when the LF vines caught fire due to a cigarette being dropped in the vines; Coach El Tappe and Elmer Singleton put it out"
"CHN195904240",71,"Debut game for Don Eaddy"
"CHN195905120",49,"$Cubs manager Bob Scheffing argued that Johnny O'Brien, who had dropped the ball, did not pick it up in time"
"CHN195905160",70,"$Harvey Haddix thought the ball would roll foul"
"CHN195905200",74,"ej,myatg102,C,jackb901,Pitcher using foreign substance Cubs Coach George Myatt ejected by 1B umpire Bill Jackowski for complaining that Humberto Robinson was putting his hand in his pocket before pitching"
"CHN195905240",46,"ej,hemus101,M,donaa901,Balls and strikes Cardinals Manager Solly Hemus ejected by HP umpire Augie Donatelli; Johnny Keane managed the club"
"CHN195905240",50,"ej,keanj801,C,conlj102,Call at 1B Cardinals Coach Johnny Keane ejected by 1B umpire Jocko Conlan; Harry Walker managed the club"
"CHN195906100",66,"Bob Purkey left with a blister on his pitching hand"
"CHN195906110",5,"ej,nuxhj101,P,burkk101,Bench jockeying Joe Nuxhall ejected by 1B umpire Ken Burkhart"
"CHN195906110",12,"$off the LF pole"
"CHN195906130",41,"$the throw went into the Braves' dugout"
"CHN195906140",0,"$Dick Drott: 129 pitches"
"CHN195906170",6,"$the Pirates argued the HR was foul"
"CHN195906180",4,"$Tony Taylor hit on the face and carried off on a stretcher"
"CHN195906300",0,"Protest=V"
"CHN195906300",33,"$the fourth ball to Stan Musial rolled to the stands; Al Dark retrieved it and threw to Ernie Banks who tagged Musial; meanwhile HP umpire Vic Delmore handed a new ball to Sammy Taylor who threw it into CF as Musial continued to 3B; after a long argument the umpires decided the original ball was in play and Musial was out; the Cardinals then played the game under protest"
"CHN195906300",66,"$Don Elston attempted to intercept the throw to 2B"
"CHN195907041",17,"$Maury Wills overslid 2B"
"CHN195907041",65,"$Al Dark reached into stands for ball"
"CHN195907051",1,"missing play in CHN195907051"
"CHN195907051",73,"ej,myatg102,C,dixoh901,Call at 1B Cubs Coach George Myatt ejected by 1B umpire Hal Dixon"
"CHN195907140",37,"Bob Anderson left with a pulled back muscle"
"CHN195907140",74,"The play-by-play in the Chicago American newspaper stopped here. The balance of the plays were either taken from newspaper accounts of the game or were assumed."
"CHN195907160",15,"$Stan Lopata collided with Al Dark as Dark was about to field the grounder; Lopata called for interference and both Lopata and Lew Burdette ruled out by 3B umpire Ed Sudol; unassisted double play for Dark, who never touched the ball"
"CHN195907160",28,"$off the LF pole"
"CHN195908060",6,"Debut game for Billy Williams"
"CHN195908080",0,"Protest=H"
"CHN195908080",78,"Art Schult left with pulled arm muscle"
"CHN195908080",114,"$Cubs manager Bob Scheffing argued the balk call and then announced he was playing the game under protest"
"CHN195908110",55,"Gil Hodges left with injured ankle"
"CHN195908120",84,"$Al Dark missed a popup near the mound"
"CHN195908130",0,"Protest=V"
"CHN195908130",8,"ej,sanfj101,P,dixoh901,Balls and strikes ej,spend101,P,dixoh901,Balls and strikes Daryl Spencer and Jack Sanford ejected by HP umpire Hal Dixon after ball 3 to Jim Marshall"
"CHN195908130",27,"ej,scheb101,M,smitv101,Call at 1B Cubs Manager Bob Scheffing ejected by 1B umpire Vinnie Smith"
"CHN195908130",56,"$Ernie Banks hit a grounder that was fielded by the runner on 3B, Tony Taylor; the Giants protested the game, claiming that Taylor should be out"
"CHN195908150",57,"$Ernie Banks left with stiff back from HBP in first"
"CHN195908150",68,"$game was called due to rain anddarkness"
"CHN195908160",71,"ej,rignb101,M,dixoh901,Call at 1B ej,landh101,P,dixoh901,Call at 1B Hobie Landrith and Giants Manager Bill Rigney ejected by 1B umpire Hal Dixon"
"CHN195908290",79,"ej,fitzf101,C,burkk101,Checked swing (Threw equipment) ej,walll101,P,burkk101,Checked swing (Threw equipment) Lee Walls and Cubs Coach Freddie Fitzsimmons ejected by HP umpire Ken Burkhart sometime in ninth"
"CHN195909091",10,"Debut game for Buddy Gilbert"
"CHN195909091",53,"32 minute rain delay"
"CHN195909092",11,"Debut game for Cliff Cook"
"CHN195909092",49,"$the game was called due to darkness"
"CHN195909102",1,"Debut game for James Bailey"
"CHN195909130",1,"Debut game for Tom Hughes"
"CHN195909220",46,"Jim Davenport left with injuted left leg"
"CHN195909220",61,"$the ball lost in the ivy"
"CHN195909230",65,"ej,rignb101,M,dascf901,Call at 3B $Willie McCovey overslid 3B and was tagged out; Giants Manager Bill Rigney ejected by 3B umpire Frank Dascoli"
"CHN195909260",68,"10 minute rain delay"
"CHN195904110",5,"Debut game for George Altman"
"CHN195904110",15,"Debut game for Jim Baxes"
"CHN195904120",12,"Debut game for Norm Sherry"
"CHN195904220",63,"$the ball caromed off Bobby Adams into the St. Louis dugout"
"CHN195904230",24,"$game delayed when the LF vines caught fire due to a cigarette being dropped in the vines; Coach El Tappe and Elmer Singleton put it out"
"CHN195904240",71,"Debut game for Don Eaddy"
