GAME_ID,EVENT_ID,COMMENT_TX
"MIN201004120",0,"$First game at Target Field, Minneapolis"
"MIN201004120",41,"replay,5,camem001,BOS,tscht901,MIN04,F,N,I,,H $Mike Cameron hit a fly ball down the LF line that went between the pole and the limestone facing of the stands; it was ruled a foul ball by 3B umpire Kerwin Danley; Red Sox manager Terry Francona asked about the ruling, so crew chief Tim Tschida looked at the replay and upheld the call; the gap between the pole and the wall is very narrow; first replay in the fifth inning of the first game in the park"
"MIN201004150",52,"$after the throw to the plate Red Sox catcher Victor Martinez threw to 2B attempting to put out Denard Span; Nick Punto, who had stopped at 3B, scored on the throw to 2B"
"MIN201004200",29,"$catcher Lou Marson retrieved the ball after the wild pitch and threw it in the dirt to pitcher Justin Masterson, who was covering the plate; Delmon Young rounded 3B and scored when the ball got away from Masterson"
"MIN201004200",40,"replay,5,keara001,CLE,tscht901,MIN04,O,N,I,,H $Austin Kearns' fly hit the top of the wall and bounced back onto the field; the Indians asked about the call so crew chief Tim Tschida watched the replay and upheld the call"
"MIN201005040",36,"fan interference"
"MIN201005040",38,"Tigers catcher Gerald Laird left the game due to an injured leg"
"MIN201005040",68,"$Twins shortstop J.J. Hardy made a diving stop in the hole and had no chance to get the batter; Alex Avila rounded 3B too far and Hardy threw to 3B Nick Punto to catch Avila"
"MIN201005050",30,"Tigers left fielder Johnny Damon left the game due to an injured leg"
"MIN201005090",9,"$ball four to Matt Wieters rolled away from catcher Wilson Ramos; HP umpire Ted Barrett handed Ramos a new ball, although the other ball was still live; Ramos tried to give it back but Barrett called time to prevent a problem"
"MIN201005210",13,"Debut game for Trevor Plouffe"
"MIN201005210",71,"Debut game for Jonathan Lucroy"
"MIN201005220",41,"Brewers second baseman Joe Inglett left the game due to an injured ankle"
"MIN201005220",65,"Twins second baseman Orlando Hudson left the game due to an injured elbow"
"MIN201005230",54,"Debut game for Zach Braddock"
"MIN201005230",54,"Twins center fielder Denard Span left the game due to an injured shoulder"
"MIN201005250",0,"Suspend=20100526,,0,0,30"
"MIN201005250",39,"suspended,20100526,MIN04,rain $After rain delay of 1:23, game suspended until next day"
"MIN201005280",28,"replay,4,kinsi001,TEX,gormb901,MIN04,F,Y,I,,H $Ian Kinsler's fly down the LF line was just foul but called a home run; the Twins asked about the play so crew chief Brian Gorman watched the replay and overturned the call"
"MIN201005290",18,"replay,3,yound003,MIN,gormb901,MIN04,F,N,I,,H $Delmon Young hit the 1-1 pitch down the RF line; the ball hit on the top of the wall about 2 feet foul and was called foul; the Twins asked about the call so crew chief Brian Gorman looked at the replay and upheld the call"
"MIN201005300",19,"Rangers pitcher Derek Holland left the game due to an injured shoulder"
"MIN201006100",26,"$Denard Span ran from 2B towards 3B without tagging up; Nick Punto, who was part way to the plate, turned and yelled to Span to go back to 2B; Punto trotted towards the plate, thinking that his run would not count because the third out was going to be made at 2B; however, if he had crossed the plate before the out at 2B, his run would count; after the game, he admitted to not knowing the rule"
"MIN201006110",37,"Braves second baseman Omar Infante left the game due to an injured foot"
"MIN201006170",4,"$the pitch deflected off Ryan Spilborghs and hit HP umpire Jerry Crawford on the right foot; the Twins trainer checked him before the game resumed"
"MIN201006170",7,"$the pitch deflected off Brad Hawpe and hit HP umpire Jerry Crawford on the left shoulder; the Twins trainer checked Crawford again; Crawford took a few minutes to recover; Twins catcher Drew Butera talked with Crawford, who patted Butera on the back before they resumed"
"MIN201006300",49,"Twins pitcher Kevin Slowey left the game due to an injured ankle"
