GAME_ID,EVENT_ID,COMMENT_TX
"BOS197704070",3,"Debut game for Jim Norris"
"BOS197704180",45,"$the previous two plays occurred together; after Tito Fuentes beat out the bunt, he stole SB when no one was covering the bag; he went to 3B when the ball rolled away at 2B; the play was originally scored a stolen base and an error on Fergie Jenkins, but later the error was removed"
"BOS197705030",40,"ej,zimmd101,M,frana901,Catcher's interference Red Sox Manager Don Zimmer ejected by HP umpire Art Frantz"
"BOS197705030",41,"ej,pinsv101,C,neudj901,Call at 1B Mariners Coach Vada Pinson ejected by 3B umpire Jerry Neudecker"
"BOS197705030",55,"$Rick Miller suffered a broken left thumb"
"BOS197705030",83,"$Dan Meyer awarded 1B on catcher's interference twice in the same game"
"BOS197705030",84,"$Carl Yastrzemski hurt his knee on the play"
"BOS197705080",19,"Debut game for Gil Flores"
"BOS197705210",24,"Debut game for Sam Hinds"
"BOS197705210",54,"$Carlton Fisk had gone back to tag up on Butch Hobson's soft liner"
"BOS197705210",92,"$Dwight Evans shoulder blocked Don Money and knocked the ball loose, allowing Carlton Fisk to score the winning run"
"BOS197705221",76,"$Dwight Evans' HR hit off the top of the new wall built behind the CF bleachers"
"BOS197705221",84,"$the two clubs tie a major league record by combining to hit 11 HR's in the game"
"BOS197705252",1,"Debut game for Mike Paxton"
"BOS197705270",1,"114 pitches by Jenkins"
"BOS197705280",49,"$Fred Lynn rehurt ankle"
"BOS197705280",68,"$over the screen"
"BOS197705280",76,"$liner off the LF screen; called double by umpire after the ball caromed off one of the light towers back onto the field"
"BOS197706090",52,"$Billy Smith was called for interference when he ran in fair territory"
"BOS197706121",12,"$Ken Henderson injured his leg chasing after Carlton Fisk's foul ball"
"BOS197706130",37,"Fergie Jenkins left the game with a blister"
"BOS197706170",7,"$into Red Sox bullpen"
"BOS197706180",59,"$Yankees manager Billy Martin removed Reggie Jackson during the inning to show up Jackson; Martin thought Jackson loafed on Jim Rice's double; the two argued in the dugout and had to be separated by coaches Yogi Berra and Elston Howard"
"BOS197706180",78,"$into Red Sox bullpen"
"BOS197707060",24,"$Al Woods fouled off 11 straight pitches before fouling out; three of the fouls just missed home runs"
"BOS197707212",72,"$Rick Burleson missed 2B in trying to turn the double play"
"BOS197707250",0,"1:11 rain delay before start of game"
"BOS197707260",1,"Debut game for Don Aase"
"BOS197708100",69,"$George Scott's fly hit to the right of the vertical line in deep left-center atop the CF wall which is a home run according to the Fenway ground rules; however, the ball was ruled in play"
"BOS197708241",45,"2:22 rain delay with 1-2 count on Campaneris"
"BOS197708250",69,"Debut game for Sam Bowen"
"BOS197708250",72,"$Mike Hargrove yelled at HP umpire Richie Garcia after a called strike to Kurt Bevacqua"
"BOS197708250",73,"$HP umpire Richie Garcia told Mike Hargrove as he stepped to the plate to stop telling him how to umpire"
"BOS197708250",74,"ej,ellid101,P,garcr901,Called third strike ej,huntb105,M,garcr901,Called third strike ej,blylb001,P,garcr901,Called third strike Dock Ellis, Bert Blyleven and Rangers Manager Billy Hunter ejected by HP umpire Rich Garcia for clapping derisively at the called third strike"
"BOS197708310",42,"$all three runners were running on the 3-2 pitch to Fred Lynn"
"BOS197708310",43,"ej,nossj101,C,hallb901,Bench jockeying Indians Coach Joe Nossek ejected by HP umpire Bill Haller"
"BOS197708310",63,"$Pat Dobson left the game with lower stomach pains"
"BOS197709092",2,"Debut game for Lou Whitaker"
"BOS197709092",25,"Debut game for Alan Trammell"
"BOS197709271",20,"$Al Woods pulled his right hamstring on the play"
"BOS197709272",17,"$Otto Velez ran into Dave McKay and knocked the ball loose"
"BOS197709280",14,"$Jesse Jefferson injured his ribs while pitching to Lynn"
