GAME_ID,EVENT_ID,COMMENT_TX
"OAK198204060",68,"umpchange,9,umphome,merrd901 umpchange,9,ump2b,(None) $HP umpire Barnett left when foul hit his mask and a piece of metal cut his forehead, requireing 3 stitches; 2B umpire Merrill went behind plate and game finished with 3 umpires"
"OAK198204111",86,"1:12 rain delay"
"OAK198204112",1,"Debut game for Mike Moore"
"OAK198205070",51,"ej,queem102,C,kunkb101,Balls and strikes ej,sutcr001,P,kunkb101,Balls and strikes Rick Sutcliffe and Indians coach Mel Queen ejected by HP umpire Bill Kunkel"
"OAK198205070",53,"ej,newmj001,P,kunkb101,Balls and strikes Jeff Newman ejected by HP umpire Bill Kunkel"
"OAK198205090",12,"$Jim Spencer bruised left knee in first"
"OAK198205090",76,"ej,martb105,M,parkd901,Warning to pitcher Athletics manager Billy Martin ejected by HP umpire Dallas Parks after Parks warned Jeff Jones about throwing at batters"
"OAK198205090",91,"missing play from OAK198205090"
"OAK198205100",19,"Debut game for Tony Phillips"
"OAK198205120",77,"Discrepancy with official totals: they have Palmer 3 Stodard 1 and Martinez 0 - evidently because of GDP in the bottom of the 8th TJR: took an ER away from martt001 and gave it to palmj001 (10:18 problem)"
"OAK198206060",59,"ej,martb105,M,clara901,Balls and strikes Billy Martin ejected by HP umpire Al Clark complaining about a ball called to Gorman Thomas"
"OAK198206160",0,"Wind 'brisk'.  Temperature in the 60s."
"OAK198206160",34,"ej,larut101,M,shulj901,Balls and strikes White Sox manager Tony LaRussa ejected by HP umpire John Shulock"
"OAK198206160",49,"ej,loped001,P,shulj901,Called third strike Davey Lopes ejected by HP umpire John Shulock"
"OAK198206160",76,"ej,almob001,P,kunkb101,Call at 1B (Threw helmet) Bill Almon ejected by 1B umpire Bill Kunkel for throwing helmet"
"OAK198206160",80,"ej,lau-c101,C,shulj901,Balk call White Sox coach Charlie Lau ejected by HP umpire John Shulock"
"OAK198206170",0,"Wind 'light'.  Temperature in the 70s."
"OAK198206180",21,"umpchange,2,umphome,garcr901 umpchange,2,ump3b,denkd901 umpchange,2,ump2b,(None) $HP Umpire Mark Johnson suffered a broken right hand when struck by the pitch that also stuck Willie Upshaw; 3B Umpire Rich Garcia moved to HP; 2B Umpire Don Denkinger moved to 3B"
"OAK198206210",0,"Weather 'cool'."
"OAK198206220",0,"Weather 'cool.'"
"OAK198206230",0,"Weather 'mild'."
"OAK198206230",61,"$Frank White injured in sliding collision with Mike Heath"
"OAK198207040",6,"$Buddy Bell broke for HP while John Grubb was in rundown"
"OAK198207100",7,"ej,murre001,P,kaisk901,Balk call Eddie Murray ejected by 2B umpire Ken Kaiser"
"OAK198207100",41,"ej,weave801,M,malog901,Balls and strikes Orioles manager Earl Weaver ejected by HP umpire George Maloney"
"OAK198208200",66,"ej,houkr101,M,reilm901,Balls and strikes $Red Sox manager Houk ejected by HP umpire Reilly for arguing balls and strikes while making mound visit"
"OAK198208200",75,"ej,ecked001,P,merrd901,Checked swing ej,millr001,P,merrd901,Checked swing Rick Miller and Dennis Eckersley ejected by 3B umpire Durwood Merrill; Eckersley was not in the game"
"OAK198208210",51,"$Red Sox disputed the home run and claimed it wsa foul"
"OAK198208210",63,"ej,stanb001,P,reilm901,Fair/foul call $Red Sox Stanley ejected by 3B umpire Reilly at end of 6th for continuing argument over home run fair/foul call in 5th"
"OAK198208220",1,"Debut game for Brian Denman"
"OAK198208240",16,"umpchange,2,ump1b,roe-r901 umpchange,2,ump2b,(None) $1B umpire Larry Barnett left with stomach cramps"
"OAK198208240",67,"$Fred Stanley let himself get picked off so Rickey Henderson could have a clear path in order to steal 2B and tie the SB record"
"OAK198208240",70,"ej,martb105,M,merrd901,Call at 2B ej,metrc101,C,merrd901,Call at 2B ej,murpd002,P,merrd901,Call at 2B $on his way onto the field between innings, Dwayne Murphy argued the caught stealing ruling on Rickey Henderson; Murphy was ejected by 3B umpire Durwood Merrill; Athletics manager Billy Martin came out and was ejected by Merrill; Athletics coach Charlie Metro ejected by Merrill"
"OAK198209080",76,"ej,martb105,M,garcr901,Call at HP Kicked dirt on umpire) $Athletics manager Martin ejected by HP umpire Garcia for arguing Brown was safe; kicked dirt on umpire"
"OAK198209100",0,"Temperature 'mild'."
"OAK198209110",1,"Debut game for Chris Codiroli"
"OAK198209120",12,"Tony Bernazard left with muscle strain in left leg"
"OAK198209120",49,"$Bill Almon called for interference for running into catcher Mike Heath"
"OAK198209200",24,"$Mike Richardt rounded 1B too far"
"OAK198209240",62,"ej,moork101,P,kunkb101,Called third strike Kelvin Moore ejected by HP umpire Bill Kunkel"
"OAK198209250",27,"ej,kingb101,P,voltv901,Call at 1B Brian Kingman ejected by 1B umpire Vic Voltaggio"
"OAK198209260",49,"$Ron Johnson out on appeal for missing HP"
