GAME_ID,EVENT_ID,COMMENT_TX
"CLE201104010",23,"replay,3,quenc001,CHA,wintm901,CLE08,O,N,I,,H $Carlos Quentin's fly ball was touched by a fan in the first row and rebounded back on the field; the play was ruled a home run but Indians manager Manny Acta asked about the play; Mike Winters, in his first game as crew chief, watched the replay and upheld the ruling on the field"
"CLE201104010",70,"replay,7,santc002,CLE,wintm901,CLE08,O,N,I,,H $Carlos Santana's fly to the same spot as the one by Carlos Quentin in the third hit off a fan's glove just above the yellow stripe; the ball rebounded back onto the field; White Sox manager Ozzie Guillen asked about the play so crew chief Mike Winters watched the replay and upheld the call on the field; Winters had two replays in his first game as crew chief"
"CLE201104060",57,"$Boston third baseman Kevin Youkilis did not catch the liner but recovered in time to step on the bag for the force; he threw home where catcher Jason Varitek stepped on the plate thinking he had a force; John Buck scored because he was not tagged"
"CLE201104150",23,"$Cabrera out after Orioles appealed that he left second too soon"
"CLE201105120",70,"replay,8,cabra002,CLE,scotd901,CLE08,O,N,I,,H $the fly ball by Asdrubal Cabrera hit the yellow stripe at the top of the wall in the deepest part of RF; it was ruled in play but the Indians asked about the call, so crew chief Dale Scott watched the replay and upheld the call"
"CLE201105200",23,"Indians pitcher Alex White left the game due to an injured hand"
"CLE201105220",64,"originally scored E6, changed to single next day"
"CLE201105230",53,"ej,actam801,M,drakr901,Call at 1B $Matt LaPorta fielded the ball well to his right and flipped the ball backhanded to pitcher Justin Masterson; Masterson tried to step on the bag but landed next to it and then tried to hit it again as he went by; when Jacoby Ellsbury was called safe by 1B umpire Rob Drake, Masterson argued briefly before Indians Manager Manny Acta came out; Acta asked Masterson if he touched the bag and then argued with Drake about the call; Acta was ejected by Drake"
"CLE201105230",56,"$Dustin Pedroia slipped on the 2B bag and turned his ankle"
"CLE201105250",68,"fan interference"
"CLE201106070",62,"$Michael Cuddyer did not agree with HP umpire Ardian Johnson's call on strike three; Cuddyer immediately barked at Johnson and stomped over to the arbiter; Cuddyer appeared to make contact with Johnson"
"CLE201106170",23,"Indians first baseman Matt LaPorta left the game due to an injured leg"
"CLE201106170",62,"replay,8,hafnt001,CLE,cousd901,CLE08,O,N,I,,H $Travis Hafner's fly ball hit RF Xavier Paul's glove then caromed off the yellow stripe at the top of the wall; it was called in play although Hafner thought he had a homer; Indians manager Manny Acta asked about the call so crew chief Derryl Cousins watched the replay and upheld the call"
"CLE201107050",35,"$Cabrera left game with injured ankle"
"CLE201107100",57,"originally scored E3, but changed the next day"
"CLE201107290",31,"ej,carrc003,P,barrs901,Throwing at a batter after a homer $Melky Cabrera appeared to stand at the plate briefly and admire his grand slam; the first pitch by Indians pitcher Carlos Carrasco to Billy Butler was at his head; Butler ducked then yelled; Carrasco was ejected immediately by HP umpire Scott Barry; the Royals came onto the field from the dugout and bullpen but the umpires quickly got them to return to their bench; Carrasco yelled at the Royals as he left the field"
"CLE201107300",44,"$Matt LaPorta collided with catcher Matt Treanor at the plate with LaPorta's right shoulder hitting Treanor's mask; the mask went flying away and Treanor spun around and ended up face down in the dirt; it was not apparent that he held the ball and HP umpire Laz Diaz waited to call the runner out until he saw the ball still in the glove; Treanor was dazed but tried to get up but was wobbly as a few people steadied him; he suffered a concussion and was taken to the hospital for a CT scan; he was placed on the seven-day concussion DL"
"CLE201108100",12,"Tigers left fielder Brennan Boesch left the game due to an injured hand"
"CLE201108100",31,"originally scored as single, changed next day to error"
"CLE201108270",41,"Indians right fielder Shin-Soo Choo left the game due to an injured hip"
"CLE201108310",52,"$Jack Hannahan's high fly hit near the top of the RF pole"
"CLE201109060",15,"fan interference"
"CLE201109190",69,"$Game called for rain"
"CLE201109220",38,"fan interference"
"CLE201109230",59,"Twins right fielder Michael Cuddyer left the game due to an injured groin"
"CLE201109241",10,"Indians left fielder Trevor Crowe left the game due to an injured shoulder"
"CLE201109242",59,"Indians shortstop Asdrubal Cabrera left the game due to an injured elbow"
"CLE201109250",66,"$Jim Thome took the field for one pitch as farewell gesture to fans and then was replaced"
"CLE201104010",23,"replay,3,quenc001,CHA,wintm901,CLE08,O,N,I,,H $Carlos Quentin's fly ball was touched by a fan in the first row and rebounded back on the field; the play was ruled a home run but Indians manager Manny Acta asked about the play; Mike Winters, in his first game as crew chief, watched the replay and upheld the ruling on the field"
"CLE201104010",70,"replay,7,santc002,CLE,wintm901,CLE08,O,N,I,,H $Carlos Santana's fly to the same spot as the one by Carlos Quentin in the third hit off a fan's glove just above the yellow stripe; the ball rebounded back onto the field; White Sox manager Ozzie Guillen asked about the play so crew chief Mike Winters watched the replay and upheld the call on the field; Winters had two replays in his first game as crew chief"
"CLE201104060",57,"$Boston third baseman Kevin Youkilis did not catch the liner but recovered in time to step on the bag for the force; he threw home where catcher Jason Varitek stepped on the plate thinking he had a force; John Buck scored because he was not tagged"
"CLE201104150",23,"$Cabrera out after Orioles appealed that he left second too soon"
"CLE201105120",70,"replay,8,cabra002,CLE,scotd901,CLE08,O,N,I,,H $the fly ball by Asdrubal Cabrera hit the yellow stripe at the top of the wall in the deepest part of RF; it was ruled in play but the Indians asked about the call, so crew chief Dale Scott watched the replay and upheld the call"
"CLE201105200",23,"Indians pitcher Alex White left the game due to an injured hand"
