GAME_ID,EVENT_ID,COMMENT_TX
"SLN191905040",10,"unclear about what error is; says ball slipped out of hand as he attempted to throw"
"SLN191905040",64,"account says Shultz in rf but box says cf"
"SLN191905050",22,"Cutshaw ejected by Byron for arguing a strike call on the first pitch"
"SLN191905050",25,"$Miller dropped the infield fly"
"SLN191905301",3,"$Pick hesitated thinking the ball would be caught"
"SLN191905301",43,"$Snyder continued to 3B when the bag was left uncovered; Kilduff was near the plate"
"SLN191905301",75,"$Mann left 3rd too soon and Stock called for ball, leading to out on appeal"
"SLN191905310",22,"$Kilduff took the rebound off Hendrix' glove and tried to get Shotton after he rounded 3B; Smith moved up when 2B was left uncovered"
"SLN191906220",0,"$there was a heavy rain at noon"
"SLN191906220",43,"$once Snyder threw to 2B Stengel started home knocking down Snyder as he caught the throw from Lavan"
"SLN191906220",47,"Saier dropped the relay but evidently no error was charged"
"SLN191906230",0,"$heavy rain fell during the night and morning; the umpires arrived late causing a late start"
"SLN191906230",31,"Snyder ejected by O'Day for arguing a balk on the pickoff"
"SLN191906230",38,"P3 correct; he was within a few steps of 1B"
"SLN191906230",44,"$Stengel's fly landed on the roof of the pavilion and rolled over into a vacant lot; it cleared the fence about 30 feet inside the fair line"
"SLN191906230",58,"$Paulette and Stock converged on the ball"
"SLN191906240",21,"$Saier's foot slipped off the bag as he took the toss"
"SLN191906240",49,"$Stengel tripped as he reached 1B and had to stay there; the next day he had a severely bruised leg"
"SLN191906240",54,"$Cooper made a bad pickoff throw that hit Smith; Cutshaw grabbed it before Smith could advance"
"SLN191906240",71,"$runner scored fron seoond on sacrifice"
"SLN191906250",0,"$Terry out with an upset stomach due to the intense heat; Stengel out with a bruised leg from tripping yesterday; the Cards sold Horstman to Columbus today; Mollwitz wore his first baseman's mitt in RF"
"SLN191906250",20,"$Doak bluffed to 3B and made a wild throw to 1B which caught by Miller"
"SLN191906250",28,"$Stock fell and threw from his knees"
"SLN191907250",9,"$Mann argued that he was hit on the hand by a pitch"
"SLN191909060",12,"ej,schuf102,P,harrp901,Balls and strikes (Threw glove) $Schupp ejected by plate umpire Harrison for arguing ball call with 3-1 count on Rath; threw his glove"
"SLN191909060",32,"Clemons ejected with 2-2 count for arguing balls and strikes"
"SLN191909071",49,"Rariden dropped a wind blown foul pop, no error"
"SLN191909072",71,"Throw by Wingo hit firstbase coach Shotton"
"SLN191909260",30,"84(1) is correct"
"SLN191909270",37,"$the throw hit Bigbee on the head and went into RF"
"SLN191909270",41,"$Southworth & Grimm collided; Southworth suffered a broken collar bone"
"SLN191909280",39,"$the ball bounced over Clemons' head; he stood and argued with umpire Quigley while the ball rolled to the grandstand saying that Terry had held him"
"SLN191909280",46,"Clemons ejected by Quigley"
