GAME_ID,EVENT_ID,COMMENT_TX
"BRO194704150",0,"$Dodgers manager Leo Durocher suspended for the 1947 season for associating with known gamblers; coach Clyde Sukeforth managed the team for the first two games; debut for Jackie Robinson; debut for umpire Artie Gore"
"BRO194704150",62,"$the throw hit Jackie Robinson and caromed into RF"
"BRO194704240",31,"ej,semia101,P,henlb101,Balls and strikes (Threw bat) Andy Seminick ejected by HP umpire Butch Henline; Seminick had objected to a called strike and threw his bat at Henline's legs after striking out"
"BRO194704260",11,"runner caught off base and run down; no DP"
"BRO194704290",8,"$the throw struck Phil Cavarretta"
"BRO194705080",14,"$the ball bounced away from Jackie Robinson"
"BRO194705120",18,"ej,sukec101,C,mageg901,Balls and strikes $HP umpire George Magerkurth ordered the Dodgers bench cleared of all players; they were available to play; Dodgers Coach Clyde Sukeforth ejected by Magerkurth"
"BRO194705240",31,"$Pee Wee Reese threw to Stan Rojek who threw to Jackie Robinson; it looked like a double play but Robinson dropped the ball; umpire George Barr ruled that Rojek had not stepped on 2B; Robinson threw to Reese who tagged Handley, the latter having strolled off the base"
"BRO194706010",12,"ej,kurow101,P,gorea901,Call at 1B (Pushed umpire) Whitey Kurowski ejected by 1B umpire Artie Gore"
"BRO194706010",32,"$Stan Musial dropped line drive and tagged Bruce Edwards"
"BRO194706010",53,"$Ted Wilks struck on the face by the line drive"
"BRO194706040",45,"$Pete Reiser collided with the wall"
"BRO194706050",62,"ej,bahre101,P,henlb101,Balls and strikes ej,hermb101,M,henlb101,Balls and strikes ej,taylz101,C,henlb101,Balls and strikes $Pirate Bahr, not in game, Pirate manager Herman and Pirate coach Taylor ejected by HP umpire Henline for arguing called strike to Rikard"
"BRO194706060",7,"$Jackie Robinson rounded 2B too far"
"BRO194706090",43,"$Jackie Robinson called for interference for running into his own bunt"
"BRO194706110",23,"$Augie Galan rounded 2B too far and was out before Benny Zientara scored"
"BRO194707020",27,"$Dixie Walker stumbled and did not touch 1B"
"BRO194707041",46,"missing fielding credit"
"BRO194707041",92,"$game called due to pre-arranged time limit to allow the park to be cleared before the start of the second (separate admission) game"
"BRO194707050",56,"$the ball bounced near the Dodger dugout; Bruce Edwards' Edwards' throw to Vic Lombardi was very wide and bounced off lower box railing behind 3B allowing Hank Camelli to score"
"BRO194707121",44,"$Arky Vaughan called out on appeal for leaving 3B too soon"
"BRO194707122",26,"$Pee Wee Reese picked off after picking up bat that had slipped out of Dixie Walker's hands"
"BRO194707130",17,"ej,sukec101,C,barla901,Balk warning $Dodgers coach Sukeforth ejected by HP umpire Barlick for warning pitcher King about balking"
"BRO194707130",22,"missing fielding"
"BRO194707130",38,"33 minute rain delay"
"BRO194707170",17,"$missed squeeze"
"BRO194707190",33,"$Del Rice injured"
"BRO194707200",0,"Protest=X"
"BRO194707200",62,"$Ron Northey was thrown out at the plate, ending the inning; Cardinals manager Eddie Dyer protested the game because 3B umpire Beans Reardon had signaled that Northey's ball was a home run as the batter approached 3B; Northey slowed his pace when he thought he had a four-bagger and would have scored without the errant signal; the Cardinals used that as the basis of their protest; NL President Ford Frick later ruled in favor of the Cardinals declaring Northey's hit a home run; Frick did not order the teams to resume the game from this point, however, declaring the game a 3-3 tie due to the runs scored by the Dodgers in the bottom of the ninth; the play on Northey was 942 but with the out removed, the half inning only has two outs; the next play never happened and is inserted because we need three outs"
"BRO194707211",7,"missing fielding"
"BRO194708090",75,"ej,chapb102,M,barrg901,Call at 2B Phillies Manager Ben Chapman ejected by 3B umpire George Barr"
"BRO194708100",60,"ej,chapb102,M,jordl901,Call at 1B $Howie Schultz slipped and threw the ball while sitting; Blix Donnelly argued the call at 1B and threw the ball down during the argument; time had not been called; Phillies Manager Ben Chapman ejected by 1B umpire Lou Jorda"
"BRO194708182",32,"ej,riced101,P,barla901,Balls and strikes Del Rice ejected by HP umpire Al Barlick"
"BRO194708182",57,"$Harry Taylor left with injured arm"
"BRO194708200",81,"$Enos Slaughter spiked Jackie Robinson"
"BRO194708210",39,"ej,lamar101,P,jordl901,Balk call ej,waltb102,P,jordl901,Balk call ej,vandj101,P,jordl901,Balk call Ray Lamanno, Johnny Vander Meer and Bucky Walters ejected by HP umpire Lou Jorda"
"BRO194708220",2,"$the throw struck Tommy Tatum"
"BRO194708220",23,"$Joe Hatten rounded 2B too far"
"BRO194708220",36,"missing fielding credit"
"BRO194708220",65,"missing assists"
"BRO194708220",106,"$Pee Wee Reese called for interference for running into his own batted ball"
"BRO194708230",4,"$Eddie Stanky injured"
"BRO194708230",84,"$Pee Wee Reese spiked and injured"
"BRO194708240",58,"ej,klutc101,P,henlb101,Arguing strike 3 $Kluttz ejected by HP umpire Henline for arguing strike 3"
"BRO194709210",36,"$Warren Spahn and Bob Elliott collided"
"BRO194709230",55,"missing assists $Eddie Miksis rounded 1B too far and was caught in rundown; error allowed him to return to 1B"
"BRO194709230",58,"$Ed Stevens out on appeal for missing 3B"
