"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL","FILENAME_TX","LINE_NUMBER_CT"
"KCA199204130","OAK",1,0,0,2,2,"CCBBS",0,0,"hendr001","?","hendr001","?","gordt001","?","gordt001","?","macfm001","joynw001","shumt001","jeffg001","howad001","millk001","mcrab001","mcrek001","","","","K","T","F",7,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,1,"KCA","OAK","KCA",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","wilsw001","cansj001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,2,1,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",2
"KCA199204130","OAK",1,0,1,1,1,"CBX",0,0,"wilsw001","?","wilsw001","?","gordt001","?","gordt001","?","macfm001","joynw001","shumt001","jeffg001","howad001","millk001","mcrab001","mcrek001","","","","6/P5D","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"P","F","F","5D",0,0,"N",0,"N",0,"N",0,0,0,0,"6","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,2,"KCA","OAK","KCA",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","cansj001","bainh001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"howad001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",3
"KCA199204130","OAK",1,0,2,3,2,"BBSSBX",0,0,"cansj001","?","cansj001","?","gordt001","?","gordt001","?","macfm001","joynw001","shumt001","jeffg001","howad001","millk001","mcrab001","mcrek001","","","","8/F8LXD","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","8LXD",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,3,"KCA","OAK","KCA",0,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","bainh001","mcgwm001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,3,0,2,0,1,0,0,"mcrab001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",4
"KCA199204130","OAK",1,1,0,3,2,"FBBFBX",0,0,"mcrab001","?","mcrab001","?","moorm001","?","moorm001","?","quirj001","mcgwm001","blanl001","lansc001","bordm001","hendr001","wilsw001","cansj001","","","","43/G34","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","34",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,4,"KCA","KCA","OAK",1,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","jeffg001","joynw001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,3,0,0,2,1,0,0,"blanl001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",5
"KCA199204130","OAK",1,1,1,2,0,"BBX",0,0,"jeffg001","?","jeffg001","?","moorm001","?","moorm001","?","quirj001","mcgwm001","blanl001","lansc001","bordm001","hendr001","wilsw001","cansj001","","","","63/G6M","F","F",5,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","6M",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,5,"KCA","KCA","OAK",1,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","joynw001","mcrek001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,1,0,0,0,1,0,0,"bordm001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",6
"KCA199204130","OAK",1,1,2,2,2,"BSBSX",0,0,"joynw001","?","joynw001","?","moorm001","?","moorm001","?","quirj001","mcgwm001","blanl001","lansc001","bordm001","hendr001","wilsw001","cansj001","","","","13/G13","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","13",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,6,"KCA","KCA","OAK",1,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","mcrek001","bretg001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,0,2,0,1,0,0,"moorm001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",7
"KCA199204130","OAK",2,0,0,0,0,"X",0,0,"bainh001","?","bainh001","?","gordt001","?","gordt001","?","macfm001","joynw001","shumt001","jeffg001","howad001","millk001","mcrab001","mcrek001","","","","43/G4","T","F",10,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","4",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,7,"KCA","OAK","KCA",0,"T","F",0,0,0,3,0,"T","F",0,0,"T","T","mcgwm001","quirj001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"shumt001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",8
"KCA199204130","OAK",2,0,1,1,1,"CBX",0,0,"mcgwm001","?","mcgwm001","?","gordt001","?","gordt001","?","macfm001","joynw001","shumt001","jeffg001","howad001","millk001","mcrab001","mcrek001","","","","53/G56","F","F",3,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","56",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,8,"KCA","OAK","KCA",0,"F","F",0,0,0,4,1,"T","F",0,0,"T","T","quirj001","lansc001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"jeffg001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",9
"KCA199204130","OAK",2,0,2,2,2,"BBCCX",0,0,"quirj001","?","quirj001","?","gordt001","?","gordt001","?","macfm001","joynw001","shumt001","jeffg001","howad001","millk001","mcrab001","mcrek001","","","","S8/L8LM","F","F",2,6,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"L","F","F","8LM",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9,"KCA","OAK","KCA",0,"F","F",0,0,0,5,2,"T","F",0,1,"T","T","lansc001","bordm001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,2,0,0,1,0,0,"mcrab001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",10
"KCA199204130","OAK",2,0,2,1,2,"BFCX",0,0,"lansc001","?","lansc001","?","gordt001","?","gordt001","?","macfm001","joynw001","shumt001","jeffg001","howad001","millk001","mcrab001","mcrek001","quirj001","","","43/G4S","F","F",5,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","4S",0,0,"N",0,"N",0,"N",0,1,0,0,"43","","","","F","F","F","F","F","F","F","F","F","gordt001","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,10,"KCA","OAK","KCA",0,"F","T",0,0,0,6,3,"T","F",1,1,"T","T","bordm001","blanl001","T","T",2,6,9,0,0,0,0,0,0,"macfm001","","",1,1,0,0,0,0,3,1,0,1,1,0,0,"shumt001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1992KCA.EVA.regular.event.csv",11
