"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL","FILENAME_TX","LINE_NUMBER_CT"
"MLN195804150","PIT",1,0,0,0,0,"",0,0,"virdb101","?","virdb101","?","spahw101","?","spahw101","?","crand102","torrf102","schor101","mathe101","logaj101","haneh101","aaroh101","hazlb101","","","","S","T","F",8,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1,"MLN","PIT","MLN",0,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","groad101","skinb101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,1,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",2
"MLN195804150","PIT",1,0,0,0,0,"",0,0,"groad101","?","groad101","?","spahw101","?","spahw101","?","crand102","torrf102","schor101","mathe101","logaj101","haneh101","aaroh101","hazlb101","virdb101","","","16(1)/FO","F","F",6,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","16","","","F","F","F","F","F","F","F","F","F","spahw101","","","F","F","F","F","F","","","","",0,6,0,0,1,0,0,0,0,2,"MLN","PIT","MLN",0,"F","F",0,0,0,1,1,"T","F",1,1,"T","T","skinb101","klust101","T","T",8,1,1,0,0,0,0,0,0,"crand102","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"spahw101","T","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",3
"MLN195804150","PIT",1,0,1,0,0,"",0,0,"skinb101","?","skinb101","?","spahw101","?","spahw101","?","crand102","torrf102","schor101","mathe101","logaj101","haneh101","aaroh101","hazlb101","groad101","","","S.1-3","F","F",7,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","spahw101","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3,"MLN","PIT","MLN",0,"F","F",0,0,0,2,2,"T","F",1,5,"T","T","klust101","thomf103","T","T",6,2,2,0,0,0,0,0,0,"crand102","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,4,0,0,1,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",4
"MLN195804150","PIT",1,0,1,0,0,"",0,0,"klust101","?","klust101","?","spahw101","?","spahw101","?","crand102","torrf102","schor101","mathe101","logaj101","haneh101","aaroh101","hazlb101","skinb101","","groad101","64(1)/FO.3-H","F","F",3,4,2,"T","T",0,"F","F",1,"F","F",1,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,4,"","64","","","F","F","F","F","F","F","F","F","F","spahw101","","spahw101","F","F","F","F","F","","","","",0,4,0,0,6,0,0,0,0,4,"MLN","PIT","MLN",0,"F","F",0,0,0,3,3,"T","F",5,1,"T","T","thomf103","clemr101","T","T",7,3,3,0,0,0,6,2,2,"crand102","","crand102",0,0,0,0,0,0,0,0,0,0,0,0,1,"logaj101","T","F","F","F",0,0,0,4,0,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",5
"MLN195804150","PIT",1,0,2,0,0,"",1,0,"thomf103","?","thomf103","?","spahw101","?","spahw101","?","crand102","torrf102","schor101","mathe101","logaj101","haneh101","aaroh101","hazlb101","klust101","","","7","F","F",5,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"7","","","","F","F","F","F","F","F","F","F","F","spahw101","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,5,"MLN","PIT","MLN",0,"F","T",1,0,1,4,4,"T","F",1,1,"T","T","clemr101","bakeg101","T","T",3,4,4,0,0,0,0,0,0,"crand102","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"haneh101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",6
"MLN195804150","PIT",1,1,0,0,0,"",1,0,"schor101","?","schor101","?","frieb102","?","frieb102","?","foilh101","klust101","bakeg101","thomf103","groad101","skinb101","virdb101","clemr101","","","","7","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,6,"MLN","MLN","PIT",1,"T","F",0,1,0,0,0,"T","F",0,0,"T","T","hazlb101","mathe101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"skinb101","F","F","F","F",0,0,0,0,1,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",7
"MLN195804150","PIT",1,1,1,0,0,"",1,0,"hazlb101","?","hazlb101","?","frieb102","?","frieb102","?","foilh101","klust101","bakeg101","thomf103","groad101","skinb101","virdb101","clemr101","","","","43","F","F",9,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,7,"MLN","MLN","PIT",1,"F","F",0,1,0,1,1,"T","F",0,0,"T","T","mathe101","aaroh101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bakeg101","F","F","F","F",0,0,0,0,1,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",8
"MLN195804150","PIT",1,1,2,0,0,"",1,0,"mathe101","?","mathe101","?","frieb102","?","frieb102","?","foilh101","klust101","bakeg101","thomf103","groad101","skinb101","virdb101","clemr101","","","","HR","F","F",5,3,23,"T","T",4,"F","F",0,"F","F",1,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",4,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"MLN","MLN","PIT",1,"F","F",0,1,0,2,2,"T","F",0,0,"T","T","aaroh101","torrf102","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,1,"","F","F","F","F",4,0,0,0,0,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",9
"MLN195804150","PIT",1,1,2,0,0,"",1,1,"aaroh101","?","aaroh101","?","frieb102","?","frieb102","?","foilh101","klust101","bakeg101","thomf103","groad101","skinb101","virdb101","clemr101","","","","4","F","F",8,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"4","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,9,"MLN","MLN","PIT",1,"F","T",1,1,1,3,3,"T","F",0,0,"T","T","torrf102","haneh101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"bakeg101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",10
"MLN195804150","PIT",2,0,0,0,0,"",1,1,"clemr101","?","clemr101","?","spahw101","?","spahw101","?","crand102","torrf102","schor101","mathe101","logaj101","haneh101","aaroh101","hazlb101","","","","D","T","F",9,6,21,"T","T",2,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"MLN","PIT","MLN",0,"T","F",1,1,0,5,0,"T","F",0,2,"T","T","bakeg101","foilh101","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",11
"MLN195804150","PIT",2,0,0,0,0,"",1,1,"bakeg101","?","bakeg101","?","spahw101","?","spahw101","?","crand102","torrf102","schor101","mathe101","logaj101","haneh101","aaroh101","hazlb101","","clemr101","","53","F","F",4,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"53","","","","F","F","F","F","F","F","F","F","F","","spahw101","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,11,"MLN","PIT","MLN",0,"F","F",1,1,0,6,1,"T","F",2,2,"T","T","foilh101","frieb102","T","T",0,0,0,9,6,10,0,0,0,"","crand102","",0,0,0,0,0,0,0,0,0,0,0,0,0,"mathe101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",12
"MLN195804150","PIT",2,0,1,0,0,"",1,1,"foilh101","?","foilh101","?","spahw101","?","spahw101","?","crand102","torrf102","schor101","mathe101","logaj101","haneh101","aaroh101","hazlb101","","clemr101","","9","F","F",2,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"9","","","","F","F","F","F","F","F","F","F","F","","spahw101","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,12,"MLN","PIT","MLN",0,"F","F",1,1,0,7,2,"T","F",2,2,"T","T","frieb102","virdb101","T","T",0,0,0,9,6,10,0,0,0,"","crand102","",0,0,0,0,0,0,0,0,0,0,0,0,0,"hazlb101","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F,"1958MLN.EVN.regular.event.csv",13
