GAME_ID,EVENT_ID,COMMENT_TX
"MIN198004220",0,"Protest=V $Angels protest game based on bullpen mounds being too flat"
"MIN198004220",7,"$Dave Frost failed to cover 1B"
"MIN198004280",9,"$Bombo Rivera fractured left knee cap on fence chasing triple"
"MIN198005170",64,"57 minute rain delay"
"MIN198005270",14,"$Pete Mackanin hit a shot off of Britt Burns' mid-section"
"MIN198005280",29,"5 minute by rain delay"
"MIN198005290",0,"1:43 rain delay at some point during game"
"MIN198005300",46,"ej,ripkc801,C,kunkb101,Pickoff move Orioles coach Cal Ripken Sr ejected by 3B umpire Bill Kunkel arguing Roger Erickson's move to 1B"
"MIN198006020",8,"$Roy Smalley injured"
"MIN198006242",15,"Roger Erickson tipped ball to Roy Smalley at SS"
"MIN198006242",74,"ej,hurdc001,P,neudj901,Call at 1B (Threw helmet) Clint Hurdle ejected by 1B umpire Jerry Neudecker"
"MIN198007211",27,"$bad hop hits Mike Cubbage in face; broken nose and cuts"
"MIN198008150",7,"$Roy Smalley left with partially dislocated left shoulder"
"MIN198008150",67,"$Rod Carew called for interference"
"MIN198008211",8,"DWS: last two plays are really one"
"MIN198009030",65,"1:02 rain delay then game was called"
"MIN198009100",52,"Debut game for Dave LaPoint"
"MIN198009260",48,"ej,washu001,P,kaisk901,Balls and strikes U L Washington ejected by HP umpire Ken Kaiser with 0-2 count"
"MIN198004220",0,"Protest=V $Angels protest game based on bullpen mounds being too flat"
"MIN198004220",7,"$Dave Frost failed to cover 1B"
"MIN198004280",9,"$Bombo Rivera fractured left knee cap on fence chasing triple"
"MIN198005170",64,"57 minute rain delay"
"MIN198005270",14,"$Pete Mackanin hit a shot off of Britt Burns' mid-section"
"MIN198005280",29,"5 minute by rain delay"
"MIN198005290",0,"1:43 rain delay at some point during game"
"MIN198005300",46,"ej,ripkc801,C,kunkb101,Pickoff move Orioles coach Cal Ripken Sr ejected by 3B umpire Bill Kunkel arguing Roger Erickson's move to 1B"
"MIN198006020",8,"$Roy Smalley injured"
"MIN198006242",15,"Roger Erickson tipped ball to Roy Smalley at SS"
"MIN198006242",74,"ej,hurdc001,P,neudj901,Call at 1B (Threw helmet) Clint Hurdle ejected by 1B umpire Jerry Neudecker"
"MIN198007211",27,"$bad hop hits Mike Cubbage in face; broken nose and cuts"
"MIN198008150",7,"$Roy Smalley left with partially dislocated left shoulder"
"MIN198008150",67,"$Rod Carew called for interference"
"MIN198008211",8,"DWS: last two plays are really one"
"MIN198009030",65,"1:02 rain delay then game was called"
"MIN198009100",52,"Debut game for Dave LaPoint"
"MIN198009260",48,"ej,washu001,P,kaisk901,Balls and strikes U L Washington ejected by HP umpire Ken Kaiser with 0-2 count"
