GAME_ID,EVENT_ID,COMMENT_TX
"NY1194004160",24,"arbitrary 7 to 8"
"NY1194004160",67,"reached on error, or somehow?"
"NY1194004260",9,"$no one caught catcher's throw"
"NY1194004280",10,"arbitrary 8 to 7"
"NY1194005170",3,"$Hack hit by foul liner, had to leave game"
"NY1194005180",59,"Herman sprained foot on throw-in"
"NY1194005240",0,"$First night game at the Polo Grounds"
"NY1194006140",6,"$Demaree tripped over first base and hurt his shoulder, left game next inning"
"NY1194006150",25,"$Witek was going with the pitch on 3-2. The pitch was ball 4, but Davis threw to 2B anyway, the throw going into CF."
"NY1194006150",26,"ej,vaugha101,P,campb901,call at 2B $Vaughan was ejected for arguing that Gustine's throw had not pulled him off the bag at 2B."
"NY1194006150",47,"Line drive over DiMaggio's head that landed behind the Eddie Grant memorial 460 feet from home plate"
"NY1194006161",4,"$The return throw from Witek got away from Danning and Vaughan tried to reach third but was thrown out by Danning."
"NY1194006170",48,"Runner hit by batted ball"
"NY1194006200",54,"Young escaped a trap off 3b"
"NY1194006210",8,"$the throw struck Frank McCormick"
"NY1194006231",30,"$the throw struck Babe Young at 3B"
"NY1194006231",39,"$Eddie Joost rounded 3B too far"
"NY1194006231",52,"$Billy Jurges left with an injured hand"
"NY1194006260",43,"$Ball hit off the foul pole."
"NY1194007041",69,"arbitrary 7 to 9"
"NY1194007300",61,"ej,wilsj105,C,mageg901,Checked swing $Mike Dejan called out on a checked swing; Reds Coach Jimmie Wilson ejected by HP umpire George Magerkurth"
"NY1194007300",63,"ej,browj110,P,stewb901,Call at 1B Jumbo Brown ejected by 1B umpire Bill Stewart"
"NY1194007310",76,"$Reds catcher Willard Hershberger, distraught that he 'called the wrong pitch' on the game-ending home run by Harry Danning, committed suicide in his Boston hotel room on August 3"
"NY1194008042",34,"$fan interference prevented second run"
"NY1194009051",82,"$Batted ball hit umpire Klem behind 2B"
"NY1194009051",88,"7,9,13,53 and 3"
"NY1194009081",52,"arbitrary 6 to 5"
"NY1194009111",82,"$Cardinals claimed fan interference, umpires allowed home run."
"NY1194009112",59,"pbp ends here, rest deduced"
"NY1194009261",35,"RF Klein dropped line drive, but was able to get force"
"NY1194004160",24,"arbitrary 7 to 8"
"NY1194004160",67,"reached on error, or somehow?"
"NY1194004260",9,"$no one caught catcher's throw"
"NY1194004280",10,"arbitrary 8 to 7"
"NY1194005170",3,"$Hack hit by foul liner, had to leave game"
"NY1194005180",59,"Herman sprained foot on throw-in"
"NY1194005240",0,"$First night game at the Polo Grounds"
"NY1194006140",6,"$Demaree tripped over first base and hurt his shoulder, left game next inning"
"NY1194006150",25,"$Witek was going with the pitch on 3-2. The pitch was ball 4, but Davis threw to 2B anyway, the throw going into CF."
"NY1194006150",26,"ej,vaugha101,P,campb901,call at 2B $Vaughan was ejected for arguing that Gustine's throw had not pulled him off the bag at 2B."
"NY1194006150",47,"Line drive over DiMaggio's head that landed behind the Eddie Grant memorial 460 feet from home plate"
"NY1194006161",4,"$The return throw from Witek got away from Danning and Vaughan tried to reach third but was thrown out by Danning."
"NY1194006170",48,"Runner hit by batted ball"
"NY1194006200",54,"Young escaped a trap off 3b"
"NY1194006210",8,"$the throw struck Frank McCormick"
"NY1194006231",30,"$the throw struck Babe Young at 3B"
"NY1194006231",39,"$Eddie Joost rounded 3B too far"
"NY1194006231",52,"$Billy Jurges left with an injured hand"
"NY1194006260",43,"$Ball hit off the foul pole."
"NY1194007041",69,"arbitrary 7 to 9"
"NY1194007300",61,"ej,wilsj105,C,mageg901,Checked swing $Mike Dejan called out on a checked swing; Reds Coach Jimmie Wilson ejected by HP umpire George Magerkurth"
"NY1194007300",63,"ej,browj110,P,stewb901,Call at 1B Jumbo Brown ejected by 1B umpire Bill Stewart"
"NY1194007310",76,"$Reds catcher Willard Hershberger, distraught that he 'called the wrong pitch' on the game-ending home run by Harry Danning, committed suicide in his Boston hotel room on August 3"
"NY1194008042",34,"$fan interference prevented second run"
"NY1194009051",82,"$Batted ball hit umpire Klem behind 2B"
"NY1194009051",88,"7,9,13,53 and 3"
"NY1194009081",52,"arbitrary 6 to 5"
"NY1194009111",82,"$Cardinals claimed fan interference, umpires allowed home run."
"NY1194009112",59,"pbp ends here, rest deduced"
"NY1194009261",35,"RF Klein dropped line drive, but was able to get force"
