GAME_ID,EVENT_ID,COMMENT_TX
"NYA195104170",7,"Debut game for Mickey Mantle"
"NYA195104280",52,"$Mickey Grasso left with split right thumb from foul ball"
"NYA195104290",11,"Debut game for Frank Sacka"
"NYA195105180",27,"$an inside pitch struck the knob end of Minnie Minoso's bat"
"NYA195105200",33,"$Jerry Coleman's single hit the 3B bag and bounced into short LF"
"NYA195105200",70,"$this was first game of scheduled DH, but after a 1:24 rain delay, second game was called without starting"
"NYA195105260",29,"$Ferris Fain hit on groin in pregame practice"
"NYA195105260",59,"$Joe Collins tore muscle in left thigh"
"NYA195105260",63,"$Ray Murray hurt by foul ball"
"NYA195105271",0,"$Start delayed by rain"
"NYA195105272",0,"$Start delayed by rain"
"NYA195106290",63,"$scheduled second game rained out"
"NYA195106300",10,"Debut game for Karl Olson"
"NYA195107010",40,"$the ball caromed off Cliff Mapes' glove into seats"
"NYA195107010",48,"DIFF: officials have following play as GDP"
"NYA195107010",49,"$after Joe DiMaggio was run down, Joe Collins rounded 2B too far"
"NYA195107041",21,"$Vic Raschi dropped the ball"
"NYA195107050",53,"ej,myatg102,C,duffj901,Catch/trap call $HP umpire Jim Duffy ruled that Bobby Brown caught Eddie Yost's popup on the rebounded from Charlie Silvera's mitt; the Senators argued that the ball struck the ground; Senators Coach George Myatt ejected by Duffy"
"NYA195107270",0,"Protest=V Protest=H"
"NYA195107270",65,"ej,mcdog101,P,mcgob901,Stalling Lost plays were: play,9,0,robie101 S4 sub,demaj101,0,4,12 play,9,0,stewb101 W.1-2 At this point McDougald went to mound to talk to Morgan. 1B ump McGowan rushed in and accused him of stalling. McDougald argued and was tossed sub,browb105,1,3,5 sub,bakef101,0,6,11 play,9,0,bakef101 S9.2-H;1-2 sub,ostrj101,1,9,1 sub,dillb102,0,7,11 play,9,0,dillb102 15(2)/FO/BG.1-2 sub,lenhd101,0,8,11 sub,sheas101,1,1,1 play,9,0,lenhd101 W.2-3;1-2 sub,gumpr101,0,8,12 sub,kramj101,0,9,1 sub,haasb101,0,9,11 play,9,0,haasb102 S7.3-H;2-H;1-2 play,9,0,fox-n101 S4.2-3;1-2 sub,lopae101,1,9,1 ej,mcdog101,P,mcgob901,Stalling Game called after 1:02 rain delay in top of ninth; White Sox had three runs washed out and score reverted from 4-3 back to a 3-1 Yankee victory; during the top of the ninth, Gil McDougald ejected by 1B umpire Bill McGowan for stalling; both teams protested the game in the 9th; Yankees because of McDougald's ejection and the White Sox claimed that field was not covered quickly enough at start of last delay; On 8/29, AL President Harridge announced that the Chicago protest was disallowed and he criticized manager Paul Richards for negative remarks about the Yankees, the umpires and the AL office"
"NYA195107291",76,"$Vic Raschi struck on the hand hand"
"NYA195107292",41,"ej,richp101,M,mckib901,Call of time when pitcher ready Chicago mnager Richards ejected by HP umpire McKinley for arguing the granting of time just as Rogovin was ready to pitch"
"NYA195107300",63,"$Joe DiMaggio forgot how many outs there were and George Kell scored from 2B on deep fly"
"NYA195108011",88,"Debut game for Bob Cerv"
"NYA195108032",1,"Debut game for Bob Wiesler"
"NYA195108052",71,"$Allie Reynolds struck on hand"
"NYA195108052",74,"$Frank Saucier running on the pitch"
"NYA195108090",31,"$Cass Michaels rounded 3B too far"
"NYA195108180",20,"$Joe Tipton injured in collision with Jerry Coleman; left on stretcher suffering severe left ankle sprain"
"NYA195109092",37,"$Irv Noren hurt shoulder"
"NYA195109092",41,"$game called for darkness; since league rules forbade the use of lights on Sundays"
"NYA195109180",70,"Debut game for Archie Wilson"
"NYA195109281",68,"$Yogi Berra fell as he dropped the ball"
"NYA195109281",69,"one of the 43 outs by a BOS batter may be a 63"
"NYA195109291",4,"Debut game for Jim Brideweser"
"NYA195109291",38,"Debut game for Ben Flowers"
"NYA195109292",22,"Debut game for Clint Courtney"
"NYA195109300",1,"Debut game for Harley Hisner"
