GAME_ID,EVENT_ID,COMMENT_TX
"ATL200803310",28,"Braves second baseman Kelly Johnson left the game due to an injured knee"
"ATL200804020",69,"Debut game for Evan Meek"
"ATL200804030",0,"$Jeff Bennett made emergency start when Mike Hampton strained a chest muscle while warming up in the bullpen; Hampton was to make his first appearance since 8/19/2005"
"ATL200804030",59,"Pirates shortstop Jack Wilson left the game due to a strained left calf muscle"
"ATL200804030",82,"$Resop pitched, played left and pitched in same inning"
"ATL200804200",46,"Braves third baseman Chipper Jones left the game due to an injured leg"
"ATL200804240",33,"$Matt Diaz called for interference"
"ATL200805040",74,"Braves second baseman Martin Prado left the game due to an injured hand/wrist"
"ATL200805060",55,"$Cameron left in mid-count with injury"
"ATL200805070",9,"ej,cox-b103,M,bellw901,Balk call Braves Manager Bobby Cox ejected by 3B umpire Wally Bell"
"ATL200805080",23,"Braves pitcher Jo-Jo Reyes left the game due to an injured hand/wrist"
"ATL200805080",40,"Braves pitcher Buddy Carlyle left the game due to an injured neck/shoulder"
"ATL200805180",14,"Debut game for Gregorio Petit"
"ATL200805210",25,"Mets left fielder Moises Alou left the game due to an injured leg"
"ATL200805210",63,"$the bat broke and part of it flew by Jones as he attempted to play the grounder"
"ATL200805230",0,"$the first start for Doug Davis after thyroid cancer surgery; he was out six weeks"
"ATL200805240",30,"Braves pitcher Jorge Campillo left the game due to an injured hand/wrist"
"ATL200805240",59,"$Yunel Escobar called for interference"
"ATL200806040",64,"ej,gonzf801,M,johna901,Call at 1B Marlins Manager Fredi Gonzalez ejected by 1B umpire Adrian Johnson"
"ATL200806070",79,"ej,escoy001,P,fleta901,Called third strike Braves shortstop Yunel Escobar ejected by HP umpire Andy Fletcher"
"ATL200806200",25,"Mariners pitcher Erik Bedard left the game due to an injured back"
"ATL200806200",59,"Braves third baseman Chipper Jones left the game due to an injured leg"
"ATL200806200",74,"Braves shortstop Yunel Escobar left the game due to an injured leg"
"ATL200806240",33,"ej,escoy001,P,coope901,Call at 1B Braves shortstop Yunel Escobar ejected by 1B umpire Eric Cooper"
"ATL200806250",12,"Braves second baseman Omar Infante left the game due to an injured leg"
"ATL200807010",69,"originally E1 and no SH, changed to FC next day"
"ATL200807010",78,"originally E2/TH, changed next day to E6"
"ATL200807040",16,"Debut game for Jason Perry"
"ATL200807060",0,"1:50 rain delay before start of game"
"ATL200807060",15,"Braves second baseman Omar Infante left the game due to an injured leg"
"ATL200807060",42,"ej,cox-b103,M,everm901,Balls and strikes Braves Manager Bobby Cox ejected by HP umpire Mike Everitt"
"ATL200807060",139,"Braves pitcher Manny Acosta left the game due to an injured leg"
"ATL200807060",150,"$longest game in Turner Field's history"
"ATL200807200",30,"ej,cox-b103,M,guccc901,Balls and strikes $Braves pitcher Buddy Carlyle appeared upset with the strike zone of HP umpire Chris Guccione, who walked out and said something to Carlyle; Braves manager Bobby Cox yelled from the dugout and was ejected by Guccione. Cox suspended for one game, served on 7-22"
"ATL200807300",84,"Cardinals Skip Schumaker left the game due to an injured leg"
"ATL200808010",19,"$1B umpire Jerry Crawford left the game with a sore back umpchange,3,ump1b,nauep901 umpchange,3,ump2b,(None)"
"ATL200808131",39,"ej,cox-b103,M,westj901,Objecting to delay to turn on field lights $umpire crew chief Joe West ordered the lights to be turned on and Braves manager Bobby Cox objected to the delay after his new pitcher had warmed up; Cox was ejected by West"
"ATL200808131",61,"Debut game for Francisley Bueno"
"ATL200808131",68,"$Alfonso Soriano stood at the plate watching his long fly ball, evidently thinking it was a home run; when it hit the fence, Soriano only reached first base; he was booed by Cubs fans and apologized to his teammates later"
"ATL200808131",81,"ej,buenf001,P,rapue901,Throwing a pitch behind Alfonso Soriano $the first pitch by Francisley Bueno to Alfonso Soriano was behind Soriano's head, which was possible retaliation for Soriano's pose at the plate in the previous inning; Bueno was ejected by HP umpire Ed Rapuano; this was Bueno's first game in the majors"
"ATL200808160",1,"Debut game for Matt Palmer"
"ATL200809040",1,"Debut game for Shairon Martis Debut game for James Parr"
"ATL200809040",18,"Debut game for Luke Montz"
"ATL200809040",53,"Nationals third baseman Ronnie Belliard left the game due to an injured groin"
"ATL200809190",47,"Braves third baseman Chipper Jones left the game due to an injured neck/shoulder"
"ATL200803310",28,"Braves second baseman Kelly Johnson left the game due to an injured knee"
"ATL200804020",69,"Debut game for Evan Meek"
"ATL200804030",0,"$Jeff Bennett made emergency start when Mike Hampton strained a chest muscle while warming up in the bullpen; Hampton was to make his first appearance since 8/19/2005"
"ATL200804030",59,"Pirates shortstop Jack Wilson left the game due to a strained left calf muscle"
