GAME_ID,EVENT_ID,COMMENT_TX
"BAL199704020",52,"Debut game for Jamie Walker"
"BAL199704270",69,"ej,benia001,P,garcr901,Throwing at Jeff Frye $the first pitch by Armando Benitez to Jeff Frye was inside; Benitez was ejected by HP umpire Richie Garcia"
"BAL199705200",65,"ej,nevip001,P,koscg901,Called third strike Phil Nevin ejected by HP umpire Greg Kosc"
"BAL199706030",16,"Debut game for Dave Dellucci"
"BAL199706260",8,"ej,johnd105,M,barrt901,Balls and strikes ej,surhb001,P,barrt901,Balls and strikes (from bench) B.J. Surhoff and Orioles manager Davey Johnson ejected by HP umpire Ted Barrett; Surhoff was yelling about the strike zone from the bench"
"BAL199706290",32,"Debut game for Kelvim Escobar"
"BAL199707010",4,"$Roberto Alomar called for interference"
"BAL199707020",55,"ej,millb101,C,younl901,Balls and strikes Phillies coach Brad Mills ejected by HP umpire Larry Young"
"BAL199707200",21,"ej,ripkc001,P,clara901,Balls and strikes Cal Ripken Jr. ejected by HP umpire Al Clark"
"BAL199708120",65,"ej,reboj001,P,joycj901,Fighting after brushback ej,maynb001,P,joycj901,Arguing brushback $the first pitch to Jeff Reboulet was inside; he and catcher Brent Mayne argued about the pitch and both were ejected by 3B umpire Jim Joyce"
"BAL199708152",21,"ej,pinil001,M,clara901,Call at 3B Mariners manager Lou Piniella ejected by 3B umpire Al Clark"
"BAL199708170",26,"ej,bowal001,C,hicke901,Call at HP Angels coach Larry Bowa ejected by HP umprie Ed Hickox"
"BAL199708220",66,"Debut game for Torii Hunter"
"BAL199709110",67,"Debut game for Melvin Rosario"
"BAL199709151",76,"Debut game for Danny Clyburn"
"BAL199704020",52,"Debut game for Jamie Walker"
"BAL199704270",69,"ej,benia001,P,garcr901,Throwing at Jeff Frye $the first pitch by Armando Benitez to Jeff Frye was inside; Benitez was ejected by HP umpire Richie Garcia"
"BAL199705200",65,"ej,nevip001,P,koscg901,Called third strike Phil Nevin ejected by HP umpire Greg Kosc"
"BAL199706030",16,"Debut game for Dave Dellucci"
"BAL199706260",8,"ej,johnd105,M,barrt901,Balls and strikes ej,surhb001,P,barrt901,Balls and strikes (from bench) B.J. Surhoff and Orioles manager Davey Johnson ejected by HP umpire Ted Barrett; Surhoff was yelling about the strike zone from the bench"
"BAL199706290",32,"Debut game for Kelvim Escobar"
"BAL199707010",4,"$Roberto Alomar called for interference"
"BAL199707020",55,"ej,millb101,C,younl901,Balls and strikes Phillies coach Brad Mills ejected by HP umpire Larry Young"
"BAL199707200",21,"ej,ripkc001,P,clara901,Balls and strikes Cal Ripken Jr. ejected by HP umpire Al Clark"
"BAL199708120",65,"ej,reboj001,P,joycj901,Fighting ej,maynb001,P,joycj901,Fighting $Reboulet an catcher Mayne ejected by 3B umpire Joyce for fighting after 1st pitch was behind Reboulet in apparent retaliation for his earlier steal with a big lead; benches emptied"
"BAL199708152",21,"ej,pinil001,M,clara901,Call at 3B Mariners manager Lou Piniella ejected by 3B umpire Al Clark"
"BAL199708170",26,"ej,bowal001,C,hicke901,Call at HP Angels coach Larry Bowa ejected by HP umprie Ed Hickox"
"BAL199708220",66,"Debut game for Torii Hunter"
"BAL199709110",67,"Debut game for Melvin Rosario"
"BAL199709151",76,"Debut game for Danny Clyburn"
