GAME_ID,EVENT_ID,COMMENT_TX
"BRO194604200",86,"$Augie Galan misplayed Dixie Walker's throw"
"BRO194604220",1,"$Carl Furillo and Dixie Walker collided"
"BRO194604220",67,"missing play in BRO194604220"
"BRO194605100",4,"$Ferrell Anderson knocked over by Johnny Hopp"
"BRO194605100",5,"ej,roweb101,P,conlj102,Balls and strikes Bama Rowell ejected by HP umpire Jocko Conlan"
"BRO194605130",83,"maybe runner hit by ball?"
"BRO194605140",27,"$Hal Gregg left with pulled muscle"
"BRO194605140",32,"$only 4th ball to Musial intentional"
"BRO194605150",57,"$Augie Galan ducked inside pitch and the ball struck his bat"
"BRO194605170",9,"$Bob Elliott hurt when the ball caromed off the wall and struck him on the temple"
"BRO194605220",13,"$Mickey Livingston left with badly sprained ankle and was carried off the field"
"BRO194605220",75,"ej,stane101,P,barrg901,Fighting ej,merul101,P,barrg901,Fighting Eddie Stanky and Lenny Merullo ejected by HP umpire George Barr for fighting after Merullo slid hard into Stanky"
"BRO194605230",0,"$Dodgers and Cubs fight before game during batting practice as a carryover from day before; Walker, Merullo, Smith, Reese, Cavarretta fined as Walker and Merullo were also suspended"
"BRO194605230",27,"ej,galaa101,P,barrg901,Call at 2B $Galan ejected by 3B umpire Barr for arguing call at 2nd"
"BRO194605230",63,"ej,durol101,M,conlj102,Balls and strikes ej,gregh102,P,conlj102,Bench jockeying ej,hattj101,P,conlj102,Bench jockeying ej,rojes101,P,conlj102,Bench jockeying $Dodger manager Durocher ejected by HP umpire Conlan for arguing balls and strikes; players Gregg, Hatten and Rojek also ejected from bench"
"BRO194605302",21,"ej,durol101,M,barla901,Balls and strikes Dodgers Manager Leo Durocher ejected by HP umpire Al Barlick"
"BRO194606160",62,"$Kirby Higbe knocked the ball out of Clyde McCullough's glove"
"BRO194606190",14,"ej,frisf101,M,barla901,Balls and strikes Pirates Manager Frankie Frisch ejected by HP umpire Al Barlick"
"BRO194606190",48,"possible missing assists"
"BRO194606200",39,"$Ralph Kiner's foul ball struck HP umpire Babe Pinelli on right ankle"
"BRO194606210",4,"$Vic Lombardi struck on the leg"
"BRO194606230",66,"$only 4th ball intentional"
"BRO194606240",77,"ej,durol101,M,jordl901,Balls and strikes $Dodgers Manager Leo Durocher ejected by HP umpire Lou Jorda when he came out to change pitchers"
"BRO194606250",29,"ej,caseh101,P,stewb901,Bench jockeying ej,stane101,P,stewb901,Bench jockeying Hugh Casey and Eddie Stanky ejected by HP umpire Bill Stewart"
"BRO194606250",74,"ej,durol101,M,dunnt901,Call at 1B Dodgers Manager Leo Durocher ejected by 1B umpire Tom Dunn"
"BRO194606280",46,"ej,masip101,P,boggd901,Called third strike Phil Masi ejected by HP umpire Dusty Boggess"
"BRO194606290",43,"$Dick Culler suffered broken leg when his spikes caught on the 2B bag"
"BRO194606300",11,"ej,flowj101,C,barrg901,Balls and strikes Braves Coach Jake Flowers ejected by HP umpire George Barr"
"BRO194607020",72,"ej,chapb102,M,henlb101,Call at 3B (Threw equipment) Phillies Manager Ben Chapman ejected by HP umpire Butch Henline"
"BRO194607271",25,"ej,frisf101,M,boggd901,Balls and strikes $Pirate manager Frisch ejected by HP umpire Boggess for arguing balls and strikes as Pirates came to bat"
"BRO194607271",71,"$Al Lopez asked HP Umpire Dusty Boggess for a new ball when Carl Furillo hit a foul popup behind HP; Lopez realized the popup was catchable, so he dropped the new ball and ran after the popup"
"BRO194607272",74,"ej,giona101,P,barrg901,Call at HP ej,frisf101,M,barrg901,Call at HP Al Gionfriddo and Pirates Manager Frankie Frisch ejected by HP umpire George Barr"
"BRO194607290",45,"$Bruce Edwards safe at 3B when he threw a rolling block at Grady Hatton, who dropped the ball"
"BRO194608010",34,"$Pete Reiser injured running into the wall"
"BRO194608030",73,"$Dixie Walker and Eddie Stanky collided"
"BRO194608141",33,"ej,bartd101,P,henlb101,Arguing about count ej,ott-m101,M,henlb101,Arguing about count $Giant manager Ott and coach Bartell ejected by HP umpire Henline for arguing about the count to Marshall"
"BRO194608160",28,"ej,chapb102,M,henlb101,Call at 1B ej,cookd102,T,henlb101,Call at 1B [trainer] ej,mccof101,P,henlb101,Call at 1B $Pete Reiser scored on the relay to 1B; Frank McCormick, Phillies Manager Ben Chapman and Phillies Trainer Dusty Cooke ejected by 1B umpire Butch Henline"
"BRO194608180",61,"$Joe Medwick hit on the head"
"BRO194609110",136,"$game called due to darkness"
"BRO194609152",38,"$darkness was falling but game ended due to great swarms of insects"
"BRO194609280",73,"$missed squeeze"
"BRO194604200",86,"$Augie Galan misplayed Dixie Walker's throw"
"BRO194604220",1,"$Carl Furillo and Dixie Walker collided"
"BRO194604220",67,"missing play in BRO194604220"
"BRO194605100",4,"$Ferrell Anderson knocked over by Johnny Hopp"
"BRO194605100",5,"ej,roweb101,P,conlj102,Balls and strikes Bama Rowell ejected by HP umpire Jocko Conlan"
"BRO194605130",83,"maybe runner hit by ball?"
"BRO194605140",27,"$Hal Gregg left with pulled muscle"
"BRO194605140",32,"$only 4th ball to Musial intentional"
"BRO194605150",57,"$Augie Galan ducked inside pitch and the ball struck his bat"
"BRO194605170",9,"$Bob Elliott hurt when the ball caromed off the wall and struck him on the temple"
"BRO194605220",13,"$Mickey Livingston left with badly sprained ankle and was carried off the field"
"BRO194605220",75,"ej,stane101,P,barrg901,Fighting ej,merul101,P,barrg901,Fighting Eddie Stanky and Lenny Merullo ejected by HP umpire George Barr for fighting after Merullo slid hard into Stanky"
"BRO194605230",0,"$Dodgers and Cubs fight before game during batting practice as a carryover from day before; Walker, Merullo, Smith, Reese, Cavarretta fined as Walker and Merullo were also suspended"
"BRO194605230",27,"ej,galaa101,P,barrg901,Call at 2B $Galan ejected by 3B umpire Barr for arguing call at 2nd"
"BRO194605230",63,"ej,durol101,M,conlj102,Balls and strikes ej,gregh102,P,conlj102,Bench jockeying ej,hattj101,P,conlj102,Bench jockeying ej,rojes101,P,conlj102,Bench jockeying $Dodger manager Durocher ejected by HP umpire Conlan for arguing balls and strikes; players Gregg, Hatten and Rojek also ejected from bench"
"BRO194605302",21,"ej,durol101,M,barla901,Balls and strikes Dodgers Manager Leo Durocher ejected by HP umpire Al Barlick"
"BRO194606160",62,"$Kirby Higbe knocked the ball out of Clyde McCullough's glove"
"BRO194606190",14,"ej,frisf101,M,barla901,Balls and strikes Pirates Manager Frankie Frisch ejected by HP umpire Al Barlick"
"BRO194606190",48,"possible missing assists"
"BRO194606200",39,"$Ralph Kiner's foul ball struck HP umpire Babe Pinelli on right ankle"
"BRO194606210",4,"$Vic Lombardi struck on the leg"
"BRO194606230",66,"$only 4th ball intentional"
"BRO194606240",77,"ej,durol101,M,jordl901,Balls and strikes $Dodgers Manager Leo Durocher ejected by HP umpire Lou Jorda when he came out to change pitchers"
"BRO194606250",29,"ej,caseh101,P,stewb901,Bench jockeying ej,stane101,P,stewb901,Bench jockeying Hugh Casey and Eddie Stanky ejected by HP umpire Bill Stewart"
"BRO194606250",74,"ej,durol101,M,dunnt901,Call at 1B Dodgers Manager Leo Durocher ejected by 1B umpire Tom Dunn"
"BRO194606280",46,"ej,masip101,P,boggd901,Called third strike Phil Masi ejected by HP umpire Dusty Boggess"
"BRO194606290",43,"$Dick Culler suffered broken leg when his spikes caught on the 2B bag"
"BRO194606300",11,"ej,flowj101,C,barrg901,Balls and strikes Braves Coach Jake Flowers ejected by HP umpire George Barr"
"BRO194607020",72,"ej,chapb102,M,henlb101,Call at 3B (Threw equipment) Phillies Manager Ben Chapman ejected by HP umpire Butch Henline"
"BRO194607271",25,"ej,frisf101,M,boggd901,Balls and strikes $Pirate manager Frisch ejected by HP umpire Boggess for arguing balls and strikes as Pirates came to bat"
"BRO194607271",71,"$Al Lopez asked HP Umpire Dusty Boggess for a new ball when Carl Furillo hit a foul popup behind HP; Lopez realized the popup was catchable, so he dropped the new ball and ran after the popup"
"BRO194607272",74,"ej,giona101,P,barrg901,Call at HP ej,frisf101,M,barrg901,Call at HP Al Gionfriddo and Pirates Manager Frankie Frisch ejected by HP umpire George Barr"
"BRO194607290",45,"$Bruce Edwards safe at 3B when he threw a rolling block at Grady Hatton, who dropped the ball"
"BRO194608010",34,"$Pete Reiser injured running into the wall"
"BRO194608030",73,"$Dixie Walker and Eddie Stanky collided"
"BRO194608141",33,"ej,bartd101,C,henlb101,Arguing about count ej,ott-m101,M,henlb101,Arguing about count $Giant manager Ott and coach Bartell ejected by HP umpire Henline for arguing about the count to Marshall"
"BRO194608160",28,"ej,chapb102,M,henlb101,Call at 1B ej,cookd102,T,henlb101,Call at 1B [trainer] ej,mccof101,P,henlb101,Call at 1B $Pete Reiser scored on the relay to 1B; Frank McCormick, Phillies Manager Ben Chapman and Phillies Trainer Dusty Cooke ejected by 1B umpire Butch Henline"
"BRO194608180",61,"$Joe Medwick hit on the head"
"BRO194609110",136,"$game called due to darkness"
"BRO194609152",38,"$darkness was falling but game ended due to great swarms of insects"
"BRO194609280",73,"$missed squeeze"
