GAME_ID,EVENT_ID,COMMENT_TX
"PIT200304200",8,"Pirates Josh Fogg left the game due to an injured back"
"PIT200304220",60,"Pirates Randall Simon left the game due to an injured head"
"PIT200304250",12,"Dodgers Dave Roberts left the game due to an injured leg"
"PIT200304260",36,"Pirates Kenny Lofton left the game due to an injured leg"
"PIT200305090",31,"ej,mccll001,M,relic901,Call at 1B Pirates Manager Lloyd McClendon ejected by 1B umpire Charlie Reliford"
"PIT200305110",67,"ej,wilsj002,P,culbf901,Call at 1B Pirates Jack Wilson ejected by 1B umpire Fieldin Culbreth"
"PIT200305150",56,"Astros Roy Oswalt left the game due to an injured groin On 5-17 placed onto 15-day DL"
"PIT200305230",0,"1:20 rain delay during game"
"PIT200305250",43,"Cardinals Fernando Vina left the game due to an injured leg Complete tear of hamstring tendon, surgery on May 30, returned from DL 8-29-2003"
"PIT200306210",66,"ej,boydj001,P,demud901,Balls and strikes $as Jason Boyd left the field, he suddenly changed direction and confronted HP umpire Dana DeMuth, bumping him slightly and yelling at him as DeMuth backpedaled; Boyd was ejected, suspended and fined"
"PIT200306210",75,"Not at all clear why there is no advance"
"PIT200306220",61,"Debut game for Carlos Rivera"
"PIT200306270",55,"Debut game for Matt Miller"
"PIT200307010",68,"Pirates Kenny Lofton left the game due to an injured leg"
"PIT200307010",81,"Debut game for Stephen Smitherman"
"PIT200307020",61,"ej,boona001,P,klemj901,Called third strike Reds Aaron Boone ejected by HP umpire Justin Klemm"
"PIT200307040",0,"1:12 delay during game"
"PIT200307040",48,"Huge rain after Puffer announced, but before he threw a pitch.  Delay of 72 minutes"
"PIT200307180",47,"Brewers Geoff Jenkins left the game due to an injured back"
"PIT200307210",63,"$Juilian Tavarez called for interference"
"PIT200308010",53,"Pirates Matt Stairs left the game due to an injured leg"
"PIT200308030",7,"Debut game for Garrett Atkins"
"PIT200308110",60,"Debut game for Mike Gonzalez"
"PIT200308130",15,"umpchange,3,ump2b,(None) $2B umpire Guccione left the game because of dehydration"
"PIT200308140",24,"ej,mccll001,M,coope901,Balls and strikes Pirates Manager Lloyd McClendon ejected by HP umpire Eric Cooper"
"PIT200308170",24,"ej,yoste001,M,holbs901,Call at 1B Brewers Manager Ned Yost ejected by 1B umpire Sam Holbrook"
"PIT200308290",0,"1:16 delay during game"
"PIT200309140",17,"Debut game for John Grabow"
"PIT200309160",62,"ej,miled801,M,coope901,Call at HP Reds Manager Dave Miley ejected by HP umpire Eric Cooper for arguing the call on Jack Wilson at HP"
"PIT200309200",11,"ej,perrg001,C,brinj901,Balls and strikes Pirates Coach Gerald Perry ejected by HP umpire Joe Brinkman"
"PIT200309200",72,"originally scored E4/G.B-2"
