GAME_ID,EVENT_ID,COMMENT_TX
"CAL197304070",65,"Debut game for Keith Marshall"
"CAL197304070",72,"Debut game for Terry Wilshusen"
"CAL197305170",11,"Bobby Valentine left with unknown injury"
"CAL197306050",59,"ej,berrk101,P,goetr901,Called third strike Ken Berry ejected by HP umpire Russ Goetz"
"CAL197306060",40,"ej,cashn101,P,evanj901,Call at 1B Norm Cash ejected by 1B umpire Jim Evans"
"CAL197306120",43,"ej,kaske101,M,odomj901,Called third strike Red Sox Manager Eddie Kasko ejected by HP umpire Jim Odom"
"CAL197306171",36,"ej,houkr101,M,odomj901,Checked swing Yankees Manager Ralph Houk ejected by 3B umpire Jim Odom after Odom called Graig Nettles out on a checked swing"
"CAL197306280",46,"Dick Allen suffered hairline fracture in left fibula"
"CAL197306280",59,"ej,jetej101,P,deegb901,Call at 3B (Foul language) Johnny Jeter ejected by HP umpire Bill Deegan"
"CAL197307180",58,"$Buddy Bell called for interference when he ran into his own batted ball"
"CAL197307190",67,"ej,wille101,P,kunkb101,Balls and strikes Earl Williams ejected by HP umpire Bill Kunkel with 3-2 count"
"CAL197309040",21,"Debut game for Dave Chalk"
"CAL197309050",2,"ej,epstm101,P,frana901,Balk call Mike Epstein ejected by 1B umpire Art Frantz"
"CAL197309050",57,"ej,olivb101,P,phild901,Balls and strikes ej,winkb801,M,phild901,Balls and strikes (Threw equipment) Bob Oliver and Angels Manager Bobby Winkles ejected by HP umpire Dave Phillips"
"CAL197309100",45,"Tony Muser left with dislocated left kneecap"
"CAL197309110",10,"Debut game for Sam Ewing"
"CAL197309120",29,"Sandy Alomar left with unknown injury"
"CAL197309130",52,"Rich Hand left with stiff shoulder"
"CAL197309130",69,"$Cookie Rojas came off the bag due to Freddie Patek's wide throw; Mickey Rivers rounded 2B and was run down"
"CAL197309130",70,"345' HR"
"CAL197309140",63,"Buck Martinez' throw hit Vada Pinson on back"
"CAL197309140",69,"400' HR"
"CAL197309150",4,"$Mickey Rivers turned towards 2B"
"CAL197304070",65,"Debut game for Keith Marshall"
"CAL197304070",72,"Debut game for Terry Wilshusen"
"CAL197305170",11,"Bobby Valentine left with unknown injury"
"CAL197306050",59,"ej,berrk101,P,goetr901,Called third strike Ken Berry ejected by HP umpire Russ Goetz"
"CAL197306060",40,"ej,cashn101,P,evanj901,Call at 1B Norm Cash ejected by 1B umpire Jim Evans"
"CAL197306120",43,"ej,kaske101,M,odomj901,Called third strike Red Sox Manager Eddie Kasko ejected by HP umpire Jim Odom"
"CAL197306171",36,"ej,houkr101,M,odomj901,Checked swing Yankees Manager Ralph Houk ejected by 3B umpire Jim Odom after Odom called Graig Nettles out on a checked swing"
"CAL197306280",46,"Dick Allen suffered hairline fracture in left fibula"
"CAL197306280",59,"ej,jetej101,P,deegb901,Call at 3B (Foul language) Johnny Jeter ejected by HP umpire Bill Deegan"
"CAL197307180",58,"$Buddy Bell called for interference when he ran into his own batted ball"
"CAL197307190",67,"ej,wille101,P,kunkb101,Balls and strikes Earl Williams ejected by HP umpire Bill Kunkel with 3-2 count"
"CAL197309040",21,"Debut game for Dave Chalk"
"CAL197309050",2,"ej,epstm101,P,frana901,Balk call Mike Epstein ejected by 1B umpire Art Frantz"
"CAL197309050",57,"ej,olivb101,P,phild901,Balls and strikes ej,winkb801,M,phild901,Balls and strikes (Threw equipment) Bob Oliver and Angels Manager Bobby Winkles ejected by HP umpire Dave Phillips"
"CAL197309100",45,"Tony Muser left with dislocated left kneecap"
"CAL197309110",10,"Debut game for Sam Ewing"
"CAL197309120",29,"Sandy Alomar left with unknown injury"
"CAL197309130",52,"Rich Hand left with stiff shoulder"
"CAL197309130",69,"$Cookie Rojas came off the bag due to Freddie Patek's wide throw; Mickey Rivers rounded 2B and was run down"
"CAL197309130",70,"345' HR"
"CAL197309140",63,"Buck Martinez' throw hit Vada Pinson on back"
"CAL197309140",69,"400' HR"
"CAL197309150",4,"$Mickey Rivers turned towards 2B"
