GAME_ID,EVENT_ID,COMMENT_TX
"NYA200704020",15,"Debut game for Akinori Iwamura"
"NYA200704020",17,"Debut game for Elijah Dukes"
"NYA200704020",51,"New York Yankees center fielder Johnny Damon left the game due to an injured leg"
"NYA200704070",1,"Debut game for Kei Igawa"
"NYA200704070",39,"Yankees left fielder Hideki Matsui left the game due to an injured leg"
"NYA200704170",1,"Debut game for Chase Wright"
"NYA200704260",1,"Debut game for Philip Hughes"
"NYA200704280",1,"$Line drive off Karstens' right leg; after examination and practice pitches he stayed in game for one more batter; X-rays revealed broken fibula, onto DL"
"NYA200704280",73,"ej,crisc001,P,froeb901,Called third strike (threw bat) Red Sox center fielder Coco Crisp ejected by HP umpire Bruce Froemming for throwing his bat and helmet in protest of the third strike call"
"NYA200705060",38,"$Phelps went out of his way to run over Johjima at the plate"
"NYA200705060",49,"$probable retaliation for running into Johjima in the 5th; both sides warned after Phelps hit in back with pitch"
"NYA200705060",54,"ej,procs001,P,everm901,Result of beanball war ej,torrj101,M,everm901,Result of beanball war ej,hargm001,M,everm901,Result of beanball war $the first pitch to Betancourt was a fastball behind him; he pointed his bat at Proctor; catcher Nieves held onto Betancourt while Proctor gestured for Betancourt to come to the mound; plate umpire Everitt intercepted Proctor, both benches and bullpens emptied and there was a brief skirmish near home plate; Yankees pitcher Scott Proctor, Mgr Joe Torre and Seattle Mgr Mike Hargrove ejected by HP umpire Mike Everitt"
"NYA200705070",1,"Debut game for Matt DeSalvo"
"NYA200705080",36,"fan interference"
"NYA200705080",59,"Rangers catcher Gerald Laird left the game due to an injured back"
"NYA200705090",43,"Rangers shortstop Michael Young left the game due to an injured leg"
"NYA200706090",82,"Debut game for Chris Basak"
"NYA200706100",54,"Debut game for Masumi Kuwata"
"NYA200706170",28,"Mets catcher Paul Lo Duca left the game due to an injured arm"
"NYA200707020",54,"Alex Rodriguez strained left hamstring beating out force"
"NYA200707030",66,"ej,huntt001,P,kulpr901,Called third strike from the bench Twins center fielder Torii Hunter ejected by HP umpire Ron Kulpa; he was in the dugout, charged out at Kulpa and yelled in Kulpa's face and had to be restrained by a coach; this was a result of a called third strike in the seventh"
"NYA200707030",74,"Debut game for Edwar Ramirez"
"NYA200707060",62,"$career homer #493 to tie Lou Gehrig & Fred McGriff for 22nd all-time"
"NYA200707080",38,"Angels pitcher Chris Resop left the game due to an injured arm"
"NYA200707200",17,"Debut game for Shelley Duncan"
"NYA200707211",37,"Devil Rays left fielder Carl Crawford left the game due to an injured foot/ankle"
"NYA200707220",71,"fan interference"
"NYA200707310",4,"ej,guilo001,M,cuzzp901,Balls and strikes White Sox Manager Ozzie Guillen ejected by HP umpire Phil Cuzzi"
"NYA200707310",52,"ej,konep001,P,cuzzp901,Called third strike White Sox first baseman Paul Konerko ejected by HP umpire Phil Cuzzi"
"NYA200708010",67,"ej,haegc001,P,hallt901,Intentional HBP White Sox pitcher Charlie Haeger ejected by HP umpire Tom Hallion"
"NYA200708020",40,"White Sox designated hitter Jim Thome left the game due to an injured back"
"NYA200708020",55,"White Sox Alex Cintron left the game due to an injured chest"
"NYA200708020",63,"White Sox Darin Erstad left the game due to an injured leg"
"NYA200708030",53,"$grounder off pitcher's foot and into stands over first base dugout for double"
"NYA200708040",7,"$ARod's 500th career homer; he is the youngest to reach this mark"
"NYA200708170",2,"Debut game for Cameron Maybin"
"NYA200708170",45,"$Cameron Maybin called for interference"
"NYA200708280",11,"$#490 for Ramirez"
"NYA200708280",54,"Red Sox left fielder Manny Ramirez left the game due to an injured back"
"NYA200708280",62,"Red Sox left fielder Bobby Kielty left the game due to an injured back"
"NYA200708290",46,"upper deck"
"NYA200708300",46,"$Youkilis slid under the tag attempt by Giambi"
"NYA200708300",48,"ej,frant001,M,cousd901,Out call on Youkilis $Youkilis called out for running around the tag onto the infield grass; Red Sox Manager Terry Francona ejected by 2B umpire Derryl Cousins"
"NYA200708300",65,"ej,chamj002,P,herna901,Throwing at Kevin Youkilis Yankees pitcher Joba Chamberlain ejected by HP umpire Angel Hernandez; he had thrown two pitches over Youkilis' head"
"NYA200709010",1,"Debut game for Ian Kennedy"
"NYA200709010",70,"Debut game for Alberto Gonzalez"
"NYA200709020",42,"Yankees first baseman Andy Phillips left the game due to an injured hand/wrist"
"NYA200709030",24,"$Jose Guillen called for interference"
"NYA200709040",67,"Debut game for Jeff Clement"
"NYA200709040",70,"Debut game for Wladimir Balentien"
"NYA200709040",72,"Debut game for Rob Johnson"
"NYA200709050",66,"ej,whitr002,P,vanol901,Balls and strikes Mariners pitcher Rick White ejected by HP umpire Larry Vanover"
"NYA200709170",75,"ej,paytj001,P,kellj901,Balls and strikes Orioles left fielder Jay Payton ejected by HP umpire Jeff Kellogg"
"NYA200709190",35,"ej,paytj001,P,reilm901,Called third strike Orioles Jay Payton ejected by HP umpire Mike Reilly"
"NYA200709220",34,"Blue Jays pitcher Shaun Marcum left the game due to an injured knee"
"NYA200709220",42,"Blue Jays designated hitter Frank Thomas left the game due to an injured knee"
"NYA200709220",59,"Blue Jays pitcher Scott Downs left the game due to an injured back"
