"GAME_ID","INN_CT","BAT_HOME_ID","SUB_ID","SUB_HOME_ID","SUB_LINEUP_ID","SUB_FLD_CD","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"FILENAME_TX","LINE_NUMBER_CT"

"CIN191910010",4,1,"wilkr101",0,9,1,"cicoe101",1,381919WS.EVE.post.sub.csv",2

"CIN191910010",8,0,"mcmuf101",0,9,11,"wilkr101",1,641919WS.EVE.post.sub.csv",3

"CIN191910010",8,1,"lowdg101",0,9,1,"mcmuf101",11,681919WS.EVE.post.sub.csv",4

"CIN191910020",9,0,"mcmuf101",0,9,11,"willl104",1,701919WS.EVE.post.sub.csv",5

"CHA191910030",8,0,"mages101",0,9,11,"fishr101",1,561919WS.EVE.post.sub.csv",6

"CHA191910030",8,1,"luqud101",0,9,1,"mages101",11,571919WS.EVE.post.sub.csv",7

"CHA191910040",9,1,"murpe102",1,9,11,"cicoe101",1,671919WS.EVE.post.sub.csv",8

"CHA191910060",6,0,"lynnb101",1,8,2,"schar103",2,421919WS.EVE.post.sub.csv",9

"CHA191910060",8,1,"murpe102",1,9,11,"willl104",1,581919WS.EVE.post.sub.csv",10

"CHA191910060",9,0,"mayee101",1,9,1,"murpe102",11,591919WS.EVE.post.sub.csv",11

"CIN191910070",6,0,"ringj101",1,9,1,"ruetd101",1,481919WS.EVE.post.sub.csv",12

"CIN191910070",7,0,"leibn101",0,1,11,"colls101",9,571919WS.EVE.post.sub.csv",13

"CIN191910070",7,1,"leibn101",0,1,9,"leibn101",11,601919WS.EVE.post.sub.csv",14

"CIN191910080",5,0,"fishr101",1,9,1,"salls101",1,381919WS.EVE.post.sub.csv",15

"CIN191910080",5,1,"ruetd101",1,9,11,"fishr101",1,431919WS.EVE.post.sub.csv",16

"CIN191910080",6,0,"luqud101",1,9,1,"ruetd101",11,451919WS.EVE.post.sub.csv",17

"CIN191910080",9,1,"mages101",1,9,11,"luqud101",1,741919WS.EVE.post.sub.csv",18

"CIN191910080",9,1,"smitj107",1,9,12,"mages101",11,751919WS.EVE.post.sub.csv",19

"CHA191910090",1,0,"jameb103",1,9,1,"willl104",1,51919WS.EVE.post.sub.csv",20

"CHA191910090",6,0,"wilkr101",1,9,1,"jameb103",1,521919WS.EVE.post.sub.csv",21

"CHA191910090",9,1,"murpe102",1,9,11,"wilkr101",1,901919WS.EVE.post.sub.csv",22

