GAME_ID,EVENT_ID,COMMENT_TX
"CHA200404200",0,"84 minute delay during game"
"CHA200404200",1,"Debut game for Alex Graman"
"CHA200404200",38,"Debut game for Scott Proctor"
"CHA200404270",49,"Debut game for Kazuhito Tadano"
"CHA200405012",51,"$Woodwrad left with injured leg"
"CHA200405110",9,"$Tejada left game with injured leg"
"CHA200405131",1,"Debut game for Daniel Cabrera"
"CHA200405132",1,"Debut game for Felix Diaz"
"CHA200405160",53,"ej,thomf001,P,wolfj901,Balls and strikes Frank Thomas ejected by HP umpire Jim Wolf"
"CHA200405250",75,"$Ordonez left game with strained left calf"
"CHA200406090",34,"$Polanco rounded too far and was caught. He stayed in rundown long enough for Rollins to score from 1B"
"CHA200406110",1,"$Rafael Furcal called for interference"
"CHA200406120",55,"ej,guilo001,M,davig901,Balls and strikes White Sox Manager Ozzie Guillen ejected by HP umpire Gerry Davis"
"CHA200406130",45,"ej,cox-b103,M,gibsg901,Balls and strikes Braves Manager Bobby Cox ejected by HP umpire Greg Gibson"
"CHA200406270",28,"$Todd Hollandsworth left game with injured knee with 2-2 count"
"CHA200406270",29,"$strikeout charged to Hollandsworth"
"CHA200406270",63,"ej,thomf001,P,coope901,Called third strike Frank Thomas ejected by HP umpire Eric Cooper"
"CHA200407250",13,"ej,bondj001,P,kellk901,Intentional HBP ej,trama001,M,kellk901,Intentional HBP Jeremy Bonderman and Manager Alan Trammell ejected by HP umpire Kevin Kelley"
"CHA200407260",6,"$Punto left game with injured neck"
"CHA200407280",7,"$originally called a home run by 3B umpire Ed Montague; White Sox manager Ozzie Guillen and LF Carlos Lee argued that the ball was not a homer; the umpires huddled and changed the ruling to a ball in play; they awarded Morneau, who was in the dugout, a double"
"CHA200407280",39,"ej,gardr001,M,monte901,Fair/foul call (overturned from homer) $for the second time in the game, a fly ball down the line by Justin Morneau was ruled a homer and then changed; 1B umpire Matt Hollowell signaled a home run on this ball; the umpires huddled and changed it to a foul ball; White Sox manager Ozzie Guillen and RF Timo Perez argued the homer call; Twins Manager Ron Gardenhire ejected by 3B umpire Ed Montague after the call was changed"
"CHA200408090",9,"ej,guilo001,M,wendh902,Call at 2B White Sox Manager Ozzie Guillen ejected by 2B umpire Hunter Wendlestedt"
"CHA200408180",47,"$Konerko left game with injured arm"
"CHA200408210",62,"ej,everc001,P,eddid901,Balls and strikes Carl Everett ejected by HP umpire Doug Eddings"
"CHA200408220",78,"ej,harrw001,P,relic901,Balls and strikes Willie Harris ejected by HP umpire Charlie Reliford"
"CHA200409020",51,"$Everett left game with injured hand"
"CHA200409040",81,"Debut game for Jeff Bajenaru"
"CHA200409180",49,"ej,johnj007,P,tscht901,Balls and strikes Jason Johnson ejected by HP umpire Tim Tschida"
