"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"ARI201803290","COL",1,0,0,2,2,"BBFCS",0,0,"blacc001","?","blacc001","?","corbp001","?","corbp001","?","avila001","goldp001","martk001","lambj001","ahmen001","perad001","polla001","dysoj001","","","","K","T","F",8,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,1,"ARI","COL","ARI",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","lemad001","arenn001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,1,1,1,0,0,0,"","F","F","F","F",0,0,0,0,1,0,0,0,0,0,F,F
"ARI201803290","COL",1,0,1,2,2,"CFBBX",0,0,"lemad001","?","lemad001","?","corbp001","?","corbp001","?","avila001","goldp001","martk001","lambj001","ahmen001","perad001","polla001","dysoj001","","","","HR/78/F","F","F",4,2,23,"T","T",4,"F","F",0,"F","F",1,"F","F",0,"F","F","F","78",0,0,"N",0,"N",0,"N",4,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2,"ARI","COL","ARI",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","arenn001","stort001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,1,0,1,1,0,1,"","F","F","F","F",4,0,0,0,0,0,0,0,0,0,F,F
"ARI201803290","COL",1,0,1,2,0,"BBX",1,0,"arenn001","?","arenn001","?","corbp001","?","corbp001","?","avila001","goldp001","martk001","lambj001","ahmen001","perad001","polla001","dysoj001","","","","S7/L+","F","F",5,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3,"ARI","COL","ARI",0,"F","F",1,0,1,2,2,"T","F",0,1,"T","T","stort001","gonzc001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,1,0,0,0,1,0,0,"perad001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"ARI201803290","COL",1,0,1,1,2,"SBCFC",1,0,"stort001","?","stort001","?","corbp001","?","corbp001","?","avila001","goldp001","martk001","lambj001","ahmen001","perad001","polla001","dysoj001","arenn001","","","K","F","F",6,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","corbp001","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,4,"ARI","COL","ARI",0,"F","F",1,0,1,3,3,"T","F",1,1,"T","T","gonzc001","desmi001","T","T",5,3,3,0,0,0,0,0,0,"avila001","","",1,1,0,0,0,0,4,2,1,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"ARI201803290","COL",1,0,2,0,2,"SS>S",1,0,"gonzc001","?","gonzc001","?","corbp001","?","corbp001","?","avila001","goldp001","martk001","lambj001","ahmen001","perad001","polla001","dysoj001","arenn001","","","K","F","F",9,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","corbp001","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,5,"ARI","COL","ARI",0,"F","T",1,0,1,4,4,"T","F",1,1,"T","T","desmi001","parrg001","T","T",5,3,3,0,0,0,0,0,0,"avila001","","",0,0,0,0,0,0,3,0,3,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"ARI201803290","COL",1,1,0,3,2,"BTBBCX",1,0,"perad001","?","perad001","?","grayj003","?","grayj003","?","iannc001","desmi001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","","","S9/G","T","F",7,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6,"ARI","ARI","COL",1,"T","F",0,1,0,0,0,"T","F",0,1,"T","T","polla001","goldp001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,3,1,0,1,1,0,0,"gonzc001","F","F","F","F",4,0,0,0,3,0,0,0,0,0,F,F
"ARI201803290","COL",1,1,0,0,2,"CSX",1,0,"polla001","?","polla001","?","grayj003","?","grayj003","?","iannc001","desmi001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","perad001","","","S7/L+.1-2","F","F",8,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","grayj003","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"ARI","ARI","COL",1,"F","F",0,1,0,1,1,"T","F",1,3,"T","T","goldp001","lambj001","T","T",7,1,6,0,0,0,0,0,0,"iannc001","","",0,0,0,0,0,0,3,1,1,0,1,0,0,"parrg001","F","F","F","F",4,4,0,0,3,0,0,0,0,0,F,F
"ARI201803290","COL",1,1,0,3,2,"SBFBBB",1,0,"goldp001","?","goldp001","?","grayj003","?","grayj003","?","iannc001","desmi001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","polla001","perad001","","W.2-3;1-2","F","F",3,3,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,2,3,0,"","","","","F","F","F","F","F","F","F","F","F","grayj003","grayj003","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"ARI","ARI","COL",1,"F","F",0,1,0,2,2,"T","F",3,7,"T","T","lambj001","martk001","T","T",8,2,7,7,1,6,0,0,0,"iannc001","iannc001","",4,4,0,0,0,0,2,0,1,1,0,0,0,"","F","F","F","F",4,4,4,0,3,0,0,0,0,0,F,F
"ARI201803290","COL",1,1,0,0,0,"X",1,0,"lambj001","?","lambj001","?","grayj003","?","grayj003","?","iannc001","desmi001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","goldp001","polla001","perad001","D9/F+.3-H;2-H;1-3","F","F",5,4,21,"T","T",2,"F","F",0,"F","F",2,"F","F",9,"F","F","F","",0,0,"N",0,"N",0,"N",2,3,4,4,"","","","","F","F","F","F","F","F","F","F","F","grayj003","grayj003","grayj003","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9,"ARI","ARI","COL",1,"F","F",0,1,0,3,3,"T","F",7,6,"T","T","martk001","avila001","T","T",3,3,8,8,2,7,7,1,6,"iannc001","iannc001","iannc001",0,0,0,0,0,0,1,0,0,0,1,0,2,"gonzc001","F","F","F","F",0,4,4,4,1,0,0,0,0,0,F,F
"ARI201803290","COL",1,1,0,1,2,"CC*BFX",1,2,"martk001","?","martk001","?","grayj003","?","grayj003","?","iannc001","desmi001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","lambj001","goldp001","53/G","F","F",4,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,2,3,"53","","","","F","F","F","F","F","F","F","F","F","","grayj003","grayj003","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,10,"ARI","ARI","COL",1,"F","F",2,1,2,4,4,"T","F",6,6,"T","T","avila001","ahmen001","T","T",0,0,0,5,4,9,3,3,8,"","iannc001","iannc001",1,1,0,0,0,0,4,2,0,1,1,0,0,"arenn001","F","F","F","F",0,0,0,4,1,0,0,0,0,0,F,F
