"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"MON199404080","CHN",2,0,1,1,2,"CBSS",1,0,"buecs001","?","buecs001","?","martp001","?","martp001","?","fletd001","floyc001","lansm001","berrs001","cordw001","aloum001","grism001","walkl001","","","","K","F","F",3,7,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,11,"MON","CHN","MON",0,"F","F",1,0,0,6,1,"T","F",0,0,"T","T","dunss001","tracs001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",2,0,2,1,0,"BX",1,0,"dunss001","?","dunss001","?","martp001","?","martp001","?","fletd001","floyc001","lansm001","berrs001","cordw001","aloum001","grism001","walkl001","","","","4/P4D","F","F",6,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"P","F","F","4D",0,0,"N",0,"N",0,"N",0,0,0,0,"4","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,12,"MON","CHN","MON",0,"F","T",1,0,0,7,2,"T","F",0,0,"T","T","tracs001","rhodk001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,1,0,0,0,1,0,0,"lansm001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",2,1,0,0,1,"CX",1,0,"fletd001","?","fletd001","?","tracs001","?","tracs001","?","wilkr001","buecs001","sandr001","sancr001","dunss001","may-d001","rhodk001","sosas001","","","","S8/P8LS","T","F",2,5,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"P","F","F","8LS",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,13,"MON","MON","CHN",1,"T","F",0,1,0,4,0,"T","F",0,1,"T","T","cordw001","floyc001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,2,1,0,0,1,0,0,"rhodk001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",2,1,0,1,2,"CF1B1>B",1,0,"cordw001","?","cordw001","?","tracs001","?","tracs001","?","wilkr001","buecs001","sandr001","sancr001","dunss001","may-d001","rhodk001","sosas001","fletd001","","","WP.1-2","F","F",6,6,9,"F","F",0,"F","F",0,"F","F",0,"T","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","tracs001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,14,"MON","MON","CHN",1,"F","F",0,1,0,5,1,"T","F",1,2,"T","T","floyc001","berrs001","T","T",2,5,13,0,0,0,0,0,0,"wilkr001","","",2,2,0,0,0,0,2,1,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",2,1,0,2,2,"CF1B1>B.S",1,0,"cordw001","?","cordw001","?","tracs001","?","tracs001","?","wilkr001","buecs001","sandr001","sancr001","dunss001","may-d001","rhodk001","sosas001","","fletd001","","K","F","F",6,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","tracs001","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,15,"MON","MON","CHN",1,"F","F",0,1,0,5,1,"F","F",2,2,"T","T","floyc001","berrs001","T","T",0,0,0,2,5,13,0,0,0,"","wilkr001","",2,2,0,0,0,0,3,1,1,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",2,1,1,0,2,"FSFC",1,0,"floyc001","?","floyc001","?","tracs001","?","tracs001","?","wilkr001","buecs001","sandr001","sancr001","dunss001","may-d001","rhodk001","sosas001","","fletd001","","K","F","F",3,7,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","tracs001","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,16,"MON","MON","CHN",1,"F","F",0,1,0,6,2,"T","F",2,2,"T","T","berrs001","martp001","T","T",0,0,0,2,5,13,0,0,0,"","wilkr001","",0,0,0,0,0,0,4,1,1,2,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",2,1,2,0,1,"CX",1,0,"berrs001","?","berrs001","?","tracs001","?","tracs001","?","wilkr001","buecs001","sandr001","sancr001","dunss001","may-d001","rhodk001","sosas001","","fletd001","","53/G5S","F","F",5,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","5S",0,0,"N",0,"N",0,"N",0,0,2,0,"53","","","","F","F","F","F","F","F","F","F","F","","tracs001","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,17,"MON","MON","CHN",1,"F","T",0,1,0,7,3,"T","F",2,2,"T","T","martp001","grism001","T","T",0,0,0,2,5,13,0,0,0,"","wilkr001","",0,0,0,0,0,0,2,1,0,0,1,0,0,"sancr001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",3,0,0,0,2,"CFH",1,0,"tracs001","?","tracs001","?","martp001","?","martp001","?","fletd001","floyc001","lansm001","berrs001","cordw001","aloum001","grism001","walkl001","","","","HP","T","F",1,9,16,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,18,"MON","CHN","MON",0,"T","F",1,0,0,8,0,"T","F",0,1,"T","T","rhodk001","sancr001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,0,0,0,1,0,2,1,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",3,0,0,2,2,"CBBST",1,0,"rhodk001","?","rhodk001","?","martp001","?","martp001","?","fletd001","floyc001","lansm001","berrs001","cordw001","aloum001","grism001","walkl001","tracs001","","","K","F","F",8,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","martp001","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,19,"MON","CHN","MON",0,"F","F",1,0,0,9,1,"T","F",1,1,"T","T","sancr001","sandr001","T","T",1,9,18,0,0,0,0,0,0,"fletd001","","",2,2,0,0,0,0,3,1,1,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",3,0,1,1,1,"BC>S",1,0,"sancr001","?","sancr001","?","martp001","?","martp001","?","fletd001","floyc001","lansm001","berrs001","cordw001","aloum001","grism001","walkl001","tracs001","","","CS2(24)","F","F",5,2,6,"F","F",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"","24","","","F","F","F","T","F","F","F","F","F","martp001","","","F","F","F","F","F","","","","",0,4,0,0,2,0,0,0,0,20,"MON","CHN","MON",0,"F","F",1,0,0,10,2,"T","F",1,0,"T","T","sandr001","may-d001","T","T",1,9,18,0,0,0,0,0,0,"fletd001","","",1,1,0,0,0,0,2,1,1,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",3,0,2,1,2,"BC>S.S",1,0,"sancr001","?","sancr001","?","martp001","?","martp001","?","fletd001","floyc001","lansm001","berrs001","cordw001","aloum001","grism001","walkl001","","","","K","F","F",5,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,21,"MON","CHN","MON",0,"F","T",1,0,0,10,2,"F","F",0,0,"T","T","sandr001","may-d001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",3,1,0,1,2,"CBSS",1,0,"martp001","?","martp001","?","tracs001","?","tracs001","?","wilkr001","buecs001","sandr001","sancr001","dunss001","may-d001","rhodk001","sosas001","","","","K","T","F",1,9,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,22,"MON","MON","CHN",1,"T","F",0,1,0,8,0,"T","F",0,0,"T","T","grism001","lansm001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",3,1,1,0,2,"SCX",1,0,"grism001","?","grism001","?","tracs001","?","tracs001","?","wilkr001","buecs001","sandr001","sancr001","dunss001","may-d001","rhodk001","sosas001","","","","63/G6M","F","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","6M",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,23,"MON","MON","CHN",1,"F","F",0,1,0,9,1,"T","F",0,0,"T","T","lansm001","aloum001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,3,1,1,0,1,0,0,"dunss001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",3,1,2,1,1,"CBX",1,0,"lansm001","?","lansm001","?","tracs001","?","tracs001","?","wilkr001","buecs001","sandr001","sancr001","dunss001","may-d001","rhodk001","sosas001","","","","8/F8LM","F","F",4,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","8LM",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,24,"MON","MON","CHN",1,"F","T",0,1,0,10,2,"T","F",0,0,"T","T","aloum001","walkl001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"rhodk001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",4,0,0,1,2,"BCSS",1,0,"sandr001","?","sandr001","?","martp001","?","martp001","?","fletd001","floyc001","lansm001","berrs001","cordw001","aloum001","grism001","walkl001","","","","K","T","F",4,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,25,"MON","CHN","MON",0,"T","F",1,0,0,11,0,"T","F",0,0,"T","T","may-d001","sosas001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199404080","CHN",4,0,1,1,0,"BX",1,0,"may-d001","?","may-d001","?","martp001","?","martp001","?","fletd001","floyc001","lansm001","berrs001","cordw001","aloum001","grism001","walkl001","","","","41/G34D","F","F",7,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","34D",0,0,"N",0,"N",0,"N",0,0,0,0,"41","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,1,0,0,4,0,0,0,0,26,"MON","CHN","MON",0,"F","F",1,0,0,12,1,"T","F",0,0,"T","T","sosas001","wilkr001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,1,0,0,0,1,0,0,"lansm001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
