"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"KCA199904050","BOS",1,0,0,2,2,"CCBBX",0,0,"offej001","?","offej001","?","appik001","?","appik001","?","kreuc001","kingj001","feblc001","randj002","sancr001","damoj001","beltc001","dye-j001","","","","D8/L8LD","T","F",10,1,21,"T","T",2,"F","F",0,"F","F",0,"F","F",8,"L","F","F","8LD",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1,"KCA","BOS","KCA",0,"T","F",0,0,0,0,0,"T","F",0,2,"T","T","lewid001","valej002","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,2,0,0,1,0,0,"beltc001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"KCA199904050","BOS",1,0,0,3,1,"BBBCX",0,0,"lewid001","?","lewid001","?","appik001","?","appik001","?","kreuc001","kingj001","feblc001","randj002","sancr001","damoj001","beltc001","dye-j001","","offej001","","8/P8RS","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"P","F","F","8RS",0,0,"N",0,"N",0,"N",0,0,2,0,"8","","","","F","F","F","F","F","F","F","F","F","","appik001","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,2,"KCA","BOS","KCA",0,"F","F",0,0,0,1,1,"T","F",2,2,"T","T","valej002","garcn001","T","T",0,0,0,10,1,1,0,0,0,"","kreuc001","",3,3,0,0,0,0,2,1,0,0,1,0,0,"beltc001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"KCA199904050","BOS",1,0,1,2,0,"BBX",0,0,"valej002","?","valej002","?","appik001","?","appik001","?","kreuc001","kingj001","feblc001","randj002","sancr001","damoj001","beltc001","dye-j001","","offej001","","7/F78M","F","F",5,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","78M",0,0,"N",0,"N",0,"N",0,0,2,0,"7","","","","F","F","F","F","F","F","F","F","F","","appik001","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,3,"KCA","BOS","KCA",0,"F","F",0,0,0,2,2,"T","F",2,2,"T","T","garcn001","oleat001","T","T",0,0,0,10,1,1,0,0,0,"","kreuc001","",2,2,0,0,0,0,1,0,0,0,1,0,0,"damoj001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"KCA199904050","BOS",1,0,2,2,1,"BBFX",0,0,"garcn001","?","garcn001","?","appik001","?","appik001","?","kreuc001","kingj001","feblc001","randj002","sancr001","damoj001","beltc001","dye-j001","","offej001","","53/G5","F","F",6,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","5",0,0,"N",0,"N",0,"N",0,0,2,0,"53","","","","F","F","F","F","F","F","F","F","F","","appik001","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,4,"KCA","BOS","KCA",0,"F","T",0,0,0,3,3,"T","F",2,2,"T","T","oleat001","stanm002","T","T",0,0,0,10,1,1,0,0,0,"","kreuc001","",2,2,0,0,0,0,2,0,0,1,1,0,0,"randj002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"KCA199904050","BOS",1,1,0,2,2,"BSSBC",0,0,"beltc001","?","beltc001","?","martp001","?","martp001","?","hatts001","stanm002","fryej001","valej002","garcn001","oleat001","lewid001","nixot001","","","","K","T","F",8,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,5,"KCA","KCA","BOS",1,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","randj002","damoj001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,0,0,2,0,0,0,0,0,F,F
"KCA199904050","BOS",1,1,1,3,2,"BFFBFBX",0,0,"randj002","?","randj002","?","martp001","?","martp001","?","hatts001","stanm002","fryej001","valej002","garcn001","oleat001","lewid001","nixot001","","","","HR/F89XD","F","F",5,2,23,"T","T",4,"F","F",0,"F","F",1,"F","F",0,"F","F","F","89XD",0,0,"N",0,"N",0,"N",4,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6,"KCA","KCA","BOS",1,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","damoj001","kingj001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,4,0,0,3,1,0,1,"","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F
"KCA199904050","BOS",1,1,1,0,2,"CSX",0,1,"damoj001","?","damoj001","?","martp001","?","martp001","?","hatts001","stanm002","fryej001","valej002","garcn001","oleat001","lewid001","nixot001","","","","S8/P8RS","F","F",7,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"P","F","F","8RS",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"KCA","KCA","BOS",1,"F","F",1,0,1,2,2,"T","F",0,1,"T","T","kingj001","suttl001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,3,1,1,0,1,0,0,"lewid001","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F
"KCA199904050","BOS",1,1,1,0,0,"C",0,1,"kingj001","?","kingj001","?","martp001","?","martp001","?","hatts001","stanm002","fryej001","valej002","garcn001","oleat001","lewid001","nixot001","damoj001","","","SB2","F","F",3,4,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"","","","","T","F","F","F","F","F","F","F","F","martp001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"KCA","KCA","BOS",1,"F","F",1,0,1,3,3,"T","F",1,2,"T","T","suttl001","dye-j001","T","T",7,3,7,0,0,0,0,0,0,"hatts001","","",0,0,0,0,0,0,1,1,0,0,0,0,0,"","F","F","F","F",0,4,0,0,1,0,0,0,0,0,F,F
"KCA199904050","BOS",1,1,1,1,2,"C.B2SS",0,1,"kingj001","?","kingj001","?","martp001","?","martp001","?","hatts001","stanm002","fryej001","valej002","garcn001","oleat001","lewid001","nixot001","","damoj001","","K","F","F",3,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","martp001","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9,"KCA","KCA","BOS",1,"F","F",1,0,1,3,3,"F","F",2,2,"T","T","suttl001","dye-j001","T","T",0,0,0,7,3,7,0,0,0,"","hatts001","",1,1,0,0,0,0,3,1,2,0,0,0,0,"","F","F","F","F",0,0,4,0,1,0,0,0,0,0,F,F
"KCA199904050","BOS",1,1,2,2,1,"BBCX",0,1,"suttl001","?","suttl001","?","martp001","?","martp001","?","hatts001","stanm002","fryej001","valej002","garcn001","oleat001","lewid001","nixot001","","damoj001","","D8/L8RD.2-H","F","F",10,5,21,"T","T",2,"F","F",0,"F","F",1,"F","F",8,"L","F","F","8RD",0,0,"N",0,"N",0,"N",2,0,4,0,"","","","","F","F","F","F","F","F","F","F","F","","martp001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"KCA","KCA","BOS",1,"F","F",1,0,1,4,4,"T","F",2,2,"T","T","dye-j001","kreuc001","T","T",0,0,0,7,3,7,0,0,0,"","hatts001","",2,2,0,0,0,0,2,1,0,0,1,0,1,"lewid001","F","F","F","F",0,0,4,0,0,0,0,0,0,0,F,F
