"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"OAK200104060","ANA",1,0,0,2,2,"CBBSFX",0,0,"erstd001","?","erstd001","?","muldm001","?","muldm001","?","hernr002","giamj001","ortij003","chave001","tejam001","damoj001","longt002","giamj002","","","","9/F9","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","9",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,1,"OAK","ANA","OAK",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","gil-b001","salmt001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,4,1,1,1,1,0,0,"giamj002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"OAK200104060","ANA",1,0,1,3,2,"BBBCFFC",0,0,"gil-b001","?","gil-b001","?","muldm001","?","muldm001","?","hernr002","giamj001","ortij003","chave001","tejam001","damoj001","longt002","giamj002","","","","K/C","F","F",6,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,2,"OAK","ANA","OAK",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","salmt001","glaut001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,4,2,0,2,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"OAK200104060","ANA",1,0,2,3,2,"CBBCBX",0,0,"salmt001","?","salmt001","?","muldm001","?","muldm001","?","hernr002","giamj001","ortij003","chave001","tejam001","damoj001","longt002","giamj002","","","","53/G","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,3,"OAK","ANA","OAK",0,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","glaut001","andeg001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,3,2,0,0,1,0,0,"chave001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"OAK200104060","ANA",1,1,0,1,1,"CBX",0,0,"damoj001","?","damoj001","?","wisem001","?","wisem001","?","molib001","spies001","ecksd001","glaut001","gil-b001","andeg001","erstd001","salmt001","","","","S9/9S","T","F",7,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"","F","F","9S",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4,"OAK","OAK","ANA",1,"T","F",0,0,0,0,0,"T","F",0,1,"T","T","ortij003","giamj001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"salmt001","F","F","F","F",4,0,0,0,1,0,0,0,0,0,F,F
"OAK200104060","ANA",1,1,0,2,2,"CBBSF",0,0,"ortij003","?","ortij003","?","wisem001","?","wisem001","?","molib001","spies001","ecksd001","glaut001","gil-b001","andeg001","erstd001","salmt001","damoj001","","","FLE5","F","F",4,2,13,"F","F",0,"F","F",0,"F","F",0,"F","F",5,"P","F","T","",1,5,"F",0,"N",0,"N",0,1,0,0,"","","","","F","F","F","F","F","F","F","F","F","wisem001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5,"OAK","OAK","ANA",1,"F","F",0,0,0,1,1,"T","F",1,1,"T","T","giamj001","saeno001","T","T",7,1,4,0,0,0,0,0,0,"molib001","","",2,2,0,0,0,0,3,1,1,1,0,0,0,"glaut001","F","F","F","F",0,4,0,0,1,0,0,0,0,0,F,F
"OAK200104060","ANA",1,1,0,2,2,"CBBSF.FX",0,0,"ortij003","?","ortij003","?","wisem001","?","wisem001","?","molib001","spies001","ecksd001","glaut001","gil-b001","andeg001","erstd001","salmt001","damoj001","","","63/G.1-2","F","F",4,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"63","","","","F","F","F","F","F","F","F","F","F","wisem001","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,6,"OAK","OAK","ANA",1,"F","F",0,0,0,1,1,"F","F",1,2,"T","T","giamj001","saeno001","T","T",7,1,4,0,0,0,0,0,0,"molib001","","",2,2,0,0,0,0,5,1,1,2,1,0,0,"gil-b001","F","F","F","F",0,4,0,0,1,0,0,0,0,0,F,F
"OAK200104060","ANA",1,1,1,0,2,"CCX",0,0,"giamj001","?","giamj001","?","wisem001","?","wisem001","?","molib001","spies001","ecksd001","glaut001","gil-b001","andeg001","erstd001","salmt001","","damoj001","","S7/7S.2-H","F","F",3,3,20,"T","T",1,"F","F",0,"F","F",1,"F","F",7,"","F","F","7S",0,0,"N",0,"N",0,"N",1,0,4,0,"","","","","F","F","F","F","F","F","F","F","F","","wisem001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"OAK","OAK","ANA",1,"F","F",0,0,0,2,2,"T","F",2,1,"T","T","saeno001","chave001","T","T",0,0,0,7,1,4,0,0,0,"","molib001","",0,0,0,0,0,0,3,2,0,0,1,0,1,"andeg001","F","F","F","F",0,0,4,0,0,0,0,0,0,0,F,F
"OAK200104060","ANA",1,1,1,1,2,"CBSX",0,1,"saeno001","?","saeno001","?","wisem001","?","wisem001","?","molib001","spies001","ecksd001","glaut001","gil-b001","andeg001","erstd001","salmt001","giamj001","","","13/G.1-2","F","F",10,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"13","","","","F","F","F","F","F","F","F","F","F","wisem001","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,8,"OAK","OAK","ANA",1,"F","F",1,0,1,3,3,"T","F",1,2,"T","T","chave001","tejam001","T","T",3,3,7,0,0,0,0,0,0,"molib001","","",1,1,0,0,0,0,3,1,1,0,1,0,0,"wisem001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"OAK200104060","ANA",1,1,2,1,2,"BSCFX",0,1,"chave001","?","chave001","?","wisem001","?","wisem001","?","molib001","spies001","ecksd001","glaut001","gil-b001","andeg001","erstd001","salmt001","","giamj001","","7/F7","F","F",5,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","7",0,0,"N",0,"N",0,"N",0,0,2,0,"7","","","","F","F","F","F","F","F","F","F","F","","wisem001","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,9,"OAK","OAK","ANA",1,"F","T",1,0,1,4,4,"T","F",2,2,"T","T","tejam001","longt002","T","T",0,0,0,3,3,7,0,0,0,"","molib001","",1,1,0,0,0,0,4,1,1,1,1,0,0,"andeg001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"OAK200104060","ANA",2,0,0,3,2,"BCFBBB",0,1,"glaut001","?","glaut001","?","muldm001","?","muldm001","?","hernr002","giamj001","ortij003","chave001","tejam001","damoj001","longt002","giamj002","","","","W","T","F",5,4,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"OAK","ANA","OAK",0,"T","F",0,1,0,3,0,"T","F",0,1,"T","T","andeg001","hillg001","T","T",0,0,0,0,0,0,0,0,0,"","","",4,4,0,0,0,0,2,1,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
