"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"CLE199510030","BOS",1,0,0,2,2,"BBCSFX",0,0,"hosed001","?","hosed001","?","martd001","?","martd001","?","aloms001","sorrp001","baerc001","thomj002","vizqo001","bellj002","loftk001","ramim002","","","","3/G3L","T","F",9,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","3L",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,1,"CLE","BOS","CLE",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","valej002","vaugm001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,4,1,1,1,1,0,0,"sorrp001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"CLE199510030","BOS",1,0,1,2,1,"CBBX",0,0,"valej002","?","valej002","?","martd001","?","martd001","?","aloms001","sorrp001","baerc001","thomj002","vizqo001","bellj002","loftk001","ramim002","","","","53!/G56S","F","F",6,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","56S",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,2,"CLE","BOS","CLE",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","vaugm001","cansj001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,2,1,0,0,1,0,0,"thomj002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"CLE199510030","BOS",1,0,2,3,2,"CBBSBX",0,0,"vaugm001","?","vaugm001","?","martd001","?","martd001","?","aloms001","sorrp001","baerc001","thomj002","vizqo001","bellj002","loftk001","ramim002","","","","3/G3","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","3",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,3,"CLE","BOS","CLE",0,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","cansj001","greem001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,3,1,1,0,1,0,0,"sorrp001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"CLE199510030","BOS",1,1,0,3,2,"CBBBFX",0,0,"loftk001","?","loftk001","?","clemr001","?","clemr001","?","macfm001","vaugm001","alicl001","naeht001","valej002","greem001","tinsl001","hosed001","","","","43/G4+","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","4",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,4,"CLE","CLE","BOS",1,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","vizqo001","baerc001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,3,1,0,1,1,0,0,"alicl001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"CLE199510030","BOS",1,1,1,2,2,"CFBBC",0,0,"vizqo001","?","vizqo001","?","clemr001","?","clemr001","?","macfm001","vaugm001","alicl001","naeht001","valej002","greem001","tinsl001","hosed001","","","","K","F","F",6,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,5,"CLE","CLE","BOS",1,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","baerc001","bellj002","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,2,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"CLE199510030","BOS",1,1,2,3,2,"BBFFBX",0,0,"baerc001","?","baerc001","?","clemr001","?","clemr001","?","macfm001","vaugm001","alicl001","naeht001","valej002","greem001","tinsl001","hosed001","","","","7/F7M","F","F",4,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","7M",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,6,"CLE","CLE","BOS",1,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","bellj002","murre001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,3,0,0,2,1,0,0,"greem001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"CLE199510030","BOS",2,0,0,0,1,"FX",0,0,"cansj001","?","cansj001","?","martd001","?","martd001","?","aloms001","sorrp001","baerc001","thomj002","vizqo001","bellj002","loftk001","ramim002","","","","2/P2LF","T","F",10,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",2,"P","F","T","2LF",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,7,"CLE","BOS","CLE",0,"T","F",0,0,0,3,0,"T","F",0,0,"T","T","greem001","naeht001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,2,0,0,1,1,0,0,"aloms001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"CLE199510030","BOS",2,0,1,0,0,"X",0,0,"greem001","?","greem001","?","martd001","?","martd001","?","aloms001","sorrp001","baerc001","thomj002","vizqo001","bellj002","loftk001","ramim002","","","","S8/L8RS","F","F",7,5,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"L","F","F","8RS",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8,"CLE","BOS","CLE",0,"F","F",0,0,0,4,1,"T","F",0,1,"T","T","naeht001","tinsl001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"loftk001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"CLE199510030","BOS",2,0,1,2,1,"C1BB1X",0,0,"naeht001","?","naeht001","?","martd001","?","martd001","?","aloms001","sorrp001","baerc001","thomj002","vizqo001","bellj002","loftk001","ramim002","greem001","","","8/F78D-","F","F",5,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","78D",0,0,"N",0,"N",0,"N",0,1,0,0,"8","","","","F","F","F","F","F","F","F","F","F","martd001","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,9,"CLE","BOS","CLE",0,"F","F",0,0,0,5,2,"T","F",1,1,"T","T","tinsl001","macfm001","T","T",7,5,8,0,0,0,0,0,0,"aloms001","","",2,2,0,0,0,0,2,1,0,0,1,0,0,"loftk001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"CLE199510030","BOS",2,0,2,1,1,"CBX",0,0,"tinsl001","?","tinsl001","?","martd001","?","martd001","?","aloms001","sorrp001","baerc001","thomj002","vizqo001","bellj002","loftk001","ramim002","greem001","","","23/G2L","F","F",8,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",2,"G","F","F","2L",0,0,"N",0,"N",0,"N",0,1,0,0,"23","","","","F","F","F","F","F","F","F","F","F","martd001","","","F","F","F","F","F","","","","",0,3,0,0,2,0,0,0,0,10,"CLE","BOS","CLE",0,"F","T",0,0,0,6,3,"T","F",1,1,"T","T","macfm001","alicl001","T","T",7,5,8,0,0,0,0,0,0,"aloms001","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"aloms001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
