"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"MIL201704030","COL",1,0,0,2,0,"BBX",0,0,"blacc001","?","blacc001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","","","6/P","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"P","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"6","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,1,"MIL","COL","MIL",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","lemad001","gonzc001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,1,0,0,0,1,0,0,"arcio002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",1,0,1,1,2,"CTBX",0,0,"lemad001","?","lemad001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","","","53/G","F","F",4,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,2,"MIL","COL","MIL",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","gonzc001","arenn001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,1,0,1,1,0,0,"shawt001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",1,0,2,1,2,"CSFFBS",0,0,"gonzc001","?","gonzc001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","","","K","F","F",9,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,3,"MIL","COL","MIL",0,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","arenn001","stort001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,5,1,2,2,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",1,1,0,2,2,"BSCBC",0,0,"villj001","?","villj001","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","","","K","T","F",4,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,4,"MIL","MIL","COL",1,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","thame001","braur002","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,2,1,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",1,1,1,2,2,"CBFBC",0,0,"thame001","?","thame001","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","","","K","F","F",3,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,5,"MIL","MIL","COL",1,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","braur002","shawt001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,2,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",1,1,2,0,1,"SX",0,0,"braur002","?","braur002","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","","","9/F","F","F",7,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,6,"MIL","MIL","COL",1,"F","T",0,0,0,2,2,"T","F",0,0,"T","T","shawt001","santd002","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,2,0,1,0,1,0,0,"gonzc001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",2,0,0,0,0,"H",0,0,"arenn001","?","arenn001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","","","HP","T","F",5,4,16,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"MIL","COL","MIL",0,"T","F",0,0,0,3,0,"T","F",0,1,"T","T","stort001","parrg001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,0,0,0,1,0,0,0,0,0,0,0,0,"","F","F","F","F",4,0,0,0,2,0,0,0,0,0,F,F
"MIL201704030","COL",2,0,0,1,2,"CS*BFFS",0,0,"stort001","?","stort001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","arenn001","","","K","F","F",6,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","guerj003","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,8,"MIL","COL","MIL",0,"F","F",0,0,0,4,1,"T","F",1,1,"T","T","parrg001","reynm001","T","T",5,4,7,0,0,0,0,0,0,"bandj001","","",1,1,0,0,0,0,5,1,2,2,0,0,0,"","F","F","F","F",0,4,0,0,2,0,0,0,0,0,F,F
"MIL201704030","COL",2,0,1,2,2,"C*BBFF1S",0,0,"parrg001","?","parrg001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","arenn001","","","K","F","F",7,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","guerj003","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9,"MIL","COL","MIL",0,"F","F",0,0,0,5,2,"T","F",1,1,"T","T","reynm001","woltt001","T","T",5,4,7,0,0,0,0,0,0,"bandj001","","",2,2,0,0,0,0,4,1,1,2,0,0,0,"","F","F","F","F",0,4,0,0,2,0,0,0,0,0,F,F
"MIL201704030","COL",2,0,2,2,2,"BBSFF>X",0,0,"reynm001","?","reynm001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","arenn001","","","HR/78/L.1-H","F","F",3,7,23,"T","T",4,"F","F",0,"F","F",2,"F","F",0,"L","F","F","78",0,0,"N",0,"N",0,"N",4,4,0,0,"","","","","F","F","F","F","F","F","F","F","F","guerj003","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"MIL","COL","MIL",0,"F","F",0,0,0,6,3,"T","F",1,0,"T","T","woltt001","grayj003","T","T",5,4,7,0,0,0,0,0,0,"bandj001","","",2,2,0,0,0,0,4,0,1,2,1,0,2,"","F","F","F","F",4,4,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",2,0,2,2,2,"BBCCS",2,0,"woltt001","?","woltt001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","","","K","F","F",2,8,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,11,"MIL","COL","MIL",0,"F","T",2,0,2,7,4,"T","F",0,0,"T","T","grayj003","blacc001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,2,1,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",2,1,0,1,1,"BCX",2,0,"shawt001","?","shawt001","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","","","D7/G+","T","F",5,4,21,"T","T",2,"F","F",0,"F","F",0,"F","F",7,"G","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,12,"MIL","MIL","COL",1,"T","F",0,2,0,3,0,"T","F",0,2,"T","T","santd002","broxk001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"parrg001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",2,1,0,2,1,"BT*BX",2,0,"santd002","?","santd002","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","shawt001","","63/G.2-3","F","F",9,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,3,0,"63","","","","F","F","F","F","F","F","F","F","F","","grayj003","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,13,"MIL","MIL","COL",1,"F","F",0,2,0,4,1,"T","F",2,4,"T","T","broxk001","bandj001","T","T",0,0,0,5,4,12,0,0,0,"","woltt001","",2,2,0,0,0,0,2,0,0,1,1,0,0,"stort001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",2,1,1,1,2,"BSSS",2,0,"broxk001","?","broxk001","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","","shawt001","K","F","F",8,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"2","","","","F","F","F","F","F","F","F","F","F","","","grayj003","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,14,"MIL","MIL","COL",1,"F","F",0,2,0,5,2,"T","F",4,4,"T","T","bandj001","arcio002","T","T",0,0,0,0,0,0,5,4,12,"","","woltt001",1,1,0,0,0,0,3,0,3,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",2,1,2,2,2,"FFBBFS",2,0,"bandj001","?","bandj001","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","","shawt001","K","F","F",2,7,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"2","","","","F","F","F","F","F","F","F","F","F","","","grayj003","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,15,"MIL","MIL","COL",1,"F","T",0,2,0,6,3,"T","F",4,4,"T","T","arcio002","guerj003","T","T",0,0,0,0,0,0,5,4,12,"","","woltt001",2,2,0,0,0,0,4,0,1,3,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",3,0,0,2,2,"CBFBX",2,0,"grayj003","?","grayj003","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","","","63/G","T","F",1,9,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,16,"MIL","COL","MIL",0,"T","F",2,0,0,8,0,"T","F",0,0,"T","T","blacc001","lemad001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,1,0,1,1,0,0,"arcio002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",3,0,1,0,1,"CX",2,0,"blacc001","?","blacc001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","","","E2/TH/BG","F","F",8,1,18,"T","T",0,"F","F",0,"F","F",0,"F","F",2,"G","T","F","",1,2,"T",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,17,"MIL","COL","MIL",0,"F","F",2,0,0,9,1,"T","F",0,1,"T","T","lemad001","gonzc001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,2,1,0,0,1,0,0,"bandj001","F","F","F","T",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",3,0,1,1,0,"B>X",2,0,"lemad001","?","lemad001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","blacc001","","","643/G.1-2","F","F",4,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"643","","","","F","F","F","F","F","F","F","F","F","guerj003","","","F","F","F","F","F","","","","",0,3,0,0,6,4,0,0,0,18,"MIL","COL","MIL",0,"F","F",2,0,0,10,2,"T","F",1,2,"T","T","gonzc001","arenn001","T","T",8,1,17,0,0,0,0,0,0,"bandj001","","",1,1,0,0,0,0,1,0,0,0,1,0,0,"arcio002","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",3,0,2,0,0,"2",2,0,"gonzc001","?","gonzc001","?","guerj003","?","guerj003","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","blacc001","","PO2(16)","F","F",9,3,8,"F","F",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"","","16","","F","F","F","F","F","F","F","T","F","","guerj003","","F","F","F","F","F","","","","",0,6,0,0,1,0,0,0,0,19,"MIL","COL","MIL",0,"F","T",2,0,0,11,3,"T","T",2,0,"T","T","arenn001","stort001","T","T",0,0,0,8,1,17,0,0,0,"","bandj001","",0,0,0,0,0,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",3,1,0,0,2,"CFX",2,0,"arcio002","?","arcio002","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","","","S8/L","T","F",6,8,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"L","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,20,"MIL","MIL","COL",1,"T","F",0,2,0,7,0,"T","F",0,1,"T","T","guerj003","villj001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,3,1,0,1,1,0,0,"blacc001","F","F","F","F",2,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",3,1,0,0,0,"X",2,0,"guerj003","?","guerj003","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","arcio002","","","3/BG-/SH.1-2","F","F",1,9,2,"T","F",0,"T","F",1,"F","F",0,"F","F",3,"G","T","F","",0,0,"N",0,"N",0,"N",0,2,0,0,"3","","","","F","F","F","F","F","F","F","F","F","grayj003","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,21,"MIL","MIL","COL",1,"F","F",0,2,0,8,1,"T","F",1,2,"T","T","villj001","thame001","T","T",6,8,20,0,0,0,0,0,0,"woltt001","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"reynm001","F","F","F","F",0,2,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",3,1,1,0,2,"CFS",2,0,"villj001","?","villj001","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","arcio002","","K","F","F",4,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","grayj003","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,22,"MIL","MIL","COL",1,"F","F",0,2,0,9,2,"T","F",2,2,"T","T","thame001","braur002","T","T",0,0,0,6,8,20,0,0,0,"","woltt001","",0,0,0,0,0,0,3,1,1,1,0,0,0,"","F","F","F","F",0,0,2,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",3,1,2,3,2,"BBFT*B*B",2,0,"thame001","?","thame001","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","arcio002","","W","F","F",3,2,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,0,"","","","","F","F","F","F","F","F","F","F","F","","grayj003","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,23,"MIL","MIL","COL",1,"F","F",0,2,0,10,3,"T","F",2,3,"T","T","braur002","shawt001","T","T",0,0,0,6,8,20,0,0,0,"","woltt001","",4,4,0,0,0,0,2,0,0,2,0,0,0,"","F","F","F","F",1,0,2,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",3,1,2,3,2,"SBBSB>S",2,0,"braur002","?","braur002","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","thame001","arcio002","","K","F","F",7,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,2,0,"2","","","","F","F","F","F","F","F","F","F","F","grayj003","grayj003","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,24,"MIL","MIL","COL",1,"F","T",0,2,0,11,4,"T","F",3,3,"T","T","shawt001","santd002","T","T",3,2,23,6,8,20,0,0,0,"woltt001","woltt001","",3,3,0,0,0,0,3,0,3,0,0,0,0,"","F","F","F","F",0,1,2,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",4,0,0,1,2,"..CCFBC",2,0,"gonzc001","?","gonzc001","?","milot001","?","milot001","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","","","K","T","F",9,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,25,"MIL","COL","MIL",0,"T","F",2,0,0,11,0,"T","F",0,0,"T","T","arenn001","stort001","F","F",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,4,3,0,1,0,0,0,"","F","F","F","F",0,0,0,0,2,0,0,0,0,0,F,F
"MIL201704030","COL",4,0,1,0,0,"X",2,0,"arenn001","?","arenn001","?","milot001","?","milot001","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","","","S9/F","F","F",5,4,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"F","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,26,"MIL","COL","MIL",0,"F","F",2,0,0,12,1,"T","F",0,1,"T","T","stort001","parrg001","F","F",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"santd002","F","F","F","F",4,0,0,0,2,0,0,0,0,0,F,F
"MIL201704030","COL",4,0,1,2,2,"BFBF1X",2,0,"stort001","?","stort001","?","milot001","?","milot001","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","arenn001","","","D7/L.1-3","F","F",6,5,21,"T","T",2,"F","F",0,"F","F",0,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",2,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","milot001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,27,"MIL","COL","MIL",0,"F","F",2,0,0,13,2,"T","F",1,6,"T","T","parrg001","reynm001","F","F",5,4,26,0,0,0,0,0,0,"bandj001","","",2,2,0,0,0,0,3,0,0,2,1,0,0,"braur002","F","F","F","F",4,4,0,0,2,0,0,0,0,0,F,F
"MIL201704030","COL",4,0,1,0,0,"X",2,0,"parrg001","?","parrg001","?","milot001","?","milot001","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","","stort001","arenn001","S8/L+.3-H;2-3","F","F",7,6,20,"T","T",1,"F","F",0,"F","F",1,"F","F",8,"L","F","F","",0,0,"N",0,"N",0,"N",1,0,3,4,"","","","","F","F","F","F","F","F","F","F","F","","milot001","milot001","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,28,"MIL","COL","MIL",0,"F","F",2,0,0,14,3,"T","F",6,5,"T","T","reynm001","woltt001","F","F",0,0,0,6,5,27,5,4,26,"","bandj001","bandj001",0,0,0,0,0,0,1,0,0,0,1,0,1,"broxk001","F","F","F","F",0,0,4,4,1,0,0,0,0,0,F,F
"MIL201704030","COL",4,0,1,3,1,"BB*BC1X",3,0,"reynm001","?","reynm001","?","milot001","?","milot001","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","parrg001","","stort001","64(1)/FO/G.3-H","F","F",3,7,2,"T","T",0,"F","F",1,"F","F",1,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,4,"","64","","","F","F","F","F","F","F","F","F","F","milot001","","milot001","F","F","F","F","F","","","","",0,4,0,0,6,0,0,0,0,29,"MIL","COL","MIL",0,"F","F",3,0,1,15,4,"T","F",5,1,"T","T","woltt001","grayj003","F","F",7,6,28,0,0,0,6,5,27,"bandj001","","bandj001",3,3,0,0,0,0,2,1,0,0,1,0,1,"arcio002","T","F","F","F",0,0,0,4,0,0,0,0,0,0,F,F
"MIL201704030","COL",4,0,2,1,0,"BX",4,0,"woltt001","?","woltt001","?","milot001","?","milot001","?","bandj001","thame001","villj001","shawt001","arcio002","braur002","broxk001","santd002","reynm001","","","6(1)/FO/G","F","F",2,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","6","","","F","F","F","F","F","F","F","F","F","milot001","","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,30,"MIL","COL","MIL",0,"F","T",4,0,2,16,5,"T","F",1,1,"T","T","grayj003","blacc001","F","F",3,7,29,0,0,0,0,0,0,"bandj001","","",1,1,0,0,0,0,1,0,0,0,1,0,0,"arcio002","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MIL201704030","COL",4,1,0,1,2,"BCFC",4,0,"shawt001","?","shawt001","?","grayj003","?","grayj003","?","woltt001","reynm001","lemad001","arenn001","stort001","parrg001","blacc001","gonzc001","","","","K","T","F",5,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,31,"MIL","MIL","COL",1,"T","F",0,4,0,12,0,"T","F",0,0,"T","T","santd002","broxk001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,2,0,1,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
