"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"MON199604050","COL",1,0,0,2,2,"CBBFX",0,0,"weisw001","?","weisw001","?","cormr001","?","cormr001","?","fletd001","segud001","lansm001","silvd001","grudm001","rodrh001","whitr001","aloum001","","","","13/G13","T","F",6,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","13",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,1,"MON","COL","MON",0,"T","F",0,0,0,0,0,"T","F",0,0,"T","T","burke001","bichd001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,1,0,1,1,0,0,"cormr001","F","F","F","F",0,0,0,0,1,0,0,0,0,0,F,F
"MON199604050","COL",1,0,1,1,0,"BX",0,0,"burke001","?","burke001","?","cormr001","?","cormr001","?","fletd001","segud001","lansm001","silvd001","grudm001","rodrh001","whitr001","aloum001","","","","HR/F7D","F","F",7,2,23,"T","T",4,"F","F",0,"F","F",1,"F","F",0,"F","F","F","7D",0,0,"N",0,"N",0,"N",4,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2,"MON","COL","MON",0,"F","F",0,0,0,1,1,"T","F",0,0,"T","T","bichd001","walkl001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,1,0,0,0,1,0,1,"","F","F","F","F",4,0,0,0,0,0,0,0,0,0,F,F
"MON199604050","COL",1,0,1,2,2,"FBFBFX",1,0,"bichd001","?","bichd001","?","cormr001","?","cormr001","?","fletd001","segud001","lansm001","silvd001","grudm001","rodrh001","whitr001","aloum001","","","","S8/L8RS/R4","F","F",9,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"L","F","F","8RS",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3,"MON","COL","MON",0,"F","F",1,0,1,2,2,"T","F",0,1,"T","T","walkl001","galaa001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,4,0,0,3,1,0,0,"whitr001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199604050","COL",1,0,1,0,0,"H",1,0,"walkl001","?","walkl001","?","cormr001","?","cormr001","?","fletd001","segud001","lansm001","silvd001","grudm001","rodrh001","whitr001","aloum001","bichd001","","","HP.1-2","F","F",8,4,16,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","cormr001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4,"MON","COL","MON",0,"F","F",1,0,1,3,3,"T","F",1,3,"T","T","galaa001","castv001","T","T",9,3,3,0,0,0,0,0,0,"fletd001","","",1,0,0,0,1,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199604050","COL",1,0,1,3,2,"CBCBFBX",1,0,"galaa001","?","galaa001","?","cormr001","?","cormr001","?","fletd001","segud001","lansm001","silvd001","grudm001","rodrh001","whitr001","aloum001","walkl001","bichd001","","6/L6/LDP.2X2(64)","F","F",3,5,2,"T","T",0,"F","F",2,"T","F",0,"F","F",6,"L","F","F","6",0,0,"N",0,"N",0,"N",0,1,0,0,"6","","64","","F","F","F","F","F","F","F","F","F","cormr001","cormr001","","F","F","F","F","F","","","","",0,6,4,0,6,0,0,0,0,5,"MON","COL","MON",0,"F","T",1,0,1,4,4,"T","F",3,1,"T","T","castv001","castp001","T","T",8,4,4,9,3,3,0,0,0,"fletd001","fletd001","",3,3,0,0,0,0,4,2,0,1,1,0,0,"grudm001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"MON199604050","COL",1,1,0,1,1,"BSX",1,0,"grudm001","?","grudm001","?","reyna001","?","reyna001","?","britj001","galaa001","castp001","castv001","weisw001","burke001","walkl001","bichd001","","","","8/F8RD","T","F",6,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","8RD",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,6,"MON","MON","COL",1,"T","F",0,1,0,0,0,"T","F",0,0,"T","T","lansm001","whitr001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,2,0,1,0,1,0,0,"walkl001","F","F","F","F",0,0,0,0,3,0,0,0,0,0,F,F
"MON199604050","COL",1,1,1,0,1,"CX",1,0,"lansm001","?","lansm001","?","reyna001","?","reyna001","?","britj001","galaa001","castp001","castv001","weisw001","burke001","walkl001","bichd001","","","","D8/L89D/R6","F","F",4,2,21,"T","T",2,"F","F",0,"F","F",0,"F","F",8,"L","F","F","89D",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7,"MON","MON","COL",1,"F","F",0,1,0,1,1,"T","F",0,2,"T","T","whitr001","aloum001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,2,1,0,0,1,0,0,"walkl001","F","F","F","F",4,0,0,0,3,0,0,0,0,0,F,F
"MON199604050","COL",1,1,1,1,1,"FB2X",1,0,"whitr001","?","whitr001","?","reyna001","?","reyna001","?","britj001","galaa001","castp001","castv001","weisw001","burke001","walkl001","bichd001","","lansm001","","63/G6.2-3","F","F",8,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","6",0,0,"N",0,"N",0,"N",0,0,3,0,"63","","","","F","F","F","F","F","F","F","F","F","","reyna001","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,8,"MON","MON","COL",1,"F","F",0,1,0,2,2,"T","F",2,4,"T","T","aloum001","segud001","T","T",0,0,0,4,2,7,0,0,0,"","britj001","",1,1,0,0,0,0,2,0,0,1,1,0,0,"weisw001","F","F","F","F",0,0,4,0,3,0,0,0,0,0,F,F
"MON199604050","COL",1,1,2,1,1,"BSX",1,0,"aloum001","?","aloum001","?","reyna001","?","reyna001","?","britj001","galaa001","castp001","castv001","weisw001","burke001","walkl001","bichd001","","","lansm001","S6/G56/R3.3-H","F","F",9,4,20,"T","T",1,"F","F",0,"F","F",1,"F","F",6,"G","F","F","56",0,0,"N",0,"N",0,"N",1,0,0,4,"","","","","F","F","F","F","F","F","F","F","F","","","reyna001","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9,"MON","MON","COL",1,"F","F",0,1,0,3,3,"T","F",4,1,"T","T","segud001","rodrh001","T","T",0,0,0,0,0,0,4,2,7,"","","britj001",1,1,0,0,0,0,2,0,1,0,1,0,1,"weisw001","F","F","F","F",4,0,0,4,2,0,0,0,0,0,F,F
"MON199604050","COL",1,1,2,3,2,"B1C*BCFBX",1,1,"segud001","?","segud001","?","reyna001","?","reyna001","?","britj001","galaa001","castp001","castv001","weisw001","burke001","walkl001","bichd001","aloum001","","","S8/G6M/R5.1-3","F","F",3,5,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"G","F","F","6M",0,0,"N",0,"N",0,"N",1,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","reyna001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10,"MON","MON","COL",1,"F","F",1,1,1,4,4,"T","F",1,5,"T","T","rodrh001","fletd001","T","T",9,4,9,0,0,0,0,0,0,"britj001","","",3,3,0,0,0,0,4,2,0,1,1,0,0,"walkl001","F","F","F","F",4,4,0,0,2,0,0,0,0,0,F,F
