"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID","HOME_TEAM_ID","BAT_TEAM_ID","FLD_TEAM_ID","BAT_LAST_ID","INN_NEW_FL","INN_END_FL","START_BAT_SCORE_CT","START_FLD_SCORE_CT","INN_RUNS_CT","GAME_PA_CT","INN_PA_CT","PA_NEW_FL","PA_TRUNC_FL","START_BASES_CD","END_BASES_CD","BAT_START_FL","RESP_BAT_START_FL","BAT_ON_DECK_ID","BAT_IN_HOLD_ID","PIT_START_FL","RESP_PIT_START_FL","RUN1_FLD_CD","RUN1_LINEUP_CD","RUN1_ORIGIN_EVENT_ID","RUN2_FLD_CD","RUN2_LINEUP_CD","RUN2_ORIGIN_EVENT_ID","RUN3_FLD_CD","RUN3_LINEUP_CD","RUN3_ORIGIN_EVENT_ID","RUN1_RESP_CAT_ID","RUN2_RESP_CAT_ID","RUN3_RESP_CAT_ID","PA_BALL_CT","PA_CALLED_BALL_CT","PA_INTENT_BALL_CT","PA_PITCHOUT_BALL_CT","PA_HITBATTER_BALL_CT","PA_OTHER_BALL_CT","PA_STRIKE_CT","PA_CALLED_STRIKE_CT","PA_SWINGMISS_STRIKE_CT","PA_FOUL_STRIKE_CT","PA_INPLAY_STRIKE_CT","PA_OTHER_STRIKE_CT","EVENT_RUNS_CT","FLD_ID","BASE2_FORCE_FL","BASE3_FORCE_FL","BASE4_FORCE_FL","BAT_SAFE_ERR_FL","BAT_FATE_ID","RUN1_FATE_ID","RUN2_FATE_ID","RUN3_FATE_ID","FATE_RUNS_CT","ASS6_FLD_CD","ASS7_FLD_CD","ASS8_FLD_CD","ASS9_FLD_CD","ASS10_FLD_CD","UNKNOWN_OUT_EXC_FL","UNCERTAIN_PLAY_EXC_FL"
"TBA200704060","TOR",2,0,2,2,2,"B>C.BCX",0,0,"zaung001","?","zaung001","?","shiej002","?","shiej002","?","navad001","wiggt001","uptob001","iwama001","zobrb001","crawc002","dukee001","yound003","","","","31/G","F","F",2,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"31","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,1,0,0,3,0,0,0,0,11,"TBA","TOR","TBA",0,"F","T",0,0,0,6,2,"F","F",0,0,"T","T","hilla001","clayr001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,3,2,0,0,1,0,0,"wiggt001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",2,1,0,2,2,"CSBFBX",0,0,"wiggt001","?","wiggt001","?","chacg001","?","chacg001","?","zaung001","overl001","hilla001","glaut001","clayr001","johnr008","wellv001","riosa002","","","","HR/7/F","T","F",3,4,23,"T","T",4,"F","F",0,"F","F",1,"F","F",0,"F","F","F","7",0,0,"N",0,"N",0,"N",4,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,12,"TBA","TBA","TOR",1,"T","F",0,0,0,3,0,"T","F",0,0,"T","T","yound003","iwama001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,4,1,1,1,1,0,1,"","F","F","F","F",4,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",2,1,0,0,2,"CFFS",0,1,"yound003","?","yound003","?","chacg001","?","chacg001","?","zaung001","overl001","hilla001","glaut001","clayr001","johnr008","wellv001","riosa002","","","","K","F","F",9,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,13,"TBA","TBA","TOR",1,"F","F",1,0,1,4,1,"T","F",0,0,"T","T","iwama001","navad001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,4,1,1,2,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",2,1,1,1,2,"CFBX",0,1,"iwama001","?","iwama001","?","chacg001","?","chacg001","?","zaung001","overl001","hilla001","glaut001","clayr001","johnr008","wellv001","riosa002","","","","S8/G","F","F",5,6,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,14,"TBA","TBA","TOR",1,"F","F",1,0,1,5,2,"T","F",0,1,"T","T","navad001","dukee001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,1,0,1,1,0,0,"wellv001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",2,1,1,1,0,"B1X",0,1,"navad001","?","navad001","?","chacg001","?","chacg001","?","zaung001","overl001","hilla001","glaut001","clayr001","johnr008","wellv001","riosa002","iwama001","","","54(1)3/GDP","F","F",2,7,2,"T","T",0,"F","F",2,"T","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","54","","","F","F","F","F","F","F","F","F","F","chacg001","","","F","F","F","F","F","","","","",0,4,3,0,5,4,0,0,0,15,"TBA","TBA","TOR",1,"F","T",1,0,1,6,3,"T","F",1,0,"T","T","dukee001","uptob001","T","T",5,6,14,0,0,0,0,0,0,"zaung001","","",1,1,0,0,0,0,1,0,0,0,1,0,0,"glaut001","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",3,0,0,1,1,"BCX",0,1,"hilla001","?","hilla001","?","shiej002","?","shiej002","?","navad001","wiggt001","uptob001","iwama001","zobrb001","crawc002","dukee001","yound003","","","","5/L","T","F",4,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"5","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,5,0,0,0,0,0,0,0,16,"TBA","TOR","TBA",0,"T","F",0,1,0,7,0,"T","F",0,0,"T","T","clayr001","johnr008","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,2,1,0,0,1,0,0,"iwama001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",3,0,1,1,2,"CCBX",0,1,"clayr001","?","clayr001","?","shiej002","?","shiej002","?","navad001","wiggt001","uptob001","iwama001","zobrb001","crawc002","dukee001","yound003","","","","S5/G","F","F",6,9,20,"T","T",1,"F","F",0,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,17,"TBA","TOR","TBA",0,"F","F",0,1,0,8,1,"T","F",0,1,"T","T","johnr008","overl001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,2,0,0,1,0,0,"iwama001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",3,0,1,0,0,"1H",0,1,"johnr008","?","johnr008","?","shiej002","?","shiej002","?","navad001","wiggt001","uptob001","iwama001","zobrb001","crawc002","dukee001","yound003","clayr001","","","HP.1-2","F","F",7,1,16,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","shiej002","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,18,"TBA","TOR","TBA",0,"F","F",0,1,0,9,2,"T","F",1,3,"T","T","overl001","wellv001","T","T",6,9,17,0,0,0,0,0,0,"navad001","","",1,0,0,0,1,0,0,0,0,0,0,0,0,"","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",3,0,1,0,1,"FX",0,1,"overl001","?","overl001","?","shiej002","?","shiej002","?","navad001","wiggt001","uptob001","iwama001","zobrb001","crawc002","dukee001","yound003","johnr008","clayr001","","8/F.2-3","F","F",3,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,3,0,"8","","","","F","F","F","F","F","F","F","F","F","shiej002","shiej002","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,19,"TBA","TOR","TBA",0,"F","F",0,1,0,10,3,"T","F",3,5,"T","T","wellv001","thomf001","T","T",7,1,18,6,9,17,0,0,0,"navad001","navad001","",0,0,0,0,0,0,2,0,0,1,1,0,0,"dukee001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",3,0,2,0,1,"F1X",0,1,"wellv001","?","wellv001","?","shiej002","?","shiej002","?","navad001","wiggt001","uptob001","iwama001","zobrb001","crawc002","dukee001","yound003","johnr008","","clayr001","54(1)/FO/G","F","F",8,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,3,"","54","","","F","F","F","F","F","F","F","F","F","shiej002","","shiej002","F","F","F","F","F","","","","",0,4,0,0,5,0,0,0,0,20,"TBA","TOR","TBA",0,"F","T",0,1,0,11,4,"T","F",5,5,"T","T","thomf001","glaut001","T","T",7,1,18,0,0,0,6,9,17,"navad001","","navad001",0,0,0,0,0,0,2,0,0,1,1,0,0,"iwama001","T","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",3,1,0,0,0,"X",0,1,"dukee001","?","dukee001","?","chacg001","?","chacg001","?","zaung001","overl001","hilla001","glaut001","clayr001","johnr008","wellv001","riosa002","","","","3/P3F","T","F",8,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"P","F","T","3F",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,21,"TBA","TBA","TOR",1,"T","F",1,0,0,7,0,"T","F",0,0,"T","T","uptob001","crawc002","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"overl001","F","F","F","F",0,0,0,0,1,0,0,0,0,0,F,F
"TBA200704060","TOR",3,1,1,1,0,"BX",0,1,"uptob001","?","uptob001","?","chacg001","?","chacg001","?","zaung001","overl001","hilla001","glaut001","clayr001","johnr008","wellv001","riosa002","","","","HR/9/F","F","F",4,9,23,"T","T",4,"F","F",0,"F","F",1,"F","F",0,"F","F","F","9",0,0,"N",0,"N",0,"N",4,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,22,"TBA","TBA","TOR",1,"F","F",1,0,0,8,1,"T","F",0,0,"T","T","crawc002","zobrb001","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,1,0,0,0,1,0,1,"","F","F","F","F",4,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",3,1,1,2,1,"BBCX",0,2,"crawc002","?","crawc002","?","chacg001","?","chacg001","?","zaung001","overl001","hilla001","glaut001","clayr001","johnr008","wellv001","riosa002","","","","43/G","F","F",7,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,23,"TBA","TBA","TOR",1,"F","F",2,0,1,9,2,"T","F",0,0,"T","T","zobrb001","baldr001","T","T",0,0,0,0,0,0,0,0,0,"","","",2,2,0,0,0,0,2,1,0,0,1,0,0,"hilla001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",3,1,2,0,0,"X",0,2,"zobrb001","?","zobrb001","?","chacg001","?","chacg001","?","zaung001","overl001","hilla001","glaut001","clayr001","johnr008","wellv001","riosa002","","","","63/G","F","F",6,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,24,"TBA","TBA","TOR",1,"F","T",2,0,1,10,3,"T","F",0,0,"T","T","baldr001","wiggt001","T","T",0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,0,0,0,1,0,0,"clayr001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",4,0,0,1,2,"CBCX",0,2,"thomf001","?","thomf001","?","shiej002","?","shiej002","?","navad001","wiggt001","uptob001","iwama001","zobrb001","crawc002","dukee001","yound003","","","","43/G","T","F",10,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,25,"TBA","TOR","TBA",0,"T","F",0,2,0,12,0,"T","F",0,0,"T","T","glaut001","riosa002","T","T",0,0,0,0,0,0,0,0,0,"","","",1,1,0,0,0,0,3,2,0,0,1,0,0,"uptob001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
"TBA200704060","TOR",4,0,1,3,1,"BCBBX",0,2,"glaut001","?","glaut001","?","shiej002","?","shiej002","?","navad001","wiggt001","uptob001","iwama001","zobrb001","crawc002","dukee001","yound003","","","","63/G","F","F",5,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,26,"TBA","TOR","TBA",0,"F","F",0,2,0,13,1,"T","F",0,0,"T","T","riosa002","zaung001","T","T",0,0,0,0,0,0,0,0,0,"","","",3,3,0,0,0,0,2,1,0,0,1,0,0,"zobrb001","F","F","F","F",0,0,0,0,0,0,0,0,0,0,F,F
